year,Revenue USD Mil,Gross Margin %,Operating Income USD Mil,Operating Margin %,Net Income USD Mil,Earnings Per Share USD,Dividends USD,Payout Ratio % *,Shares Mil,Book Value Per Share * USD,Operating Cash Flow USD Mil,Cap Spending USD Mil,Free Cash Flow USD Mil,Free Cash Flow Per Share * USD,Working Capital USD Mil,Revenue,COGS,Gross Margin,SG&A,R&D,Other,Operating Margin,Net Int Inc & Other,EBT Margin,Tax Rate %,Net Margin %,Asset Turnover (Average),Return on Assets %,Financial Leverage (Average),Return on Equity %,Return on Invested Capital %,Interest Coverage,Year over Year,3-Year Average,5-Year Average,10-Year Average,Year over Year,3-Year Average,5-Year Average,10-Year Average,Year over Year,3-Year Average,5-Year Average,10-Year Average,Year over Year,3-Year Average,5-Year Average,10-Year Average,Operating Cash Flow Growth % YOY,Free Cash Flow Growth % YOY,Cap Ex as a % of Sales,Free Cash Flow/Sales %,Free Cash Flow/Net Income,Cash & Short-Term Investments,Accounts Receivable,Inventory,Other Current Assets,Total Current Assets,Net PP&E,Intangibles,Other Long-Term Assets,Total Assets,Accounts Payable,Short-Term Debt,Taxes Payable,Accrued Liabilities,Other Short-Term Liabilities,Total Current Liabilities,Long-Term Debt,Other Long-Term Liabilities,Total Liabilities,Total Stockholders' Equity,Total Liabilities & Equity,Current Ratio,Quick Ratio,Financial Leverage,Debt/Equity,Days Sales Outstanding,Days Inventory,Payables Period,Cash Conversion Cycle,Receivables Turnover,Inventory Turnover,Fixed Assets Turnover,Asset Turnover,adj_close
2009,1.0,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,0.9553429027113236,0.11194029850746268,0.67,0.17886178861788626,0.3715498938428875,0.7346938775510203,0.01,1.0,0.01,0.3902439024390243,0.01,0.9999999999999998,0.01,1.0,0.01,0.01,0.01,0.3378378378378377,0.01,0.12701100762066045,0.08786206896551724,0.38945752302968273,0.01,0.2213197969543147,0.4935718278367802,0.6745964316057774,1.0,0.6335717290702566,0.01,0.01,0.01,0.7886853557332253,0.01,0.01,0.6741935483870969,0.8663871529151175,0.01,0.01,0.3999999999999999,0.01,1.0,0.21407624633431077,0.01,1.0,0.23316638842515308,1.0,0.11796246648793568,1.0,0.516109785202864,0.929974380871049,0.0013908205841446364,0.01,0.01,0.22448979591836782,0.01,0.01,0.781466113416321,0.01,0.01,0.12763847570477405,0.21296296296296324,0.07824209323002673,0.9217579067699733,0.01,0.7272727272727272,0.44,0.12701100762066045,0.08421851289833081,0.4013157894736845,0.8929577464788734,0.999745999491999,0.01,0.5272995573044765,0.029183884297520668,0.2386363636363642,0.3378378378378377,0.0
2010,0.18834951456310733,0.04878048780487809,0.24299065420560745,0.3150684931506849,0.4836065573770493,0.21509433962264157,0.031249999999999944,0.515981735159817,1.0,0.9999999999999999,0.5671641791044777,1.0,0.9512195121951221,0.564755838641189,1.0,0.01,0.9441747572815551,0.05582524271844669,0.6097560975609753,0.01,0.33526011560693636,0.31258644536652846,0.9368421052631578,0.3130311614730878,0.5742753623188407,0.6032110091743123,0.01,0.34368737474949895,0.107112616426757,0.13799999999999998,0.6187308085977483,0.2819444444444444,0.01,0.0027948574622693734,0.19711129991503828,0.6033797216699801,1.0,0.11759714916002034,0.22463965189012783,0.14327917282127028,0.9999999999999999,0.18172423974018304,0.24739039665970775,0.9193548387096776,1.0,0.17278332354668233,0.21961932650073204,0.5470588235294117,0.9740910990388634,0.6436170212765957,0.01,1.0000000000000002,0.7803030303030303,1.0000000000000002,0.01,0.01,0.5146579804560262,1.0,0.01,0.01,0.9025974025974027,0.01,0.12925170068027203,0.45303867403314924,0.25485436893203883,0.9999999999999998,0.01,0.3122641509433959,0.01,0.01,0.01,1.0,0.01,1.0,1.0,0.107112616426757,0.053869499241274654,1.0,1.0,1.0000000000000002,0.05749718151071026,0.01,0.01,0.01,0.01,0.12817726246633637
2011,0.01,0.3902439024390243,0.4766355140186916,0.5890410958904111,0.5081967213114754,0.2867924528301887,0.1250000000000001,0.06392694063926929,0.7924528301886791,0.9000531632110578,0.01,0.91,0.2520325203252034,0.4331210191082802,0.314868804664723,0.01,0.6116504854368934,0.3883495145631066,0.7886178861788617,0.01,0.07803468208092501,0.5947441217150763,0.9263157894736842,0.5991501416430594,0.6490036231884059,0.6697247706422021,0.21621621621621623,0.4649298597194389,0.1426756985605419,0.166551724137931,0.7456499488229275,0.5388888888888888,0.5972927241962775,0.01,0.049277824978759543,0.43141153081510936,0.8990323937736643,1.0,0.17215121022572752,0.31462333825701627,0.27638902945046046,0.9999999999999999,0.12004175365344469,0.6193548387096776,0.5265406217862512,0.9999999999999999,0.11737432894094679,0.48137254901960774,0.028207271207689122,0.01,0.12316715542521994,0.3276699029126213,0.2803030303030303,0.27156371730662215,0.1964285714285714,0.07238605898123329,0.5521172638436482,0.2756563245823389,0.8701964133219473,0.23087621696801097,1.0,0.01,0.01,0.7734806629834254,0.7111650485436893,0.9972337482710925,0.07340324118207818,0.5981132075471698,0.0783397081739623,0.5648148148148149,0.1243490410262924,0.8756509589737076,0.01,0.2727272727272727,0.25333333333333335,0.1426756985605419,0.08649468892261,0.8486842105263155,0.05821596244131455,0.07569215138430285,0.7939684329199548,0.11854402361042826,0.7999741735537189,0.3068181818181821,0.21621621621621623,0.2603400778389399
2012,0.11650485436893199,0.5853658536585367,0.6028037383177569,0.6986301369863013,0.5901639344262296,0.41509433962264153,0.20833333333333337,0.01,0.5849056603773584,0.8575225943646996,0.3208955223880594,0.3600000000000001,0.15447154471544722,0.5095541401273885,0.24781341107871724,0.01,0.42718446601941906,0.5728155339805827,0.9999999999999996,0.01,0.01,0.7026279391424622,0.9052631578947369,0.7067988668555241,0.8532608695652176,0.7270642201834866,0.5810810810810807,0.655310621242485,0.19559695173581712,0.27848275862068966,0.9242579324462642,0.720833333333333,0.7851099830795262,0.2968138624930128,0.01,0.2982107355864811,0.6171644930584771,0.9925335143390464,0.20614631493065,0.3914327917282127,0.32466349559761154,0.7692648361381753,0.11508350730688935,0.6500000000000001,0.5901431848746144,0.8276570757486787,0.1505612493899463,0.6186274509803921,0.8520685332218972,0.19395621338267036,0.6774193548387097,0.19417475728155353,0.15909090909090906,0.19365609348914858,0.2901785714285714,0.0884718498659518,0.5179153094462541,0.19570405727923634,1.0,0.28511821974965224,0.818181818181818,0.01,0.7482993197278915,1.0,0.5558252427184466,0.9598893499308436,0.07816968541468065,0.6603773584905661,0.1787788638617367,0.6805555555555554,0.22570811634700882,0.7742918836529913,0.01,0.18181818181818177,0.1866666666666667,0.19559695173581712,0.14339908952959027,0.6973684210526319,0.04319248826291078,0.04622809245618492,0.8156708004509583,0.24938514510575516,0.8447830578512396,0.48863636363636376,0.5810810810810807,0.36254075498166755
2013,0.17281553398058325,0.8048780487804872,0.719626168224299,0.8082191780821919,0.6885245901639344,0.5396226415094341,0.3750000000000001,0.009132420091323867,0.4528301886792452,0.8123338649654438,0.23134328358208944,0.29000000000000004,0.01,0.42887473460721864,0.29154518950437314,0.01,0.2087378640776727,0.79126213592233,0.6341463414634143,0.01,0.15895953757225434,0.8118948824343016,0.7894736842105262,0.8031161473087818,0.9211956521739132,0.8142201834862387,0.6351351351351351,0.750501002004008,0.41151566469094,0.490551724137931,1.0000000000000002,0.7374999999999998,0.7428087986463621,0.7350475125768585,0.06542056074766356,0.17892644135188868,0.5877156079091291,0.8284405226539964,1.0,0.4327917282127031,0.33286104645278813,0.5002952465308532,1.0,0.6145161290322582,0.5539909817261293,0.5861714621256606,0.9999999999999999,0.6715686274509803,0.41516924362724617,0.15795559666975023,0.7302052785923754,0.016990291262136026,0.01,0.19198664440734559,0.2232142857142856,0.06970509383378021,0.5749185667752444,0.20167064439140814,0.8838599487617422,0.42837273991655067,0.8896103896103896,0.01,0.35374149659863985,1.0,0.5436893203883495,0.8713692946058089,0.09342230695900858,0.5547169811320756,0.35968267459980163,0.5138888888888893,0.3692366315254667,0.6307633684745333,0.01,0.22077922077922074,0.1866666666666667,0.41151566469094,0.39529590288315625,0.4539473684210531,0.03943661971830986,0.058674117348234744,0.7900225479143179,0.47614363010329575,0.859245867768595,0.5454545454545459,0.6351351351351351,0.7082030317386516
2014,0.2873786407766996,0.8536585365853653,0.6495327102803738,0.7123287671232879,0.6147540983606558,0.5622641509433962,0.5416666666666666,0.09589041095890383,0.3396226415094339,0.6911217437533226,0.7462686567164176,0.01,0.32520325203252054,0.6050955414012739,0.10787172011661805,0.01,0.1407766990291286,0.8592233009708741,0.47967479674796776,0.01,0.4942196531791907,0.7164591977869988,0.8315789473684211,0.7110481586402264,0.9080615942028988,0.7133027522935781,0.6351351351351351,0.6663326653306613,1.0000000000000002,0.9999999999999999,0.9467758444216993,0.708333333333333,0.7830795262267344,0.8384572386808272,0.3483432455395073,0.08151093439363816,0.3570326742392371,0.6110639742066859,0.876801740549361,0.4327917282127031,0.19390749924096748,0.45777974608798344,0.6967640918580376,0.6677419354838711,0.43596234475120643,0.5262771579565473,0.7315763787213274,0.7833333333333332,1.0,0.43223866790009247,1.0,0.31796116504854366,0.24242424242424243,0.1797440178074569,0.34375,0.04021447721179633,0.6628664495114008,0.230310262529833,0.8462852263023057,0.4895688456189151,0.7337662337662337,0.01,0.6870748299319729,0.983425414364641,0.6674757281553397,0.03319502074688807,1.0,0.9707547169811321,0.3898569202436606,0.2870370370370372,0.446081544519243,0.553918455480757,0.01,0.1428571428571428,0.14666666666666667,1.0000000000000002,0.9999999999999999,0.5657894736842106,0.02065727699530512,0.05689611379222759,0.7914317925591883,0.3644859813084116,0.9230371900826446,0.5909090909090908,0.6351351351351351,1.0
2015,0.46796116504854357,0.9999999999999996,0.9719626168224298,1.0,0.9508196721311476,0.849056603773585,0.7083333333333336,0.3105022831050226,0.26415094339622636,0.5906432748538011,0.8134328358208955,0.20999999999999996,0.5609756097560976,0.6560509554140128,0.18367346938775508,0.01,0.01,1.0,0.37398373983739885,0.01,0.10693641618497107,1.0,0.8210526315789474,1.0,1.0,1.0,0.7432432432432425,0.9639278557114227,0.01,0.01,0.01,0.9999999999999998,0.8250423011844331,0.8602571268865287,0.7986406117247239,0.06163021868787277,0.8366288038143318,0.6903105379263533,0.8218656513462061,1.0,0.5319299666025705,0.5490109241216415,0.5180062630480167,1.0000000000000002,0.6909263507633889,0.5823546682325309,0.5815031722791605,1.0,0.5539072294191392,0.35507246376811596,0.7448680351906158,0.5072815533980584,0.1515151515151515,0.17807456872565386,0.3571428571428572,0.042895442359249414,0.506514657980456,0.17422434367541773,0.9325362937660113,0.5118219749652295,0.6590909090909091,0.01,0.3877551020408161,0.08287292817679558,0.8058252427184466,0.12863070539419086,0.8732125834127741,0.7698113207547173,0.5565944184728715,0.310185185185186,0.5691604216943986,0.43083957830560143,0.01,0.1428571428571428,0.15999999999999998,0.01,0.01,0.8026315789473686,0.01,0.04622809245618492,0.8074971815107101,0.1564190850959175,1.0,0.7045454545454546,0.7432432432432425,0.7881104420035221
2016,0.963106796116505,0.8048780487804872,1.0,0.9041095890410957,1.0,1.0,0.8750000000000001,0.14155251141552472,0.16981132075471694,0.38490164805954274,0.9999999999999998,0.48,1.0000000000000002,1.0,0.10495626822157433,0.01,0.19902912621359548,0.8009708737864081,0.01,0.01,0.18497109826589608,0.914246196403873,0.768421052631579,0.9036827195467421,0.958786231884058,0.9105504587155965,1.0,0.9999999999999999,0.01,0.01,0.01,0.8597222222222218,1.0,0.9999999999999999,1.0,0.08250497017892647,0.46515215257327164,0.6397420668589853,0.6605928746260539,0.4460856720827179,0.27254326485173563,0.5187481547091821,0.5159185803757829,0.5758064516129033,0.5103235503520291,0.5549031121550205,0.5710102489019033,0.7598039215686273,0.6508566652737151,0.4212149244526673,0.39002932551319636,0.7597087378640779,0.33333333333333326,0.08347245409015026,0.2410714285714286,0.8981233243967828,0.11074918566775241,0.10202863961813846,0.8428693424423566,0.9026425591098746,0.48051948051948046,0.01,0.3945578231292517,0.08287292817679558,0.9999999999999999,0.01,0.9056244041944709,0.7905660377358492,0.6703499079189688,0.6620370370370372,0.6836021846818241,0.31639781531817607,0.01,0.09090909090909083,0.06666666666666671,0.01,0.01,0.3618421052631584,0.27511737089201876,0.01,0.9224915445321307,0.5686178061977372,0.3960485537190083,1.0000000000000004,1.0,0.853313069136721
2017,0.7572815533980588,0.5609756097560976,0.7149532710280373,0.6849315068493151,0.5901639344262296,0.8188679245283018,0.9583333333333336,0.41552511415525073,0.018867924528301883,0.07123870281765021,0.3955223880597012,0.5800000000000001,0.41463414634146356,0.8895966029723992,0.01,0.01,0.4320388349514559,0.5679611650485441,0.3252032520325203,0.01,0.2543352601156068,0.6901798063623793,0.17894736842105274,0.5963172804532577,0.857789855072464,0.5963302752293579,0.9189189189189189,0.6643286573146291,0.01,0.01,0.01,0.22361111111111104,0.6016920473773265,0.8960313024035773,0.9048428207306712,0.01,0.1660356191277521,0.547429153232649,0.4680446015773729,0.05760709010339732,0.01,0.40345438441098314,0.3238517745302714,0.01,0.3032987896527174,0.4568408690546095,0.3762811127379209,0.4637254901960784,0.06978687839531972,0.04455750847980264,0.33137829912023453,0.279126213592233,0.3181818181818181,0.01,0.3214285714285714,0.967828418230563,0.1074918566775244,0.03758949880668261,0.8385994876174205,0.9513212795549373,0.7337662337662337,0.01,1.0,0.32596685082872934,0.912621359223301,0.08713692946058105,0.9637750238322211,1.0,0.9213769655758606,0.8981481481481488,0.9433506922392989,0.05664930776070115,0.01,0.012987012987012936,0.01,0.01,0.01,0.4013157894736845,0.6093896713615023,0.02717805435610876,0.9937993235625704,0.5272995573044765,0.13778409090909088,0.9318181818181821,0.9189189189189189,0.642263333359123
2018,0.7203883495145638,0.5365853658536577,0.6542056074766354,0.6438356164383561,0.47540983606557374,0.7358490566037738,0.9999999999999999,0.7442922374429224,0.01,0.01,0.26119402985074625,0.6300000000000001,0.30894308943089444,0.01,0.8513411078717201,0.01,0.4563106796116507,0.5436893203883493,0.34959349593495936,0.01,0.3265895953757225,0.6403872752420471,0.01,0.5212464589235126,0.8686594202898551,0.5045871559633027,0.9729729729729728,0.591182364729459,0.01,0.01,0.01,0.12361111111111106,0.6270727580372251,0.7434320849636668,0.7153780798640612,0.3220675944333996,0.01,0.515526896317665,0.4133804732118575,0.48892171344165436,0.2517963768849306,0.41393563625627394,0.32541753653444677,0.6677419354838711,0.01,0.32251908396946566,0.14543679843826254,0.01,0.5031341412452989,0.240440949737897,0.29325513196480935,0.18932038834951448,0.35606060606060597,0.0005564830272676707,0.2812499999999998,1.0,0.01,0.01,0.8770281810418448,1.0,0.6785714285714285,0.01,0.6190476190476186,0.31491712707182323,0.6116504854368932,0.17980636237897651,0.9494756911344138,0.8773584905660381,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.6075117370892018,0.00609601219202438,0.9999999999999999,1.0,0.13868801652892565,0.9886363636363638,0.9729729729729728,0.621585905186254
