entity,best,da,worst,da2
BJ,182,PERSON,20.0,ORG
the,49,ORG,0.0,0
åÊ,41,PERSON,6.0,ORG
Tanya,20,ORG,0.0,0
åÊI,15,PERSON,0.0,0
Reno,13,PERSON,0.0,0
Nikki,11,PERSON,0.0,0
AMAZING,11,ORG,0.0,0
LA,11,PERSON,0.0,0
California,11,ORG,0.0,0
Jason,10,ORG,0.0,0
Glendale,10,GPE,0.0,0
Pizookie,10,PERSON,1.0,PERSON
Las,10,PERSON,0.0,0
Haley,10,ORG,0.0,0
Alicia,9,GPE,0.0,0
Great,9,GPE,0.0,0
David,9,PERSON,0.0,0
The,9,ORG,2.0,GPE
Root,9,PERSON,0.0,0
Ryan,9,GPE,0.0,0
James,9,PERSON,0.0,0
Jeremiah,8,PERSON,0.0,0
Bjs,8,PERSON,0.0,0
Brewhouse,8,PERSON,1.0,PERSON
Brandon,8,PERSON,0.0,0
Armand,8,PERSON,0.0,0
BJs,8,ORG,0.0,0
BEST,8,PERSON,0.0,0
Chris,8,ORG,0.0,0
Yelp,7,ORG,0.0,0
Kelly,7,PERSON,0.0,0
New,7,GPE,0.0,0
Chino,7,GPE,0.0,0
Hong,7,PERSON,0.0,0
BBQ,7,ORG,0.0,0
Chicago,6,GPE,2.0,GPE
Michael,6,PERSON,0.0,0
Kat,6,PERSON,0.0,0
Fresno,6,ORG,0.0,0
Gary,6,PERSON,0.0,0
Cameron,5,PERSON,0.0,0
Berry,5,PERSON,0.0,0
åÊand,5,GPE,0.0,0
GF,5,ORG,0.0,0
Corey,5,PERSON,0.0,0
Buffalo,5,GPE,0.0,0
Ashley,4,ORG,0.0,0
Stout,4,PERSON,0.0,0
Judas,4,PERSON,0.0,0
Hillsboro,4,GPE,0.0,0
Sriracha,4,ORG,0.0,0
Caesar,4,GPE,0.0,0
Spicy,4,PERSON,0.0,0
Elin,4,PERSON,0.0,0
Spinach,4,ORG,0.0,0
IPA,4,ORG,0.0,0
Daniel,4,PERSON,0.0,0
Chicken,4,ORG,0.0,0
Blonde,4,PERSON,0.0,0
Jonathan,4,PERSON,0.0,0
Black,4,ORG,0.0,0
Latanya,4,GPE,0.0,0
Mark,4,PERSON,0.0,0
John,4,PERSON,0.0,0
åÊOur,4,PERSON,0.0,0
Glad,4,PERSON,0.0,0
Mediterranean,4,ORG,0.0,0
Melissa,4,PERSON,0.0,0
åÊPazookie,4,PERSON,0.0,0
Father,3,PERSON,0.0,0
Brook,3,ORG,0.0,0
KAREN,3,PERSON,0.0,0
Calamari,3,ORG,0.0,0
Hefeweizen,3,PERSON,0.0,0
Carina,3,PERSON,0.0,0
Mike,3,PERSON,0.0,0
Jambalaya,3,PERSON,0.0,0
Denise,3,PERSON,0.0,0
Jeremy,3,PERSON,0.0,0
Los,3,PERSON,0.0,0
Lol,3,PERSON,0.0,0
Lindsey,3,PERSON,2.0,PERSON
Crispy,3,ORG,0.0,0
Brentwood,3,GPE,0.0,0
Sparks,3,PERSON,0.0,0
Fries,3,PERSON,0.0,0
Alfredo,3,PERSON,0.0,0
Super,3,ORG,0.0,0
Tanner,3,PERSON,0.0,0
Texas,3,GPE,0.0,0
jalapeÌ±o,3,ORG,0.0,0
ALWAYS,3,ORG,0.0,0
ALICIA,3,PERSON,0.0,0
Tiffany,3,ORG,0.0,0
Walter,3,ORG,0.0,0
Sooner,3,ORG,0.0,0
Porto,3,GPE,0.0,0
Annalisa,3,PERSON,0.0,0
Staff,3,PERSON,0.0,0
Jiana,2,PERSON,0.0,0
GREAT,2,PERSON,0.0,0
åÊthank,2,PERSON,0.0,0
lolKenneth,2,PERSON,0.0,0
åÊWe,2,ORG,0.0,0
Havent,2,PERSON,0.0,0
