,date,open,high,low,close,volume
1009,2012-01-03,27.19,27.25,26.41,2.248678621938437,2035647
1010,2012-01-04,26.37,26.87,26.23,2.2563416691165687,1974560
1011,2012-01-05,26.24,26.7,25.92,2.269113414413455,2054275
1012,2012-01-06,26.72,26.74,26.12,2.258896018175946,1683583
1013,2012-01-09,26.64,26.89,26.47,2.2767764615915866,1384996
1014,2012-01-10,26.96,27.04,26.57,2.2784793609645053,1093336
1015,2012-01-11,26.66,27.07,26.57,2.275925011905128,1030385
1016,2012-01-12,26.84,26.95,26.73,2.286142408142637,808251
1017,2012-01-13,26.74,27.07,26.51,2.280182260337423,907593
1018,2012-01-17,27.02,27.16,26.83,2.2869938578290956,942458
1019,2012-01-18,26.85,27.59,26.84,2.331269241524968,1435931
1020,2012-01-19,27.38,27.59,27.12,2.3440409868218546,1029123
1021,2012-01-20,27.57,27.97,27.5,2.349149684940609,1889072
1022,2012-01-23,27.66,27.94,27.34,2.350852584313527,1684276
1023,2012-01-24,25.7,25.94,24.92,2.184819895454006,5823002
1024,2012-01-25,25.97,26.87,25.93,2.2282438294634193,3377736
1025,2012-01-26,26.26,26.42,25.82,2.235906876641551,1681199
1026,2012-01-27,26.13,26.36,26.0,2.2299467288363375,1143598
1027,2012-01-30,25.99,26.69,25.86,2.24612427287906,1399783
1028,2012-01-31,26.42,26.52,25.77,2.2009974394967284,2225442
1029,2012-02-01,26.23,26.82,25.77,2.269964864099914,1848714
1030,2012-02-02,26.63,26.76,26.3,2.269964864099914,1168428
1031,2012-02-03,27.02,27.75,27.0,2.3465953358812315,1585157
1032,2012-02-06,27.45,27.7,27.03,2.309131549677032,1083098
1033,2012-02-07,27.23,27.91,27.19,2.340635188076018,1636705
1034,2012-02-08,27.6,27.66,27.05,2.318497496228082,1639306
1035,2012-02-09,27.28,27.5,27.11,2.3372293893301817,1327866
1036,2012-02-10,27.18,27.39,26.96,2.311685898736409,1060297
1037,2012-02-13,27.41,27.47,26.64,2.2980627037530637,1524557
1038,2012-02-14,26.77,26.89,26.44,2.2767764615915866,1147232
1039,2012-02-15,27.01,27.72,26.84,2.3482982352541497,2177929
1040,2012-02-16,27.57,28.53,27.57,2.390019269890645,2217669
1041,2012-02-17,28.14,28.46,27.87,2.3925736189500224,1019704
1042,2012-02-21,28.17,28.6,27.58,2.3695844774156267,1222290
1043,2012-02-22,27.72,27.72,27.04,2.312537348422868,1441610
1044,2012-02-23,27.17,27.28,26.85,2.289548206888473,1398748
1045,2012-02-24,26.93,27.0,26.5,2.2631532666082412,1490556
1046,2012-02-27,26.5,27.0,26.35,2.288696757202014,1543475
1047,2012-02-28,26.99,27.8,26.91,2.3559612824322818,2136452
1048,2012-02-29,27.66,28.01,27.15,2.349149684940609,1658555
1049,2012-03-01,27.79,27.93,27.31,2.3261605434062136,1000067
1050,2012-03-02,27.46,27.62,27.15,2.3244576440332954,775672
1051,2012-03-05,27.18,27.93,27.18,2.360218530864577,1209786
1052,2012-03-06,27.4,27.47,26.89,2.3040228515582775,1350228
1053,2012-03-07,27.12,27.76,26.99,2.354258383059363,1546630
1054,2012-03-08,27.8,28.71,27.71,2.4351461032729764,2440855
1055,2012-03-09,28.59,29.1,28.59,2.4513236473156987,1183378
1056,2012-03-12,28.71,28.97,28.44,2.425780156721926,659652
1057,2012-03-13,28.75,28.96,28.37,2.4657982919855033,572675
1058,2012-03-14,28.9,29.07,28.43,2.441957700764649,704895
1059,2012-03-15,28.64,29.02,28.39,2.4675011913584215,910446
1060,2012-03-16,29.06,29.08,28.59,2.4445120498240263,1386683
1061,2012-03-19,28.75,28.96,28.28,2.452175097002158,756852
1062,2012-03-20,28.69,29.06,28.52,2.4598381441802895,957609
1063,2012-03-21,29.0,29.31,28.58,2.4334432039000577,1474080
1064,2012-03-22,28.43,28.92,28.2,2.4010881158146127,1854418
1065,2012-03-23,28.08,28.2,27.35,2.3908707195771037,1895611
1066,2012-03-26,28.39,28.57,28.3,2.4189685592302537,923957
1067,2012-03-27,28.41,28.43,27.83,2.372138826475004,1286794
1068,2012-03-28,27.8,28.03,27.48,2.354258383059363,769790
1069,2012-03-29,27.41,27.87,27.19,2.3568127321187404,1633543
1070,2012-03-30,27.72,27.77,27.28,2.345743886194773,1527403
1071,2012-04-02,27.5,27.96,27.31,2.3585156314916587,1711690
1072,2012-04-03,27.62,28.01,27.56,2.3746931755343814,1187105
1073,2012-04-04,27.5,27.66,27.25,2.3244576440332954,1468241
1074,2012-04-05,27.09,27.78,27.05,2.345743886194773,1199019
1075,2012-04-09,26.99,27.47,26.79,2.328714892465591,1118646
1076,2012-04-10,27.22,27.26,26.5,2.269113414413455,1625844
1077,2012-04-11,27.01,27.45,26.91,2.3142402477957864,1766618
1078,2012-04-12,27.26,27.64,27.12,2.3448924365083132,1573765
1079,2012-04-13,27.5,28.42,27.41,2.3866134711448086,1549389
1080,2012-04-16,28.19,28.33,27.63,2.3908707195771037,1439919
1081,2012-04-17,28.2,28.33,27.56,2.3840591220854312,2737355
1082,2012-04-18,27.84,28.18,27.77,2.381504773026054,627891
1083,2012-04-19,28.04,28.31,27.37,2.3551098327458226,1946321
1084,2012-04-20,27.75,28.35,27.58,2.37554462522084,1730759
1085,2012-04-23,29.78,31.19,29.38,2.629276631785647,7128113
1086,2012-04-24,31.01,31.81,30.7,2.6565230217523377,3896004
1087,2012-04-25,31.39,32.0,31.31,2.7152730501180145,1384682
1088,2012-04-26,31.8,32.0,31.25,2.6778092639138147,2183673
1089,2012-04-27,31.48,31.67,30.97,2.6871752104648645,1439861
1090,2012-04-30,31.62,31.69,31.2,2.679512163286733,1102178
1091,2012-05-01,31.81,32.68,31.48,2.7169759494909327,1941552
1092,2012-05-02,31.69,32.21,31.63,2.7331534935336554,1376794
1093,2012-05-03,32.07,32.32,31.9,2.729747694787819,1270264
1094,2012-05-04,31.79,32.19,31.62,2.7323020438471963,2215905
1095,2012-05-07,31.96,32.53,31.75,2.7527368363222138,1885581
1096,2012-05-08,32.04,32.14,31.02,2.6778092639138147,2381160
1097,2012-05-09,31.19,31.6,31.0,2.6428998267689923,1947247
1098,2012-05-10,31.38,32.03,31.3,2.6744034651679782,2260121
