,date,open,high,low,close,volume
1008,2012-01-03,45.67,46.13,43.94,4.729652286268864,402336
1009,2012-01-04,43.99,44.68,43.23,4.780139149192925,455202
1010,2012-01-05,44.14,45.52,43.48,4.874667743603931,271429
1011,2012-01-06,45.42,46.18,44.98,4.930525549392252,199144
1012,2012-01-09,46.31,46.32,45.25,4.916561097945173,292980
1013,2012-01-10,46.93,47.05,46.06,5.015386446647588,248533
1014,2012-01-11,46.22,46.61,45.54,4.918709475090877,191448
1015,2012-01-12,45.88,46.23,44.8,4.88326125218675,452467
1016,2012-01-13,44.97,45.78,44.93,4.8735935550310785,275169
1017,2012-01-17,45.54,45.54,44.18,4.77369401775581,371735
1018,2012-01-18,44.52,45.62,44.23,4.887558006478159,175228
1019,2012-01-19,45.45,45.5,44.7,4.809142240659938,322935
1020,2012-01-20,44.77,45.74,44.69,4.89722570363383,206657
1021,2012-01-23,45.48,45.92,45.4,4.909041777935206,395277
1022,2012-01-24,45.45,46.04,44.85,4.907967589362353,312922
1023,2012-01-25,45.48,47.8,45.28,5.103469909621479,555351
1024,2012-01-26,47.75,48.13,47.58,5.148585829681278,303662
1025,2012-01-27,47.55,49.0,47.55,5.253856309820807,274017
1026,2012-01-30,48.45,49.13,47.96,5.263524006976478,392938
1027,2012-01-31,49.34,50.1,48.71,5.37416542998027,506046
1028,2012-02-01,50.09,51.0,49.85,5.467619835818423,360953
1029,2012-02-02,50.83,51.85,50.82,5.566445184520839,381161
1030,2012-02-03,52.46,54.46,51.92,5.829621384869664,528014
1031,2012-02-06,53.82,54.11,52.68,5.680309173243188,692873
1032,2012-02-07,53.02,53.51,52.23,5.687828493253154,275950
1033,2012-02-08,52.95,53.42,52.93,5.734018601885805,410798
1034,2012-02-09,53.34,53.94,53.03,5.7350927904586575,182069
1035,2012-02-10,53.0,53.16,52.64,5.683531738961745,471640
1036,2012-02-13,53.32,53.5,52.84,5.7125348304287575,270843
1037,2012-02-14,53.11,53.67,52.76,5.75013143047859,280707
