,date,open,high,low,close,volume
1008,2012-01-03,45.67,46.13,43.94,3.5540143504723467,402336
1009,2012-01-04,43.99,44.68,43.23,3.591951819123766,455202
1010,2012-01-05,44.14,45.52,43.48,3.662983675322169,271429
1011,2012-01-06,45.42,46.18,44.98,3.704957044893952,199144
1012,2012-01-09,46.31,46.32,45.25,3.6944637025010065,292980
1013,2012-01-10,46.93,47.05,46.06,3.7687242794356997,248533
1014,2012-01-11,46.22,46.61,45.54,3.6960780628691516,191448
1015,2012-01-12,45.88,46.23,44.8,3.669441116794751,452467
1016,2012-01-13,44.97,45.78,44.93,3.662176495138096,275169
1017,2012-01-17,45.54,45.54,44.18,3.5871087380193294,371735
1018,2012-01-18,44.52,45.62,44.23,3.672669837531042,175228
1019,2012-01-19,45.45,45.5,44.7,3.6137456840937308,322935
1020,2012-01-20,44.77,45.74,44.69,3.679934459187697,206657
1021,2012-01-23,45.48,45.92,45.4,3.6888134412124973,395277
1022,2012-01-24,45.45,46.04,44.85,3.688006261028424,312922
1023,2012-01-25,45.48,47.8,45.28,3.834913054529666,555351
1024,2012-01-26,47.75,48.13,47.58,3.8688146222607216,303662
1025,2012-01-27,47.55,49.0,47.55,3.9479182802998514,274017
1026,2012-01-30,48.45,49.13,47.96,3.9551829019565066,392938
1027,2012-01-31,49.34,50.1,48.71,4.0383224609160004,506046
1028,2012-02-01,50.09,51.0,49.85,4.10854713693033,360953
1029,2012-02-02,50.83,51.85,50.82,4.182807713865024,381161
1030,2012-02-03,52.46,54.46,51.92,4.380566858962849,528014
1031,2012-02-06,53.82,54.11,52.68,4.268368813376736,692873
1032,2012-02-07,53.02,53.51,52.23,4.2740190746652456,275950
1033,2012-02-08,52.95,53.42,52.93,4.308727822580374,410798
1034,2012-02-09,53.34,53.94,53.03,4.309535002764447,182069
1035,2012-02-10,53.0,53.16,52.64,4.2707903539289545,471640
1036,2012-02-13,53.32,53.5,52.84,4.292584218898919,270843
1037,2012-02-14,53.11,53.67,52.76,4.320835525341465,280707
1038,2012-02-15,53.76,54.15,53.17,4.302270381107792,373649
1039,2012-02-16,53.25,54.0,53.2,4.341822210127357,446297
1040,2012-02-17,52.42,52.92,50.96,4.203794398650915,849103
1041,2012-02-21,52.2,53.22,51.56,4.191686695889825,487342
1042,2012-02-22,51.57,51.68,50.33,4.102089695457749,390862
1043,2012-02-23,51.0,51.18,50.58,4.0980537945373845,292471
1044,2012-02-24,50.75,50.93,50.12,4.057694785333747,293427
1045,2012-02-27,50.0,50.6,49.68,4.0205644968664,367335
1046,2012-02-28,50.0,50.41,49.41,4.056887605149674,297177
1047,2012-02-29,50.26,50.66,49.64,4.007649613921235,261462
1048,2012-03-01,49.51,49.96,48.71,3.9390392982750515,374409
1049,2012-03-02,48.86,49.17,47.7,3.9091736314643595,543547
1050,2012-03-05,48.11,49.01,48.01,3.9390392982750515,237381
1051,2012-03-06,48.35,48.68,48.02,3.881729505205886,312737
1052,2012-03-07,48.1,48.85,48.06,3.9358105775387604,227054
1053,2012-03-08,49.16,49.54,48.26,3.9898916498716352,259665
1054,2012-03-09,49.62,50.38,49.52,4.035900920363782,213180
1055,2012-03-12,50.16,50.42,49.62,4.027829118523055,251770
1056,2012-03-13,50.05,50.12,49.42,4.045587082572655,328189
1057,2012-03-14,49.86,50.14,49.16,3.9898916498716352,178122
1058,2012-03-15,49.61,50.22,49.05,4.048815803308946,288677
1059,2012-03-16,49.99,50.0,48.53,3.921281334225451,323005
1060,2012-03-19,48.47,48.76,48.05,3.9059449107280684,268374
1061,2012-03-20,48.03,48.1,47.41,3.848635117658903,297966
1062,2012-03-21,47.94,48.48,47.31,3.8211909914004294,303016
1063,2012-03-22,47.08,47.92,46.87,3.86235718078814,221164
1064,2012-03-23,47.73,47.73,46.42,3.8131191895597016,291043
1065,2012-03-26,48.08,50.89,47.92,4.0673809475426195,856859
1066,2012-03-27,50.43,50.75,49.99,4.059309145701892,248130
1067,2012-03-28,50.25,50.86,49.0,3.9882772895034893,167720
1068,2012-03-29,49.21,49.57,48.95,3.981012667846835,168277
1069,2012-03-30,50.25,51.0,49.97,4.064152226806329,484623
1070,2012-04-02,50.46,51.19,50.32,4.116618938771058,377087
1071,2012-04-03,50.87,51.23,50.54,4.106932776562185,249494
1072,2012-04-04,50.29,50.34,49.12,4.0124926950256725,210965
1073,2012-04-05,49.47,49.96,48.34,4.004420893184945,361965
1074,2012-04-09,48.75,48.99,48.56,3.9495326406679974,197047
1075,2012-04-10,48.92,49.02,47.26,3.8478279374748303,460275
1076,2012-04-11,47.86,48.74,47.81,3.8663930817085035,431297
1077,2012-04-12,48.58,49.57,48.17,3.967290604717598,289924
1078,2012-04-13,49.1,49.48,48.75,3.942268019011343,212371
1079,2012-04-16,49.0,49.0,48.19,3.9317746766183967,239671
1080,2012-04-17,49.0,49.2,48.51,3.937424937906906,289245
1081,2012-04-18,48.54,49.06,47.8,3.9067520909121414,388938
1082,2012-04-19,48.25,48.6,47.32,3.8494422978429754,437006
1083,2012-04-20,48.15,48.17,46.75,3.7776032614605,523406
1084,2012-04-23,46.5,46.72,45.86,3.735629891888717,560464
1085,2012-04-24,46.21,47.21,45.98,3.749351955017954,368523
1086,2012-04-25,47.04,47.98,46.76,3.8106976490074835,305365
1087,2012-04-26,47.28,48.45,47.21,3.8857654061262497,382032
1088,2012-04-27,45.25,46.5,43.88,3.6347323688796225,1599788
1089,2012-04-30,45.0,45.17,42.72,3.486211215010235,726777
1090,2012-05-01,43.51,44.55,42.74,3.4539240076473248,675646
1091,2012-05-02,42.54,43.69,42.34,3.5023548186916904,540320
1092,2012-05-03,43.14,43.58,43.0,3.4910542961146716,388600
1093,2012-05-04,43.46,44.21,43.19,3.5580502513927104,728815
1094,2012-05-07,44.03,45.02,44.0,3.5709651343378748,460856
1095,2012-05-08,43.92,44.42,43.13,3.5790369361786025,582007
1096,2012-05-09,44.1,44.77,43.79,3.5976020804122757,757588
1097,2012-05-10,44.85,45.65,44.56,3.660562134769951,473784
1098,2012-05-11,44.95,46.15,44.95,3.720293468391335,491782
1099,2012-05-14,45.73,46.42,45.3,3.7073785854461705,568072
1100,2012-05-15,45.69,46.13,45.15,3.6718626573469693,682093
1101,2012-05-16,45.59,46.04,45.28,3.662983675322169,317960
1102,2012-05-17,45.25,45.25,43.89,3.5467497288156915,645024
1103,2012-05-18,43.82,44.58,43.18,3.495090197035035,478023
