,date,open,high,low,close,volume
0,2012-01-03,27.19,27.25,26.41,100.0,2035647
1,2012-01-04,26.37,26.87,26.23,100.34078000757289,1974560
2,2012-01-05,26.24,26.7,25.92,100.90874668686104,2054275
3,2012-01-06,26.72,26.74,26.12,100.45437334343052,1683583
4,2012-01-09,26.64,26.89,26.47,101.24952669443392,1384996
5,2012-01-10,26.96,27.04,26.57,101.32525558500568,1093336
6,2012-01-11,26.66,27.07,26.57,101.21166224914805,1030385
7,2012-01-12,26.84,26.95,26.73,101.66603559257857,808251
8,2012-01-13,26.74,27.07,26.51,101.40098447557743,907593
9,2012-01-17,27.02,27.16,26.83,101.70390003786444,942458
10,2012-01-18,26.85,27.59,26.84,103.67285119273002,1435931
11,2012-01-19,27.38,27.59,27.12,104.24081787201817,1029123
12,2012-01-20,27.57,27.97,27.5,104.46800454373343,1889072
13,2012-01-23,27.66,27.94,27.34,104.54373343430518,1684276
14,2012-01-24,25.7,25.94,24.92,97.16016660355926,5823002
15,2012-01-25,25.97,26.87,25.93,99.09125331313896,3377736
16,2012-01-26,26.26,26.42,25.82,99.43203332071185,1681199
17,2012-01-27,26.13,26.36,26.0,99.16698220371072,1143598
18,2012-01-30,25.99,26.69,25.86,99.88640666414237,1399783
19,2012-01-31,26.42,26.52,25.77,97.87959106399092,2225442
20,2012-02-01,26.23,26.82,25.77,100.94661113214691,1848714
21,2012-02-02,26.63,26.76,26.3,100.94661113214691,1168428
22,2012-02-03,27.02,27.75,27.0,104.3544112078758,1585157
23,2012-02-06,27.45,27.7,27.03,102.68837561529723,1083098
24,2012-02-07,27.23,27.91,27.19,104.08936009087466,1636705
25,2012-02-08,27.6,27.66,27.05,103.10488451344187,1639306
26,2012-02-09,27.28,27.5,27.11,103.93790230973116,1327866
27,2012-02-10,27.18,27.39,26.96,102.80196895115486,1060297
28,2012-02-13,27.41,27.47,26.64,102.19613782658084,1524557
29,2012-02-14,26.77,26.89,26.44,101.24952669443392,1147232
30,2012-02-15,27.01,27.72,26.84,104.43014009844755,2177929
31,2012-02-16,27.57,28.53,27.57,106.28549791745552,2217669
32,2012-02-17,28.14,28.46,27.87,106.39909125331314,1019704
33,2012-02-21,28.17,28.6,27.58,105.37675123059446,1222290
34,2012-02-22,27.72,27.72,27.04,102.83983339644074,1441610
35,2012-02-23,27.17,27.28,26.85,101.81749337372207,1398748
36,2012-02-24,26.93,27.0,26.5,100.6436955698599,1490556
37,2012-02-27,26.5,27.0,26.35,101.7796289284362,1543475
38,2012-02-28,26.99,27.8,26.91,104.77092010602044,2136452
39,2012-02-29,27.66,28.01,27.15,104.46800454373343,1658555
40,2012-03-01,27.79,27.93,27.31,103.44566452101476,1000067
41,2012-03-02,27.46,27.62,27.15,103.36993563044301,775672
42,2012-03-05,27.18,27.93,27.18,104.96024233244982,1209786
43,2012-03-06,27.4,27.47,26.89,102.46118894358197,1350228
44,2012-03-07,27.12,27.76,26.99,104.69519121544869,1546630
45,2012-03-08,27.8,28.71,27.71,108.29231351760697,2440855
46,2012-03-09,28.59,29.1,28.59,109.01173797803862,1183378
47,2012-03-12,28.71,28.97,28.44,107.87580461946233,659652
48,2012-03-13,28.75,28.96,28.37,109.65543354789853,572675
49,2012-03-14,28.9,29.07,28.43,108.59522907989398,704895
50,2012-03-15,28.64,29.02,28.39,109.73116243847028,910446
51,2012-03-16,29.06,29.08,28.59,108.70882241575161,1386683
52,2012-03-19,28.75,28.96,28.28,109.0496024233245,756852
53,2012-03-20,28.69,29.06,28.52,109.39038243089739,957609
54,2012-03-21,29.0,29.31,28.58,108.21658462703522,1474080
55,2012-03-22,28.43,28.92,28.2,106.77773570617191,1854418
56,2012-03-23,28.08,28.2,27.35,106.32336236274139,1895611
57,2012-03-26,28.39,28.57,28.3,107.57288905717532,923957
58,2012-03-27,28.41,28.43,27.83,105.4903445664521,1286794
59,2012-03-28,27.8,28.03,27.48,104.69519121544869,769790
60,2012-03-29,27.41,27.87,27.19,104.80878455130632,1633543
61,2012-03-30,27.72,27.77,27.28,104.31654676258992,1527403
62,2012-04-02,27.5,27.96,27.31,104.88451344187807,1711690
63,2012-04-03,27.62,28.01,27.56,105.60393790230972,1187105
64,2012-04-04,27.5,27.66,27.25,103.36993563044301,1468241
65,2012-04-05,27.09,27.78,27.05,104.31654676258992,1199019
66,2012-04-09,26.99,27.47,26.79,103.55925785687239,1118646
67,2012-04-10,27.22,27.26,26.5,100.90874668686104,1625844
68,2012-04-11,27.01,27.45,26.91,102.91556228701249,1766618
69,2012-04-12,27.26,27.64,27.12,104.27868231730405,1573765
70,2012-04-13,27.5,28.42,27.41,106.13404013631201,1549389
71,2012-04-16,28.19,28.33,27.63,106.32336236274139,1439919
72,2012-04-17,28.2,28.33,27.56,106.02044680045438,2737355
73,2012-04-18,27.84,28.18,27.77,105.90685346459674,627891
74,2012-04-19,28.04,28.31,27.37,104.73305566073456,1946321
75,2012-04-20,27.75,28.35,27.58,105.6418023475956,1730759
76,2012-04-23,29.78,31.19,29.38,116.92540704278682,7128113
77,2012-04-24,31.01,31.81,30.7,118.13706929193488,3896004
78,2012-04-25,31.39,32.0,31.31,120.74971601666036,1384682
79,2012-04-26,31.8,32.0,31.25,119.08368042408179,2183673
80,2012-04-27,31.48,31.67,30.97,119.50018932222643,1439861
81,2012-04-30,31.62,31.69,31.2,119.15940931465354,1102178
82,2012-05-01,31.81,32.68,31.48,120.82544490723211,1941552
83,2012-05-02,31.69,32.21,31.63,121.54486936766376,1376794
84,2012-05-03,32.07,32.32,31.9,121.39341158652026,1270264
85,2012-05-04,31.79,32.19,31.62,121.5070049223779,2215905
86,2012-05-07,31.96,32.53,31.75,122.41575160923892,1885581
87,2012-05-08,32.04,32.14,31.02,119.08368042408179,2381160
88,2012-05-09,31.19,31.6,31.0,117.53123816736085,1947247
89,2012-05-10,31.38,32.03,31.3,118.93222264293829,2260121
90,2012-05-11,31.42,32.33,31.4,119.8788337750852,1204240
91,2012-05-14,31.4,31.55,31.13,117.98561151079137,1616505
92,2012-05-15,31.37,31.9,31.12,118.36425596365014,2106101
93,2012-05-16,31.49,32.09,31.28,119.27300265051117,1640038
94,2012-05-17,31.57,31.58,30.58,115.90306702006815,1589963
95,2012-05-18,30.65,30.8,30.09,114.65354032563422,1026430
96,2012-05-21,30.28,30.53,29.95,115.14577811435062,2942477
97,2012-05-22,30.59,30.99,30.46,116.58462703521393,1161503
98,2012-05-23,30.63,32.1,30.52,120.82544490723211,2170015
99,2012-05-24,31.8,32.26,31.61,121.09049602423325,1727532
100,2012-05-25,31.92,32.59,31.86,122.52934494509655,1596573
101,2012-05-29,32.48,32.96,32.41,123.77887163953048,1074333
102,2012-05-30,32.26,32.32,31.75,120.56039379023098,1030590
103,2012-05-31,31.82,32.49,31.44,122.34002271866717,1348198
104,2012-06-01,31.76,31.99,30.68,116.84967815221506,1332198
105,2012-06-04,30.84,31.06,30.16,117.00113593335857,2225158
106,2012-06-05,30.75,31.22,30.45,117.87201817493374,1224434
107,2012-06-06,31.27,31.56,31.08,119.3865959863688,2287181
108,2012-06-07,31.73,31.91,31.05,118.43998485422189,1964856
109,2012-06-08,31.1,31.17,30.81,117.00113593335857,1462198
110,2012-06-11,31.21,31.33,30.64,116.39530480878454,1051640
111,2012-06-12,30.95,31.18,30.58,116.81181370692919,859723
112,2012-06-13,30.73,30.91,30.19,114.65354032563422,951197
113,2012-06-14,30.68,31.59,30.51,119.00795153351004,1727572
114,2012-06-15,31.46,32.4,31.46,122.34002271866717,1701640
115,2012-06-18,32.12,32.89,31.94,122.71866717152592,1014619
116,2012-06-19,31.99,32.0,31.42,121.12836046951912,2707440
117,2012-06-20,31.97,32.28,31.44,119.84096932979932,1249187
118,2012-06-21,31.62,32.01,31.03,117.72056039379024,1411328
119,2012-06-22,31.05,31.18,30.74,116.69822037107156,1764642
120,2012-06-25,30.51,30.73,30.05,116.01666035592578,1735678
121,2012-06-26,30.79,30.99,30.4,116.4710336993563,1338701
122,2012-06-27,30.84,30.86,30.31,115.41082923135176,987773
123,2012-06-28,30.39,30.64,30.06,115.94093146535403,1321268
124,2012-06-29,31.05,31.9,30.75,120.6739871260886,1603876
125,2012-07-02,31.86,32.28,31.48,120.56039379023098,1607870
126,2012-07-03,31.77,32.0,31.57,121.166224914805,724120
127,2012-07-05,31.9,32.43,31.77,121.5070049223779,1161946
128,2012-07-06,31.87,32.19,31.61,120.78758046194623,576782
129,2012-07-09,31.92,32.2,31.83,121.8099204846649,667859
130,2012-07-10,32.3,32.49,31.84,121.43127603180614,816029
131,2012-07-11,32.03,32.27,31.68,120.93903824308974,739260
132,2012-07-12,31.67,31.96,31.03,120.29534267322984,1237142
133,2012-07-13,32.0,32.33,31.79,122.22642938280954,1127369
134,2012-07-16,32.55,33.47,32.55,123.66527830367284,1799484
135,2012-07-17,32.71,33.18,32.71,124.1953805376751,1378709
136,2012-07-18,32.79,33.66,32.66,126.61870503597122,1028976
137,2012-07-19,33.43,33.98,33.34,128.05755395683454,1396795
138,2012-07-20,33.09,33.26,31.9,124.15751609238924,2124058
139,2012-07-23,32.12,32.25,31.62,121.09049602423325,971841
140,2012-07-24,31.87,31.95,31.12,118.78076486179478,1022063
141,2012-07-25,31.43,31.52,30.89,117.22832260507384,1084754
142,2012-07-26,31.42,31.85,31.04,119.34873154108293,1560655
143,2012-07-27,31.7,32.59,31.67,122.9458538432412,986610
144,2012-07-30,32.43,32.7,32.37,122.90798939795532,1045712
145,2012-07-31,32.45,32.61,32.13,122.71866717152592,717021
146,2012-08-01,32.62,32.66,31.95,121.24195380537677,585224
147,2012-08-02,31.83,32.55,31.25,122.52934494509655,889564
148,2012-08-03,32.8,33.41,32.78,125.5206361226808,653641
149,2012-08-06,33.27,33.44,32.48,122.98371828852706,893906
150,2012-08-07,32.6,32.9,32.04,122.15070049223779,1161803
151,2012-08-08,32.02,32.97,31.65,123.28663385081408,1584069
152,2012-08-09,33.76,35.18,33.01,130.367285119273,4612451
153,2012-08-10,34.16,34.54,33.36,126.77016281711471,1826633
154,2012-08-13,33.5,33.72,33.13,127.64104505868988,1249196
155,2012-08-14,33.81,34.15,33.65,128.4361984096933,1022093
156,2012-08-15,33.8,34.17,33.8,128.36046951912155,598230
157,2012-08-16,33.82,34.18,33.75,128.47406285497917,831991
