Username,location,friend_count,review_count,photo_count,rating,date,review
Ray L.,"Pittsburg, CA",4,19,,2.0,6/18/2015,This use to be a great place to eat. Over the last year or so it's  become extremely nasty inside. Cold food and subpar service. Do yourself a favor and go to Black Angus in Brentwood.
Nik A.,"Pittsburg, CA",6,42,108,1.0,2/25/2014,"Horrible. I will never step foot into this Applebee's again. Me and my girlfriend visited this location on February 13th, 2014.       We walked into this establishment and waited at the podium to be seated by a hostess; after two minutes of making eye contact with numerous servers ""vii"" finally came to greet us, she told us it would be a five minute wait to sitdown and we had no problem with that. About three minutes passed by until we were seated to look over the menu.  After we were seated we waited 10 minutes for a waiter to greet us and take our drink order. We noticed tables around us were being serviced while we were not.         We happend to notice ""vii"" walking by and asked her why haven't we been serviced yet. Her response was ""the kitchen is currently backed up, it will be 20 minutes before anything comes out, we aren't even seating anybody at this moment so they can catch up on orders"".     After she said that line to us she walked off without us having a chance to respond.    Me and my girlfriend walked out right after that. As soon as we were walking out another hostess was sitting a family down.  The kitchen being backed up has noting to do with a waiter coming to our table or serving us drinks. The table behind us, in front of us  and to the side of us was being serviced but not us.  ""Vii"" said they were not seating anybody else until the kitchen has caught up with their orders,  yet they were sitting people as we left.  I will not be going back to this place again. They ruined my Valentine's day dinner."
Diane C.,"Antioch, CA",7,17,1,1.0,9/6/2015,"We can't say we haven't tried this Applebee's over many years since it opened and EVERY time they mess something up.  Either the order is wrong, it takes forever, I can't count how many times someone in our party has left without food because of something they've done wrong or sent food back.  I guess we're gluttons for punishment, as we keep thinking maybe this time it will be better.  Tonight was the LAST STRAW.  I ordered a side salad and potsticker appetizers and my husband a chicken dish. They brought out my food first even though we wanted them to bring them out together, and promised the chicken would be ""right up""; however, after I was through with my salad (and not through the postickers because they were awful!), they told us there was a problem and the manager would be right over. We told them forget it, I had already eaten and my husband, no longer wanted to wait. We paid the bill, which was $28 for 2 appetizers and 2 beers! And low and behold, the manager just hid behind the bar. NEVER has a manager apologized to us for the many times they've messed up our orders. In a GOOD restaurant the manager would've been falling over us apologizing offering to comp the whole tab, but as I left and peered over at the manager, she just sunk below the machine at the bar.   Do not waste your time or your money!  I don't usually write reviews like this, but after 10+ years of this, I've had enough.  No more chances Applebee's, and I guaranty I'll be writing to the corporate office.  This is the worst restaurant in Antioch for sure."
Nancy F.,"Antioch, CA",0,14,,3.0,6/24/2016,My BF and I came here on Father's Day for a late lunch and was totally surprised that the food had improved. He had the ribs and actually enjoyed it. He is usually very picky about his food. I had some kind of shrimp stir fry and was also satisfied with it. The hostess that seated us was friendly and our waitress was ok. She did forget to bring us our drinks and it was only iced tea and coffee. Then we were never offered refills. But the food was good so we might be back.  I have never liked Applebee's in the past. Food was always too bland.
Dangja M.,"Martinez, CA",291,76,67,1.0,1/29/2014,Just don't come here.  Bad everything. Super slow service  Food is salty  Crap people  Bad neighborhood.
George M.,"Antioch, CA",171,52,,1.0,6/14/2015,"Dump. Save your money. You're better  off at the next door To go's or Jack in the Box. Or even snacks from the Shell gas station. Service is s-l-o-w. Your order will be wrong, and the server will look at you like it's your fault. Your companion will get her order, but it will freeze over while you wait for your correct order to arrive. Finding a manager is a process, as they attempt to wait you out so you'll just leave. Just save your money and drive away"
Grace Anne D.,"Concord, CA",265,364,623,4.0,2/21/2010,"So I read everyones review. We just stumbled upon this today since kabuki closes on Sundays. When I read te review I instantly judged this place and thought lowly of the food and service. BUT it was pretty much the opposite. The service was great. Joy, our waiter, was nice. Got our orders and refilled our drinks without even asking which was nice. Mlmy aunt and I got the 2 for $20 deal. We got onion rings as our appetizer. They were huge and filling! Loved them.  I took one star away because omfg the buffalo wings were so salty! It was ridiculous. I instantly had to gulp a lot of my shirely temple just cause of one bite of it. The place was cold and it was already cold outside and raining. :(  But overall: good food. Excellent waittress (who is Filipino and speaks Tagalog which was a plus). Business hours: Friday-Saturday 11am-12am. Sunday-Thursday 11am-11pm both for food and bar."
Alma C.,"Walnut Creek, CA",59,21,1,1.0,1/19/2015,"I wouldn't have ever came back to this place if their wings weren't good. Anyway, we went to this applebee's four times. And I must say, the first time my girlfriend took me to this place, I was a little impress on the surrounding but the food? No thank you. We came there four times, twice with both of our family's. Our food was UNCOOKED! UNDERCOOKED! The meats were still red. I'm sorry to say but they're unfriendly and they need a new cook asap. Thanks"
The Ç.,"Oakley, CA",0,14,,2.0,9/17/2014,"I really hate to say this. And if you look at my record of reviews and see the massive list of five stars I've thrown around, you know I REALLY hate to say this. But I can totally see why this place only has two stars. We went for my step sister's birthday, and I know she and her friends are rude and not very patient, but I was running out steam trying to protect the server, whom I knew personally from high school. Maybe they were just having a bad night, I want to say, ignoring the glaring two star total the business is sporting. But seriously, we were only supposed to be there for an hour and a half. Instead, we WAITED FOR FOOD for over an hour. Finally the food came out and the birthday girl's mother had her order wrong (although she didn't have him correct it, but maybe she was afraid to wait another hour). That bitch is no peach, so on a $70 bill she left our server $2. Which was so deplorable. I wish I had known before we left. Our server was a great dude and he didn't really do anything wrong. He was very present and on top of things with the drinks, and the place wasn't all that busy so he was constantly moving between the kitchen and his three tables. The lady behind us yelled at him and demanded to see the manager, and my mother and I started talking a little shit about ""people who are bad to service people"" and then that bitch apologized to him when he came back around with the manager. Seriously, I have to say again, it WAS NOT his fault. The kitchen was probably understaffed (or on strike back there, wtf) and there wasn't anything he could do about it. I could tell he was under pressure too, because he tried to save himself by making the birthday girl's dessert HIMSELF. You know there's an issue in the kitchen if the server is suddenly making your food. My mom and I tipped extra, because unlike everybody else at the table we have a shred of sympathy because we actually had to work at our service jobs and put up with bad customers. If I had known my stepmom was going to be such a shady bitch, I would have tipped him even more. I only gave this place 2 stars instead of 1 because he tried hard enough that the least he deserves is a star on damn review site. Hint to the owner; maybe you need more cooks or maybe your waitstaff needs a raise, but you better do something because I know at least nine people (myself included) who will never eat there again."
Chrissie G.,"Antioch, CA",71,127,82,1.0,9/8/2013,"Negative STARS!!!!!! WILL NEVER COME HERE AGAIN!  Was seated, waited at our table for about 8mins with a crap load of waiters pass us by and not one said anything to us.  Walked out and will never look back."
