Username,location,friend_count,review_count,photo_count,rating,date,review
Vince S.,"Bakersfield, CA",1,4,,5.0,3/31/2017,"Love the environment! Great food, deals, and people. We go at least 3 times a month. Go after 9 and happy hour starts!"
Myrna H.,"Wasco, CA",8,3,,1.0,8/3/2017,Took 15 minutes to get drinks food another 30 weren't  even busy ordered a drink never got it didn't charge me for it or would have been pissed . I had to stare at waitress to get her attention to get a to go box. Haven't been there in several years won't go bk 4 another few. Black Bear Diner 100 times better
Lee B.,"Shafter, CA",0,4,,4.0,3/8/2017,"Very friendly. And our lunch special was delicious. Cleaned our plates. I'm not one to yelp as much has these other elite 50pagers yelpers. Theirs some sorry a** people out there. Bashing and trolling businesses. It's sad . Im a cook at a family restaurant and there's the good and the bad, but come on."
Elaine A.,"Bakersfield, CA",0,22,3,5.0,8/10/2017,"Excellent food and service!  Had their pick 3/4.....we chose the 6 oz sirloin, with cajun shrimp topping and sides were their new garlicky green beans (perfect!) and garlic mashers!  We were too stuffed for dessert, but plan to return soon!  We were celebrating a friend's 90th birthday and she even ate almost all of it!  Of course, she took it home and enjoyed it the next night. :-)"
Fili C.,"McFarland, CA",15,3,,4.0,3/5/2017,"Overall the food was very good. Service was not as good as past times. Server had too many tables. Constantly would forget to take order, and bring silverware but overall all good."
Maresa R.,"Bakersfield, CA",47,11,6,1.0,12/18/2016,The waiter was very kind. Going to start off with saying that the place they seated us the area was very cold so I asked if they could lower the ac nothing was done about that then when the appetizers came we ordered the classic combo the only thing we enjoyed about it was the spinach dip my drink had a bug in it and the cup was dirty it looked like a booger lol very gross asked for it to be changed and they did..service was good but then the entrees came the food was very cold and hard we ordered ribs with mash and Mac and cheese the Mac and cheese was very good but the rest of it was cold and salty I really wanted to like this place but I won't be coming back here wish they would step it up with that food especially for the price it definitely is not worth it..:/
Dawna W.,"Bakersfield, CA",17,8,,1.0,8/3/2017,"My husband and I went to eat dinner here , we were greeted and seated in a timely manner . after waiting 20 mins a server asked what we would like to drink, waited another 20 mins for drinks. Than our server forgot that we never ordered dinner, after another 30 mins our order was taken. It took over 40 mins for our cold food to arrive. We won't be back"
David P.,"Bakersfield, CA",0,7,,5.0,1/19/2017,"We came on a Sunday night with my kids and wife. They said it would be about a 30 minute wait, they got us a table in 15. Our server was great! I believe his name was AJ. They lookhave aed extremely busy, but he always made sure to pay attention to our kids chocolate milk.  The food was delicious.  It was our first time there.... But we will definitely be back"
Cyndi H.,"Bakersfield, CA",357,248,1704,5.0,5/16/2015,"Can't believe we only have one Applebee's in this town and this is it... That being said this one is popping during dinner time.  I love the employees here. I've never gotten bad service or attitude from any of them. They are always friendly, attentive and caring. Whoever the manager is here.. I want you to know you are doing a great job with this restaurant!  I love coming here for dinner and a few drinks. The drinks here are strong and very good. Try the perfect margarita. You won't be disappointed. The food is pretty good also for a chain restaurant.  The molten lava cake is my favorite dessert. So yummy!  Applebee's, 5 stars!"
Melissa I.,"Bakersfield, CA",4,9,1,2.0,10/20/2016,"Got here and ordered an appetizer, 30 minutes later I decided to cancel it since I was sure our food would be coming soon. Another 15 min (45 minutes later) we got the food we ordered. Maybe they should hire more people. Don't think we will be back"
Terry M.,"Bakersfield, CA",0,26,,3.0,1/20/2017,"Usually this is a nice experience.  The food is consistently good and desserts are wonderful.  This time the appetizer, entree, and dessert were good, it was the service that was not up to par.  We were ignored at first, those being seated after us being served first, then the server (male) was very inattentive throughout the meal.  When dessert came, we ordered the maple butter blondie, which we shared, and when we've ordered this in the past, we chose not to use the cream cheese sauce, which comes on the side.  The order was delivered to our table by another server, and before we could take a bite, our server comes to the table and without asking just pours the cream cheese sauce over the dessert!  Under other circumstances, we would have sent it back but we were very tired and didn't have the time for that.  This server will be avoided by us in the future."
Emily C.,"Porterville, CA",171,3,,2.0,5/22/2017,"Good happy hour margaritas but the waiter we had made us feel overwhelmed because of how fast and loud he was talking . It was so weird . I know it's something they say all day every day but when a customer asks for a happy hour menu or what's on it and prices I shouldn't be told "" it's the normal stuff , margaritas and what's on tap"" I'd like to know my options."
Whitney W.,"Bakersfield, CA",211,189,569,4.0,6/4/2015,"Much better experience today! Came in for my wife's birthday lunch, and so there's that extra pressure for it to be good. And it was. Terrific server kept us happy with special orders and refills!  Food was much better this time. I tried the Triple Hog Dare Ya sandwich, which is pulled pork, topped with bacon and Canadian bacon as well as crispy onion straws! It was fantastic, and it filled me up.  It came with the new homemade chips, which were crunchy and nicely seasoned.  My wife ordered a BLT with soup. She asked for no tomato.  It arrived with undercooked bacon and tomatoes, but our terrific server fixed it up right away. My wife said she loved it, and the tomato basil soup was excellent as well. We had the birthday sundae and a brownie bite dessert. The sundae was just ok: vanilla ice cream, a small dollop of chocolate and drenched in too much whipped cream. But it was free. The brownie was really good, served warm with ice cream and hot fudge, and we both liked it a lot! We'll be back again!"
Jose S.,"Bakersfield, CA",0,6,,1.0,11/23/2016,"We came in with a group of 5 how much do you think that would cost? 40? 50? Try 90 mother fucking dollars. Tyler was our waiter....dick. He was super slow and not curtious. He had a case of resting bitch face. They had a promotion going where if they don't ask about a gift card you tell them and they give you a free dessert, we flagged him down and notified him that we wanted to use this promotion and he said ok 1 sec....40 minutes later a manager showed and asked what we wanted, no menu was given so we looked at the menu once given...had to wait another 30 min . Shitty ass place. Better eat before coming here horrible"
