Username,location,friend_count,review_count,photo_count,rating,date,review
Stevie B.,"Los Angeles, CA",0,16,,1.0,2/18/2016,I've been coming to this specific restaurant for year's. But recently these past months they have move manager's around that's fine. But why make the  biggest mistake by making a ex BAR waitress a manager. I believe her name is Sandra or Samantha who cares she is extremely rude to my wife and I. Then she acted like she was the owner and couldn't be touch LOL. Talk about letting your position go to your head. I still go because I love the food but when I go she knows we dislike her extremely.  Beware of her everyone....
Lon M.,"Canoga Park, CA",1,62,3,2.0,1/6/2017,"Starting on a good note my wife seems to love the food here. Me not so much. First I don't like the service at this location and never really have. You'd think after all the many bad reviews on the service at this location they would have cared to do something about it by now but they don't care here. Nor does the upper management for Applebee's chain either. This place is service with all young adults mostly that don't seem to care much or provide all that great of service. This is a yuppie joint for young people. A bar basically surrounded by a restaurant just like the garbage Red Robin chains.  They seem to change their menu too often. They use to have this pretty good chips and dip on the menu, then it was just taken off. All the other appetizers at Applebees is mediocre nothing special. The pretzel thing with beer dip whatever is not all that great after a few bites. The steaks here are nothing better than  you could get at any Sizzler. Too much money for what you get imo. Not worth it. They have a bit better steaks at Chili's for around the same price. Really the only item on Applebbe's entire menu that I like is the fish & chips. I'm glad I found something I like to eat there at least seeing my wife likes this place so much. I get annoyed coming here. I don't like the crowd and noise and the servers here are too busy to give a rats about the service for any particular table. Been here numerous of times and it's always that way. You need anything, usually you have to stop someone to ask because the waiter can't be found. Another of many joints who take your order and then have somebody else bring out your food. Then you hardly ever see the waiter or waitress again to get drink refills or whatever you might want. Has happened on most every visit I can remember.  Also, after being here A FEW TIMES THE RESTROOM SHOULD BE KEPT CLEAN AND IT IS NOT! On 2-3 visits the men's bathroom is out of towels and the bathroom a bit filthy and you can tell it hasn't been cleaned properly. I mean after 2-3 visits and the same thing? Come on! Management here doesn't care. Notice by all the replies the management has left on the reviews here? LOL.  The Food: Besides the fish, the rest of the food I've ever ordered here (steaks, burgers, appetizers) is all just blah boring food and nothing special. Not even worth the money they ask imo.  Got to agree with another reviewer on here about the parking. The lot at this location sucks, is not handicap friendly at all because the entrance is way out on the street instead of the parking lot and if there is a long wait at this place I instantly want to leave because it's very uncomfortable with no room to sit hardly at all. Not even worth a 10min wait here. Loud inside and not a place to have a nice quiet diner at all. Or good service. And the background music they play is Taylor Swift and annoying yuppie new techno music.  If it wasn't for my wife liking this place I would never eat here.  And this is one of the very few restaurants that doesn't have Clam Chowder soup on Fridays? Wth? lol"
Artemis D.,"WOODLAND HILLS, CA",3,34,1,5.0,2/26/2016,"If you have any questions/concerns, ask for Jeff the manager. He's great. Kind, patient, willing to do whatever he can to help. The food quality is great. The salmon is about half of what is shown in the menu picture, but other than that, portions are as expected. Delicious food. Fast service - I only had to wait 10 minutes for an order to go."
Meli N.,"WOODLAND HILLS, CA",703,225,1807,3.0,11/17/2013,"My friend from out of town was craving French onion soup & she's use to having it from her local Applebee's. I guess it was alright, but I wouldn't be rushing back. I ordered the boneless wings with the spiciest buffalo sauce. Very salty and the ranch dip wasn't helping.  Service was good & the place was busy, but we only had to wait 15 mins."
Jessie S.,"West Hills, CA",0,2,,5.0,9/6/2016,"I am really pleased with the ownership at Applebee's and their commitment to this community and its families. I was contacted by the owner shortly after our fundraiser experience. He was extremely sorry for the way that everything played out that day. He was not aware of what had happened that day but as soon as he was, he took immediate action to contact me and was more than happy to issue us a refund for the difference. I also received a letter in the mail again apologizing for the whole incident and his willingness to work with us in the future. This is the kind of ownership needed in our community :)"
Angel M.,"North Hills, CA",88,58,175,4.0,5/11/2014,"Their menu has improved with a bit more healthy options which is a good reason to stop by.  It convenient to grab a bite before or after watching a movie.  But, the reason why it's boost to four stars is because of their late happy hour.  The service can be a little slow, but in their defense they try."
Patrick R.,"Los Angeles, CA",11,8,,5.0,5/18/2016,My wife and I ate at this restaurant on a Friday afternoon our waitress was a young lady named Jessica she was very nice and very knowledgeable her service was outstanding.  The good was properly cooked and very tasty.  We also had a drink from the bar and we found those to be very well prepared.  The entire dining experience was very enjoyable.
Andy A.,"Northridge, Los Angeles, CA",176,11,2,5.0,3/17/2016,"Walked in because other nearby restaurants were busy for saints Patrick's day . Ruby was excellent, not to mention her mom, mom was absolutely nothing but the gave us the best customer service. Really changed my mood from being annoyed of the wait from all other places . I will defiantly come back because of the moms service . One thing I do regret is not getting her name, thank you mom and ruby!!! Food was good..."
Melinda M.,"Canyon Country, CA",2,38,,3.0,10/17/2015,The bathrooms were very gross. The women's room and the men's room (My husband told me).   It was also so cold there.  I felt like I was in a refrigerator while trying to eat.
Gregory W.,"Van Nuys, CA",18,140,6,5.0,1/17/2016,"I'm giving 5 stars based on my low expectation.  Any time I eat at a chain like Chili's or Friday's, I'm shocked at how bad it is.  We went to Applebee's before a movie for a drink and a quick bite fully expecting it to be aweful.  I was pleasantly surprised to be served very decent food and drinks for a very fair price.  I just know if I go back it will be aweful so I'll hang on to this feeling for a while."
