Username,location,friend_count,review_count,photo_count,rating,date,review
Jennifer H.,"Park Ridge, IL",103,31,2,1.0,7/15/2012,"I tried to order the Curbside to Go Service the other night for dinner.  It was a simple request: a salad with chicken in it and a chicken wings appetizer. I was put on hold and jockeyed between employees 3 times before anyone even took my order.  Then, I finally placed the order and said that I'd like to delay it a bit so that I could finish my work--pick it up in 30 minutes instead of 15.  I was told that the entry system was unreliable when it came to delaying orders like that.  Chances are that someone would still make the food and it would just sit there. WTF? Even if this is the truth, how is it good business to TELL people that?  So I asked, ""Just to clarify, you are telling me that I need to call back to accommodate your system?""  The reply? ""If you want your food to be hot, yes."" I will never eat there again, and that's a shame because I hate to cook and find myself eating out quite frequently."
Jennie R.,"Oak Lawn, IL",56,21,5,1.0,1/6/2014,"I've been here only a couple of times but last night was really bad. As everyone knows there was a nice snow storm so we thought we would grab something to eat while we were already out. We were seated right away. Our server was over to us in just a couple seconds to see what we wanted to drink. My boyfriend asked if they had dr. Pepper and she said no but we have cherry Pepsi. That is no where close to being dr pepper! It took at least 10 minutes for us to get our drinks. So we were looking through the menu and there weren't that many choices for the 2 for 20 or 2 for 24 which is what we went there for. So we settled on spinach and artichoke dip with 2 entrees of their Mac and cheese.  It took another 10 minutes or so to bring out the appetizer. The chips were super oily but other than that nothing to complain about.  So I was really looking forward to this Mac and cheese and boy was I disappointed. The chicken tenders that came on top were okay, but the noodles tasted nothing like Mac and cheese. They had a barbecue/honey mustard taste and I didn't eat one bite of it. I'm a huge bread fan too so I thought I would at least enjoy the bread stick, but nope. It was dry and the seasoning that they put on top was just terrible. And with all of this happening, our waitress never stopped by us to see how everything was. They were all too busy trying to close early rather than take care of the customers they had in there. I wish we took the opportunity to just get up and leave when they were all hiding in the back. Definitely not worth $30. My other experiences were okay but this one really made me not want to come back ever.  I probably won't go back to any Applebee's. They're supposed to be known for awesome service, a fun atmosphere, and great food, but I never received any of that."
Easter L.,"Chicago, IL",50,12,1,1.0,9/25/2014,Myself and my boyfriend always eat there after the show and the last few times it has been horrible. I order the trio and always the sliders are hard and the chicken taste like they soaked them in water ( they had no taste) then they put them in the microwave. I wouldn't recommend anyone there. I guess IHOP it will be from now on
Walter M.,"Alsip, IL",7,16,2,1.0,7/10/2014,A horse dump would be better than this suck hole. Waited 30 min for a server who never came back after we ordered our food. It was the end of her shift so she left and no one picked up out table. After 30 min of waiting I just pushed my water onto the floor which finally attracted the attention of the manger. One the manager heard our story we were offered a free appetizer. In reply I pushed my wife's water onto the floor soaking the managers feet. Needless to say we left after that.
Kevin V.,"Arlington Heights, IL",0,6,2,5.0,8/31/2015,"I had one of their new burgers. Man, one of the best I've had. Bun was a brioche type, meat was cooked perfect and tasted great. It had crispy hashbrowns on it with a fried egg. I loved the fact when the yolk cracked I had egg flowing out. The burger wasn't greasy at all. The fries tasted great and were hot. Service was very fast and friendly. I highly recommend. On a separate trip, I had a couple late night apps. The pot stickers tasted good, though a bit small. I'd prefer a few less and bigger. The boneless wings on the other hand, best I've had. Juicy white meat, hot and not greasy. Good size too. Better than Hooters and BWW's. I'll be back."
William H.,"Burbank, IL",3,24,6,3.0,12/9/2011,I've been going here for years and the service is either a hit or miss. There is typically a wait but this is often because some fat single mother comes in with her seven loud kids. Can restaurants add in a kids only section like how we used to have smoking and non smoking sections?  I rarely had a bad waiter and a manager does come around to check on you and they have been known to comp you of the drinks have been watered down or the bar tender made the drink wrong.  I've had my best service sitting at the bar. No kids around you or anything and fast service obviously. Menu is decent but the portions seems to be getting smaller.
Eileen P.,"Flossmoor, IL",27,90,25,5.0,2/22/2014,I have been to this location many times. I have always had good service from my server and the food is good and reasonably priced. I can't say that I have ever had a bad experience at this Applebee's. I also love that on Veterans Day they give free meals to Veterans. I go every year and have a steak.
Judith M.,"Park Forest, IL",3,171,,2.0,7/24/2011,"I recently had a late dinner at the Applebee's in Crestwood, IL with five friends.  It was in the middle of a heat wave; unfortunately part of their seating was unavailable as the air conditioning did not work.  Thus, we had to wait for a table for our group which we were told would take 10-15 minutes, but it was more like five minutes.  The air conditioning where our table was located was okay.  I think that the Applebee's corporation needs to renovate this restaurant in the future.   The service by the waitress was fine, no complaints, and she came by often to make sure we had what we needed.   I've never been a fan of Applebee's at I any location as I think the food and beverages are a bit overpriced.  However, my food was fine, no complaints."
Concerned C.,"Oak Forest, IL",0,4,,1.0,2/10/2015,"Ordered a chicken breast which was served burnt. It was redone and still black.Per waiter, the manager refused to substitute another menu item. Last time I patronize this establishment!"
Don I.,"Midlothian, IL",0,58,,1.0,1/26/2015,"My wife and I dined here on Saturday 1/24/15 shortly after 4 p.m. My hamburger was under cooked. The server named Nick was very new. And he probably did not receive enough training. But being a waiter at a restaurant does not take that much training, but you have to want to do it. He obviously didn't. He got our order wrong, with the endless fries. When we asked for more fries, then he remembered what we ordered in the first place. For some reason, the lights above our table and two others were not lit. When I asked why they all of a sudden came on. This place is nothing like the TV commercial! The only reason why we ate here is because we received a gift card for Christmas. Don't even bother coming to this restaurant! Go to Hog Wild in Midlothian instead! And the one star above is for the TV sets."
