Username,location,friend_count,review_count,photo_count,rating,date,review
Gene B.,"East Bay, CA",251,648,993,3.0,10/18/2017,"Had dinner at Applebee's due to the fact we were lodging next door. We had a few rounds of Patron Perfect Margaritas, appetizers, and a hot skillet plate. I was quite impress how our bartender waited on us while she worked the bar. It's obvious they are understaffed, but it did not significantly impact the quality of our service. Not a spot to be picky, but definitely a place for drinks."
Tara V.,"Sacramento, CA",80,23,19,2.0,12/18/2017,"I am bummed! The management will not allow me, (or you), to use the YELP! Check-in offer...sad. But I'm enjoying a $1 LIT while my phone charges! That's good, right? Maybe I'll try food when I'm hungry."
Luke C.,"Davis, CA",288,229,1034,3.0,6/26/2017,"Applebee's can be a really mixed bag. I've been here and have had a very satisfactory meal that I enjoyed quite a bit, and at other times it has been a total failure. But overall my experience has been positive. When the meal isn't very good, it's because the food is too salty when done incorrectly.  If you're going to Applebee's, I'd recommend the two for $20 or two for $25 deal. It's a great deal! You get an appetizer and two entrees. The appetizer is full size and is a great way to start a meal. The selection that you can get is nice. I usually get either the boneless wings or spinach & artichoke dip and chips. (Hint: You can refill the chips, just ask!) As for the entrees, I really enjoy the ribs and mini ribs. They have a variety of flavors to choose from, and this is what they are known for. Some dishes, like the hamburger, come with way less food and will feel like a rip off. Don't go that route! One good thing just about every visit to Applebee's is the service. I don't think there was a time when the waitress wasn't very good. Tonight we had a server named Heaven. She was as good as her namesake. I think Applebee's is worth the visit if you order the right things. It's definitely not the best, but it can be a nice place to go every so often!"
Amrutha C.,"Dublin, CA",60,21,37,5.0,3/4/2017,"I have been coming to this Applebee's since 2014 on and off. I have moved to bay area now and whenever I'm crossing over Davis, I make it a point to eat here.  The feel is good. They are open till late. The servers are always nice and the food doesn't let you down. I enjoy eating here vs. other Applebee's locations.  I will be coming back in the future too!"
Joe L.,"Fairfield, CA",0,9,8,1.0,10/21/2017,Quite possibly the worst service and meal I have ever gotten!  Stay away from this dump.  Waited 15 mins to be seated then waited 15 mins to get water.  Got boneless chicken wings and the chicken was raw!  Grossed me out.  Absolutely horrible!
Blue B.,"Glenhaven, CA",0,1,,1.0,12/17/2017,"Walked into this Applebee's and it was fairly quiet, so we assumed the service would be good and fast. However our waitress (Jessica I believe but she had no name tag) was not the nicest, and we watched the other waitress working serve food to other people and get them out the door quicker than our waitress could even bring us our drinks. Our waitress was not the most hospitable person, and when asking for more chips replied with ""you can finish those before I bring you more"", after that comment our attitude changed to not being as bright. When we did receive the food it was all cold, all three steaks, the sides and the burger order. We sent our food back and the manager came back and took care of us. Our steaks were bigger but still the same temp. Everything else was good. Our waitress never came back to check on us, and she took so long so we paid over the automated pay system. Very happy to have the manager come and resolve the food issue with a better attitude however, still disappointed in the disrespectful waitress. Will not be coming back on my way through. Don't even want to give one star!"
Jessica l.,"Newark, CA",0,35,4,5.0,8/25/2017,"WHAT 2.5 STARS? Those yelpers must have never had Katie as a bartender. She is very kind and can make a great long island for me. Ever since the new menu, Applebees has been using a weak premix but she can make it like the goodness it was before."
Brens S.,"Winters, CA",6,42,24,1.0,12/21/2016,"Bought a $5 ""bowl"" of chicken tortilla soup and barely received enough to fill a measuring cup. Was hoping the flavor would make up for the poor serving size but it's really nothing to write home about. The same soup from Safeway had more flavor and the price was much better. Sorry Applebee's, I tried. The curb side dude was really nice though so he gets the star."
Cindy C.,"San Mateo, CA",410,450,3439,3.0,3/14/2016,"Came here once for a friend's birthday. Food was good. Staff was nice. Very accommodating for our huge party. Drinks were decent and came out fairly quick. Food took forever though... Plenty of parking which is always nice. All in all, not bad."
Ellie R.,"Santa Monica, CA",458,10,,4.0,2/27/2017,I always enjoy going to Applebee's. It is never too busy and the staff is very attentive. The prices are great for the quality of food
