Username,location,friend_count,review_count,photo_count,rating,date,review
Evelyn V.,"San Jose, CA",34,6,,5.0,1/6/2018,Order the Steak and Shrimp Parmesan. The food was amazing! I didn't expect much but omg was it good! The steak was thick and juicy. We couldn't get enough! This will definitely cause a food coma! Lol
Steve C.,"Auburn, WA",10,105,182,2.0,12/24/2017,"We stopped at this Applebee's location for lunch on our way north bound on Hwy 101.  The French Onion soup I started with was very good with a rich flavor. The restaurant wasn't quite full, but the food did take some time to arrive.  My better half 's Fish and Cole slaw was done beautifully, with the fish fried golden brown and tender and moist. Compared to my sirloin steak which was rather chewy with gristle. The starch on the plate which was potato tots on a bed of mash potato didn't quite work well together.   Service was minimal. Our server passed our table a few times without stopping to check to see if things were alright.  At the end of our meal, with the credit card transaction, a 20% gratuity was suggested after the total amount which we did not quite agree with the service we received.The total bill comes up on the trivia game machine on the table. You swipe your credit card into this machine and a 20% tip is calculated for you.  If this is the business practice with Applebee restaurants in place, in a way it helps encourage a slack in service practice from their employees without providing their best to customers and just take things for granted! I do believe we are done with Applebees if this is their practice."
Jennifer H.,"Folsom, CA",30,88,45,1.0,12/11/2017,"Don't try ordering to go: 1). Ordered ribs with honey sauce. Got ribs with spicy sauce. 2). Ordered brownie bite. Got Blondie brownie. Green beans were over cooked mush. Potatoes were ok. Ribs were over cooked. Not a fan of the blondie ""brownie"" but that might just be me. They did get the ice water right. So one star."
Chris C.,"Imperial Beach, CA",55,18,2,2.0,1/2/2018,"I'm driving down the coast with my family and staying the night here in Eureka. I wanted slightly better than fast food but not expensive restaurant prices so I chose Applebee's. I knew what I expected to get. So I ordered food on the phone so I could pick up and go to the hotel room, sit in my pjs and relax. As we arrived we were jovially greeted by a waitress. She was quick and efficient. I sat there for about ten minutes (I showed up early so I expected to wait) and watched waitresses cycle out the door for their smoke break. Eventually we got our food, paid the fair price and drove home. Upon setting out our food to dig in and enjoy I was greeted by several surprises. My first surprise is I had not received what I ordered. I asked for a chicken club and got a chicken burger. I guess it's kinda the same right? I mean they both have chicken... and bread.... well trying to be laid back I figured it was no big deal. Then I got my Second surprise..... we got a chicken oriental salad. Apparently they thought I wanted it rare. Cause that's how they served the ""crispy chicken."" In all fairness it was crispy on the outside so they technically told the truth. But the chicken was completely raw in the middle. So all in all if you want a low priced meal in this town I would think about looking somewhere else. I added one star because, like I said, the waitresses were nice."
Jeff S.,"Willow Creek, CA",0,1,,1.0,1/6/2018,I ordered their endless riblets and when I got them they where cold not even luk warm and when they brought me out hot ones I ate a couple and they were really good but then I got to my third or fourth piece it tested like soap then I took the pic I took a bite out of and t even smell like soap over the sauce so i asked for a manger and i told him what had happened and all he said was we wont charge you for your meal and then walked away then came back and gave a bull shit sorry im going to call their corporate office tomorrow he didnt say he would look in to it or nothing
Meagan B.,"Chico, CA",0,8,3,2.0,12/29/2017,"We don't expect much from Applebee's except a consistent food experience (you know what you're going to get) and timeliness. We ordered takeout here and asked for extra dressing for the salad when we got inside. They said yes, walked to the back and grabbed our food and specifically said the extra dressing is in there with the salad. We should know better but we assumed we were safe, drove to our hotel only find there was no salad and, understandably at this point, no extra dressing. Seems petty to be upset, but it's frustrating to get back and not have food for one person of the group - especially after you paid for it and tipped on it."
Bill K.,"Lake Placid, FL",0,11,1,4.0,12/6/2017,Very personable server. April did an outstanding job!! She was very attentive to our needs. The food was typical Applebee's food
Venus Elisha E.,"Eureka, CA",89,19,9,5.0,1/20/2017,"Good old Applebee's. I tend to be seated in the section a former classmate waits on, everytime I come to the restaurant :) She always greets me by name. The table there are usually sticky, but it's the territory of steakhouse sauces and delicious deserts. Not to mention sweet cocktails! One of the items brought to me was a bit below temp, and they had no problem fixing this for me. I love this location and I will be coming back."
Sara H.,"San Luis Obispo, CA",0,14,3,1.0,8/18/2017,The service was okay but the food lacked a lot. I would recommend lowering your expectations to nothing if you choose to eat here
Rachael T.,"Eureka, CA",79,7,28,3.0,7/11/2017,"Our server was great. The food was not. The sirloin steak was pretty good and I really enjoyed the sweet potatoes. Our waitress forgot our sweet potato fries but that wasn't really a big issue and they were out and fresh fairly quickly. The whiskey bacon burger was a disappointment. There was hardly any flavor, just tasteless calories."
