Username,location,friend_count,review_count,photo_count,rating,date,review
Diana D.,"Milwaukee, WI",119,9,,1.0,3/6/2015,"I've never really loved any Applebee's locations, but this is by far the worst one I've been to.  The restaurant looked 50% empty, but there was a line of about 6 parties waiting for tables.  The hostesses and waiters looked very uninterested and had no sense of urgency whatsoever.  The food was also very below average.  I will not be coming back to this location."
David K.,"Milwaukee, WI",0,68,9,1.0,10/27/2013,"DISASTROUS  PLACE TO EAT!! My son took his girlfriend to Applebees.  He said he had to wait about 30 minutes to be seated even though there were many empty tables. He said that the hamburgers he ordered were barely edible and were cold. He said that his waiter was unfriendly and acted like a robot and did not smile. Yes, this is a 2nd hand review but I have been to Applebees myself on a few rare occasions and can completely concur with what my son had told me.  While I did not have to wait quite that long for a table and my waiter was somewhat cordial, the food was cold and did not seem at all fresh. I knew then that this visit would be my last. The only reason my son went back was that he had a $25 gift card so in essence, his meal was free. Irrespective of the gift card, his service stank, his waiter stank and the time it took for him to be seated stank. Time to close up shop, Applebees, and let's see a decent restaurant in it's place."
Kate T.,"Aiea, HI",485,397,276,1.0,7/9/2012,"While visiting wisconsin I wanted to go to Applebees so my mom took me there on my last night there. I was really disappointed. What happened to customer service? The people working here are not very nice at all. After commenting on our servers attitude my husband told me that it was probably her last shift so she was entitled to act like that. I'm sorry I don't care if your pet died your at work and you shouldn't be as mean as our server was.  Even though the workers were completely horrible, the food was pretty good. The drinks were strong and the restaurant was clean. Another thing is that the service was quick. Even though the restaurant had these strong points the workers made me not want to ever come back again.  LEARN TO USE CUSTOMER SERVICE!!!!!"
Kelly S.,"Saukville, WI",0,12,,3.0,1/12/2015,"It's Applebees. It's fine. Sometimes its good, sometimes it's not. I've never had anything really terrible from here, it's usually at least Decent. The waiters have always been at least nice, if sometimes slow or kind of strange. I recommend coming here on the weekends, since the atmosphere feels inexplicably strange during weekdays when the restaurant is mostly empty."
John A.,"Milwaukee, WI",0,9,,2.0,11/22/2014,Watched the manager get into a verbal fight with a customer. Was pretty funny. Although I feel bad for her in the end because she was pretty much in the right.
Harriet M.,"Milwaukee, WI",0,1,,1.0,11/19/2015,"I have always been a big fan of Applebee's since it started in Kansas City and that's where I'm from. Tried this one twice and it's a disgrace.  The service was terrible.  The waiters seemed more interested in talking among themselves than waiting on their customers.  The food took forever and when it finally came, it was mediocer.  I will never go there again.  If you want an Applebee's that's a credit to this chain,try the one in Oak Creek."
G F.,"Hales Corners, WI",1,27,23,1.0,3/29/2016,"We went to this Applebees a couple weeks ago to celebrate my Mom's birthday. Although it wasn't busy- When walking in, the Hostess informs us that we'll have to wait 10 minutes to be seated and ""wait even longer because we're short on staff"". We accept and decide while waiting, we'll at least have a drink at the bar- which only had two other patrons. While waiting at the bar to order a drink, one staff is closing out the drawer so the other bartender couldn't take my order. He acknowledges that I'm theWere and tells me to ""wait"". When the staff appeared to be done closing out her drawer, the bartender STILL does not take my order.  He just tends to the other patrons already there, as I patiently wait. At this time, three other people walk in and sit down. The bartender answered their questions and as I thought he was opening the drawer, ready to take my order, the previous staff who closed her drawer, jumps back on the computer. At this point, I'm waiting 15 minutes. Our name was called for a table, and as my Mom waits at the table, I'm still waiting at the bar to order a drink. We figured at the rate this was going, if a waitress tends to her first, then I order, we'd be good with a few drinks to last our entire meal. Once the staff is done messing around on the computer/drawer, the bartender takes another patrons order first. Patrons that came after me. I let it slide and wait... Reminding him I'm still waiting, he acknowledges, and STILL takes ANOTHER patrons order. It this point, it's been 25 minutes with no order taken. My Mom is still waiting at the table and has not had anyone come to take drink orders there either. After a HALF AN HOUR, I had enough. We left and went to Buffalo Wild Wings across the street. Ridiculous!"
Frank Z.,"Whitefish Bay, WI",7,1,,1.0,1/11/2014,"I've eaten at quite a few Applebee's and this one is by far the worst. Our waitress was very kind but our food was horrendous. The fries were soggy and cold. They were the worst fries I have ever tasted in my life. Also, there were old, dried French fries and onion crisps missed in with our chips. Do you guys not know how to be organized and clean? There were also water stains on our plates. Disgusting. The quality and quantity of food was lower than I had expected. I will not be coming back to Applebee's anytime soon."
Ryan L.,"Milwaukee, WI",11,31,1,3.0,3/12/2015,"This is in regards to Applebee's Bayshore at their new location right next to Pt Washington Rd. The old location attached to the mall has been closed and bears signs directing you to the new building. It should be noted that there are absolutely no parking spaces dedicated to ""Carside to Go"" which is advertised as being an amenity to this location. Other locations have dedicated parking spaces off to the side of the lot and have attendant comes out of Applebee's and bring meals direct to your car. You need to find a parking space yourself (good luck) and walk to Applebee's. You walk in via the front door since they lock the ""Carside to Go"" door. Your meals are held at a counter behind the bar. If you go at 3ish in the afternoon you're fine. Any later then that and the bar crowd is so thick it's going to be a mess picking up that order. If you have a choice of locations for a ""Carside to Go"" order, go to Menomonee Falls. They have a 6 parking space section and are very prompt. The food at this Bayshore location is fine, but they forgot the coleslaw on my two riblet platters when I ordered. Not a huge concern since they come in tiny cups, but getting it would have been nice."
Chelsea G.,"Noble Square, Chicago, IL",9,15,1,1.0,3/8/2015,"Walked in and noticed about half the place was empty. The host and what I assume was the manager was talking to a women in front of us. They told us it would be a 15-20 minute wait when we could clearly see about 12 open tables. What really turned me off was the manager telling the women in front of us that they do not accommodate groups more than 9 people. The women asked if they could split up the group into different tables. The manager proceeded to tell them they do not do that because he doesn't want people walking around and getting in the way. I can see where he is coming from, however this was a large group big money and they are paying for a service. After listening to how rude he was treating the group my friend and I walked out. I believe the customer is right and should be accomidated.  There are tons of places to eat in that mall they better get their service together or people will do what we did! CPK treated us great!"
