Username,location,friend_count,review_count,photo_count,rating,date,review
Aspiring M.,"North Broadway, NJ",3,37,31,5.0,7/22/2017,"For one I love this applebees . The location, the staff and the food is great . I've never had a problem when eating at this applebees . The bartenders are always fast with service as well and cheerful .  People complain about how long their food takes to come , if you want faster service come at an appropriate time or sit at the bar where staff is always at your service or how about applebees menu barely changes know what you want when you enter that way you can order your food and drinks simultaneously."
Sheena D.,"Belleville, NJ",83,35,2,3.0,12/15/2017,"Food was a tad bit cold, steak was done as I asked tho. Waiter was very attentive and to top it off, got my $1 long island iced tea. Although they take long for the drinks, it's $1 so I won't complain...."
Gypsie R.,"Kearny, NJ",3,9,1,2.0,12/19/2017,Chicken with pasta had about 2oz of chicken and about 2 cups of pasta-where's the meat? Could've used more sauce. Chicken lime cilantro was missing lime and cilantro!  And why would they put cranberries in the rice that goes with this dish? Waitstaff friendly.
Chadwick H.,"Belleville, NJ",52,6,22,1.0,4/24/2017,"I never want to walk in an Applebee's at 11:45pm(15 minutes before closing) I ask about their happy hour drinks and be told by Jess(bartender) that....ok...but we are closing so you can only have one. This is what is immediately told to me after waiting for service. It's a drink,not a well done steak. ??? Number 1...I asked about your happy hour not your opinion on how many drinks i can take in a 15 minute period. Number 2 I'm a grown man old enough to be your father and can determine how many drinks I can have or decide to order in 15 minutes. If your open for 15 minutes I'm allowed to order atleast two maybe three drinks if I chose. This Applebee's is terrible. Always has been. Had my one draft and left. Still tipped."
Victor H.,"Kearny, NJ",0,22,5,2.0,8/29/2017,"I only come here because it is so close to home.  It seems more of a hangout for the workers than an actual restaurant.  There is a 5+ person table by the big tv that is occupied by the staff most of the time.   Today, the server was good, but the runner...  He handed my 11 year old a hot plate so he didn't have to reach to put the plate down.  He then handed my wife her plate of food putting it directly2  inches in front of my face.  I'll take the ride to Chili's from now on."
Annabelle L.,"Woodbridge Township, NJ",441,477,661,1.0,3/5/2016,"I didn't have a great experience in the Clifton location and reviewed the place online.  I was contacted a manager a given a welcome back card of $20 to give Applebee's another chance.  I decided to try another location and so here I am reviewing Kearny location. Ok, I came here on a Friday night and it was busy but not crowded.  My family and I quickly got seated.  Five minutes waiting and wondering if anyone is going to ask if we'd like anything to drink, our server, Perry, shows up.  We decided to give him our full order.   When the food came, my order of bourbon chicken and shrimp came out to be riblets and fries.  I just couldn't believe it!  Few minutes later, they brought out the correct dish.   The food was mediocre just like any other diner restaurant but I didn't expect anything more.  However, the service was slow.  I paid the bill on my credit card, which Perry took and walked around with it for another five minutes before he brought it back with my receipt to sign.  Well, I'll be checking my credit card statements and if there's theft charges, I know who stole it!   Must avoid all Applebee's!"
Crystal S.,"Newark, NJ",0,1,1,1.0,11/26/2017,The worst experience at a Applebees...Been here for over an hour and no food ..Prefer the Newark 100%
Kai H.,"Arlington, WA",1,1,2,1.0,11/27/2016,"I've ordered the Oriental salad many times from applebees. Today, I ordered it to go and this is what I came home to...maybe next time I'll ask for extra greens with my salad. I would normally excuse this but, we came here last week and my husband got the three cheese pasta from the 2 for $20menu. Needless to say ,it was also subpar and they definitely cheated him on the meat."
Joel M.,"Bayonne, NJ",0,5,1,5.0,1/1/2017,I have been to this particular location a few times. Overall the staff IMO always greet you as they should and the restaurant has a good atmosphere and is clean and well kept. The appetizers are really good. I like the idea that you can buy 2 smaller appetizers for $9.99 or 3 smaller appetizers for $13.99. My GF always orders Shrimp 'N Parmesan Sirloin and she loves it. I usually order the Three-Cheese Chicken Cavatappi and it is really good. I will be returning back to this location!
Foodie G.,"Manhattan, New York, NY",3,24,6,5.0,5/27/2017,"I hadn't been to this location in awhile, but yesterday I did since it was nearby. My best friend and I both only had appetizers. Which came out quick thank god because we were very hungry! Our waiter Camilo was very courteous and honest with his suggestions. Which were all fabulous. Great service great food. Will be coming here more often!"
