Username,location,friend_count,review_count,photo_count,rating,date,review
Marina R.,"Dallas, TX",89,119,269,5.0,11/9/2017,"This is the first Applebees I've been too that I have YET to have a bad experience with. Each time I visit I'm seated promptly, I have a nice waiter/waitress, and my food is always great. It really helps that they have daily drink specials as well - usually I end up here after a bad day haha. If you want to live through me, here is my typical order:  Appetizer: Spinach Artichoke Dip Entree: 8oz. Sirloin cooked MEDIUM with double steamed broccoli  Drinks:  2 Washington apple shots (at least)  The food here is honestly not bad, and I think you'd be surprised at the flavor of their steak.  Parking here is amazing & plentiful. They offer curbside to go if that's your thing.  Visit this location - it's better than the rest.  Xo."
Jessika C.,"Lewisville, TX",0,6,4,1.0,9/22/2017,"Horrible experience. We got to the restaurant at around 9:30pm, ordered at around 9:45pm. It's now 10:40pm and two people in our party are still waiting for their meals. Our drinks haven't been refilled once the whole time we've been here. My order as well as my fiancé's was wrong. When we did get our food, we had to wait for utensils because they didn't have any clean ones. The food was cold. We had to get our own drinks from the bar. Apparently, it was our waitress's first night. She was trying but she was getting frustrated. Finally, another waitress who normally works at the bar came to the rescue. She knows my mother and she took care of things. After all of this, I'm not sure I will come back to this location again.  Side note: The time is now 10:55pm and we just got those two meals..."
Krystal W.,"Duncanville, TX",104,123,356,1.0,8/5/2017,"Nope. Nope. Nope.  Came here for lunch and should have turned around as soon as I walked in.  Our server was apparently new...and he kept reminding us of that every 5 damn minutes.  I ordered mixed veggies and a plain baked potato. The server came back 5 minutes after my order to tell me that they don't serve potatoes before 4pm. Smh.  So then I ordered a side salad with Italian dressing, instead.  Again, 5 minutes later, he comes back and says ""oh we don't have Italian dressing""....okay, I understand being new, but this is getting annoying.  Also, each time he came back, he never took the initiative to refill my CLEARLY empty glass until I finally mentioned it to him.  I gave all this a pass because he's new....but... The food was horrible too. How do you mess up a damn salad???  First of all, they brought me a salad with items on it that I asked not to have. (The waiter kept blaming the kitchen, which even if it was their fault, he shouldn't do that) Secondly, it was cheap ass iceberg lettuce. Thirdly, the lettuce was old, brown, and wilted.  I would never come back here or recommend anyone to come here either!"
Courtney J.,"Lewisville, TX",0,3,,5.0,12/29/2017,I don't know how this place only has 2 stars the manager is awesome waiters are great and the food and drinks are amazing! I go on a weekly basis and am never dissatisfied! Amazing quality and customer service!
Divya S.,"Fort Lee, NJ",41,1,,1.0,12/21/2017,Worst kind of customer service. Waiters or the managers do not u derived what you want. Never going to come back here!!!!
Kevin G.,"Grapevine, TX",0,13,4,1.0,12/9/2017,"Terrible. TERRIBLE. Terrible! Slow and unresponsive staff. Dirty utensils, salad was stems and who knows what else. Never coming back, you get what you pay for. Much better options in the area."
Jocelin F.,"Weslaco, TX",1,15,3,1.0,12/18/2017,"I would not be returning back here. I don't even know where to begin. First our waiter never brought our drinks or utensils. Then after everyone else in my table got their food i was left waiting about 45 minutes to get mine. The waiter never came to ask how we were doing or if we wanted refills. We also ended up paying more than we should have even after my meal was ""free"". Very disappointed that we did not get to enjoy our experience here."
Meg C.,"McKinney, TX",111,172,334,3.0,2/18/2017,"The reviews here flat out suck, but I've never had a terrible visit.  Though I've only been here three times in the last two years, both times have hit the spot. I think it's all about setting the correct expectations. Two out of the three times we've come in, we waited several minutes for someone to acknowledge or seat us.  Service once seated has always been quick and attentive.  I order the All Day Brunch Burger because you can't go wrong with hash browns, bacon, egg, and cheese on a burger. The burger patty is well seasoned and overall pretty tasty.  I also substitute sweet potato fries for the regular fries. Cleanliness is questionable and concerning - all three times there were several tables not bused and trash all over the floor.  If you can get past this and the spotty service, you should be fine.Be sure to check out their happy hour specials!"
LaToya M.,"Farmers Branch, TX",86,164,99,2.0,7/15/2017,"Every time I eat at Applebee's I'm reminded of why I don't eat here.  I had a gift card so a friend and I stopped for apps and a drink.  I ordered the steak quesadillas with no onion.  They brought out a crunchy quesadilla with just meat and cheese because I said no onion I was told that meant I didn't want Pico which also includes tomato, jalapeño, cilantro and lime.  I asked to bring it on the side along with salsa and sour cream.  While waiting I took a bite just to see how the meat tasted and it was dry and flavorless.  I can't imagine the meat was prepared that day.  It tasted like old meat that was in the fridge and reheated.   I wish I would have taken a picture to show how the meat and cheese was so skimpy that it only covered only the inner half of the quesadilla.  I ended up sending it back because there was no saving it no matter what condiments I added."
Rick M.,"Lewisville, TX",19,13,38,5.0,11/14/2017,"Absolutely no issues with food or service.  I had no wait at all to be seated or to meet my server. Appetizer hit the table in 6 minutes. And the food 5 minutes later. Aaron, our server was engaging and positive the entire meal. The place was not loud or obnoxious and the mix in the music was not enough to drive anyone running for the car. Overall a great experience that lead into an epic night."
