Username,location,friend_count,review_count,photo_count,rating,date,review
Fay G.,"Pico Rivera, CA",26,33,34,3.0,12/28/2013,Three stars for the food pretty good once it gets to your table. Service sucks they need more ppl working or better communication even management agreed with us.
Diana V.,"Los Angeles, CA",0,18,,1.0,4/16/2014,Went in having high hopes from another Applebee's I had attended previously only to be let down. The food was only somewhat warm (ordered pasta) I asked for red crushed pepper they gave me what I'm pretty sure was left over pepper from someone else there was less then a tea spoon in there and half of it was dried up stuck to the sides of the little cup my boyfriends steak was also some what warm. The service was okay waited a while just to relieve cold food.
Candie K.,"Rosemead, CA",5,46,32,1.0,6/20/2013,we will not be returning to this location again. I ordered my 4oz steak medium well and it was well done. I sent it back but of course could not enjoy it with my meal. My salad was drenched in dressing making me feel like gagging. Not even a minute after getting our dessert some little boy vomited right in front of our table and it got on my boyfriends feet. The wait staff did their best to clean it up but come on! They Could have At least offered to take the dessert off my bill. Who wants to finish eating with vomit at their feet?! I got told sorry five times about the meat but not once about not getting to enjoy my meal because of vomit boy
Rich G.,"Los Angeles, CA",1,1,3,1.0,12/18/2013,We have come here a few times and have had somewhat of good service until tonight. The waiter who got our orders down did only just that. After he took our order we did not see him come to our table again throughout the night. We only saw him attending to other tables. The manager was the one who brought our food out. My whole family got there food in good time and I got my side order in good time but when it came to my actual dinner I got my food after my family was already done eating. It would have been longer if I didn't ask the manager to check on my food. After asking him it took another 15-20 minutes for me to get. He came out and said that he had a new steak made for me because the first one looked old which was good but my mash potatoes were ice cold. I did receive a coupon for my wait but I'm sure we won't be back to this location for awhile. Very poor service.
Francis R.,"Chino, CA",7,35,,3.0,3/28/2014,"I am a regular at this place because it's at a convenient location when I commute home. So on Friday Night's I often stop by when I am finished banging my head against the steering wheel. I order the same thing every time, a 9oz sirloin steak because I need protein baby! Look, this place is Applebee's, the steak is mediocre. The Cosmo's are mediocre, but the staff is friendly and it's a great place to relax before I get back on the road again. And again..."
Anna C.,"Rosemead, CA",197,193,423,2.0,4/22/2011,"I went on a date here with my boyfriend. It was our first times ever at an Applebee's and we were disappointed. It was Valentine's day, but wait time wasn't too bad. We got a seat outside. Actually we were the only couple outside and what do you know? The waiters completely forgot about us. We sat there for what might have been half an hour. We were furious and were tempted to leave, but you know... it's Valentine's day and we're already here. Plus, it's on our list. BUT enough about us. My BF made eye contact with some waitresses, but they did not come out to us. That is horrendous service right there. We finally got some help when my BF waved to a waiter. He was one of the best waiters I have ever come across, so much so that we actually handed a generous tip. I wish I could remember his name.... It started with an 'E,' I think, but yeah. He saved our night. The food was crap though. Maybe it's just because we have a strong taste preference for fast food and Asian food. The non-alcoholic drinks were pretty good. I forgot what I had because it's been a while (Sorry!), but yum! Some kind of sweet tea, I think. Anyways... to compensate for their stupidity, the manager took our onion rings off our receipt, but I'm still never coming back here. Probably never going to any other Applebee's ever again either."
Michael W.,"Sunnyvale, CA",76,46,25,2.0,4/17/2014,Food was good as usual. I like the 2 for $25 deal. The riblets with the spicy sauce is always good. 2 stars because our server was not friendly and unattentive. Seemed overworked.
Melissa D.,"Monterey Park, CA",21,6,38,3.0,4/16/2015,"Bar area takes care of you but if you sit around on the outside of the bar area, service is slow.  Happy hour is cool though  especially karaoke. Still sitting in the area around the bar and no  one has come to take care of us. So sad. Enjoyed our time but service sucks."
Cynthia A.,"Montebello, CA",2,11,,4.0,4/7/2014,"Accommodating,  great Happy Hour deals and best of all you don't have to sit at the bar. Best Mozzarella Stix. Great baked potato. The servers and bussers are on their game.  :)"
Andrew G.,"Whittier, CA",0,1,,2.0,4/3/2015,"Where ever shall I begin.  Randomly dropped in with my beau on a Thursday night, to our enjoyment it turns out to be karaoke night, which is enjoyable within itself. As we look around we se a great number of intoxicated patrons of whom should have been cut off a loooong time beforehand. To our surprise, we see what could have been a drunk waitress partaking in karaoke and actually sitting at a table with highly intoxicated patrons.  Next issue, I'd say there was a 1 to 4 ratio of ""cholos"" who were highly highly intoxicated and appeared to have issues with a handful of different guests and employees.  Understandably you get this anywhere but at this particular time we felt very unsafe and out of our element.  Nonetheless. Food was delightful as always, service was good a slight negligence due to the high census (apparently) a few delays in beverage refills and initial food entry.  I definitely do not recommend coming back anytime after 9pm (happy hour)  any time before and up to you'll have a dandy time and a delightful meal !"
