Username,location,friend_count,review_count,photo_count,rating,date,review
Avery M.,"El Dorado Hills, CA",0,7,,3.0,8/13/2017,"My lunch at Applebee's was alright. Our server was okay, but not very friendly. The food took a surprisingly long time for being relatively empty on a Sunday lunch.  The only huge complaint I have is that they were playing some show that was slightly disturbing during our meal.  It showed murder and blood spattering onto character's faces. Interesting!"
Sydney C.,"Cotati, CA",176,8,8,1.0,10/7/2017,"I give MOST of the staff 5 stars!! So cheers to ALL of you ESPECIALLY Carolyn the bartender last night 10/6/17. She not only keeps us coming back as often as we do. But with this $1 margarita promotion/fiasco she kept her cool and made sure we had everything we needed and that we were happy as could be the whole time we were there.  Now, the reason it's NOT a 5 star review and it's only 1 is because the manager last night, Socorro, did not do anything to make our experience better or worth coming back in all honesty. 1 her attempt of helping was more damaging then if she had not even tried..because she started to confuse everybody else and then makes their jobs harder. 2 my arm had hit my margarita glass and the 1/4 of the drink that was left in the glass had spilt on the counter top. (Oops!) She stood there and watched me while I was cleaning it up with one white little napkin... until I rose my arm and asked her if she could assist me by getting me more napkins, sense she was just standing and leaning on the bar spacing out doing nothing while EVERYONE ELSE was bussing there butts! She then wiped it down, but didnt even offer to grab me another drink! I also want to be very clear, I WAS NOT trying to get anything for free... but an offer to get a paying customer at THE BAR for another drink would have only made sense right?  Side note: Socorro turned down a group of people who wanted to order about 10 shots of patron..... she also made them feel like they were being the problem by asking for that quantity of shots.. even though they were a big group. You could tell the one woman talking to her seemed very offended and confused. now that's just blowing off business and loosing money... Now, back to when we first arrived. She wrote our names down, my boyfriend and myself, then walked away. After waiting about 20 minutes (which we had no issue with the wait. It was crazy busy. We get it.) BUT THEN a group of 3 walked in and ends up knowing some employees there or maybe even worked there, but IMMEDIATELY got sat and skipped the wait that about 10 other parties were patiently and fairly waiting for.  I've been in the serving industry for almost 10 years, so I get that if a coworker or close friend that comes in and if you can possibly sneak them in and have them skip the wait, then do it. Depending on the circumstance. Let me just say this was NOT the right circumstance lol. & To do it in front of ALL the people waiting AND to do it after looking at the reservation sheet seeing me and my boyfriends name next, but not knowing or seeing our party size (2) is not okay. Due to Socorro not doing her job..I politely approached the host after my boyfriend walked out and told the host to take us off the list and brought it to her attention how I noticed she allowed her friend/coworker to sit first... she was apologetic asked for my name and saw my name was next but didn't know the party size, but immediately said she could seat us right away. which all comes back to Socorro not doing her job effectively and writing down that one detail.  Not to mention while I was waiting to speak with the other manager on the floor that night, I over heard multiple servers complaining about Socorro being more of a hassle then helpful. I was informed she was new to FOH managing and usually manages in the back of house. But from the experience I had last night with her ""running"" things and being in charge and ""trying"" to help may not be a good fit and didn't allow us to have our usual great/smoothly ran experience.  We love Carolyn and Jason! Those two are the reason we will continue to come and give our business! So make sure to give them a huge high five from the both of us!  I usually never take the time out of my day to write this long of a feedback or any feedback in general whether it be good or bad. But in this case, it needed to be communicated. And it's also about time I give my two fav Applebee's employees a great shoutout! GO JASON AND CAROLYN!"
Mark H.,"Santa Rosa, CA",0,1,,1.0,10/12/2017,"I NEVER write Yelp reviews so you can believe me when I say this is the worst place I have ever been served at. It's sad to see that in times like these, where one's home has been destroyed and all we need is a place to eat, that there are people like Socorro R running this place that refuse to serve a meal. I'm appalled and disappointed that THIS is the only Applebees that people can now go to."
Michele B.,"Rohnert Park, CA",0,13,,2.0,11/14/2017,Went to meet a friend for the so called Happy Hour not so happy 2 cranberry Sky vodka in maybe a 8 oz glass one IPA and a house margarita over 30$$  Ridiculous never again
Lorena C.,"Rohnert Park, CA",3,54,10,5.0,3/18/2017,"This Applebee's is the best I've ever been to. I always get great service and great food! Mitchell and Carol are great at the bar, so attentive and always there to refill my drink :)"
Bridget C.,"Santa Rosa, CA",1,4,5,1.0,8/22/2017,Applebees is always a hit and miss. Its either alright food or just bad. I got food poisoning there and it was the sickest I have ever been. I will never eat there again!
Oliver G.,"Rohnert Park, CA",0,15,,5.0,5/15/2017,"The service and food here is really good. This applebee's can get busy, and Ive been there several times when they were busy and they have a very good staff. They always manage to work well under the stress and pressure. The food has also been very good, fresh, hot. Sometimes....not so much for the fries, but no biggie. Had very good drinks. The servers are very good about getting the discounted prices too for happy hour. Never had an issue over charge. Really, I keep going back cause it's all so well done."
Paul P.,"Rohnert Park, CA",29,147,1070,3.0,12/19/2016,Not bad the portions or not as I expected them to be could be better just three stars this time better luck next time
Mary B.,"San Rafael, CA",0,83,26,4.0,10/18/2016,Our waitress was sweet and adorable. Our dinner took a long time to get although it was very quiet in the restaurant. The food was good but very salty chicken and roasted potatoes were not hot enough. My husband had the ribs and was very happy with them.
Shayna O.,"Rohnert Park, CA",46,47,10,4.0,10/9/2016,"You know, I'm not a huge fan of Applebees, personal reasons and I'm not gonna bore you with that.  But last night, I was pretty impressed and satisfied with how well they handled our group (about 30 of us, unannounced). We all came for a post show celebration and were all hyped and starving! Yeah, food and drinks didn't necessarily come out in order, and we were waiting for our orders for a good amount of time, but hey! 30 people! You gotta expect that. Food was delicious! Sangria scrumptious and strong!  A huge shout out to Ryan for keeping his cool, same with the rest of the staff who got our people fed and kept them jolly! This was a great experience, better than my past experiences at an Applebee's.  Thank you!"
Chuck D.,"Rohnert Park, CA",1,37,,1.0,7/27/2016,"Have not been to Applebee's in a long time because we did not like the food. Well, it still sucks. Ordered a classic hamburger and got a hamburger with over cooked meat on a small bun and all of the fixing were on the side instead of on the burger as I expected it to be. We are done with Applebee's!"
Violeta G.,"Rohnert Park, CA",2,45,1,1.0,2/4/2017,Ordered food for pick up and the service there sucks. 2 meals were missing from our bags and when we informed the waitress she kept insisting that food was in the bags. We took out the boxes and showed her that was not true. Paid extra for onion rings which you get 5 small rings Manager basically gave us 5 dollars back on my giftcard which I am just going to toss since this place is a joke. Got home and the wonton tacos that were suppose to be steak were chicken. Smh never again.
melissa b.,"Petaluma, CA",0,5,,1.0,1/27/2017,"Ordered almost an hour ago and still haven't gotten our meal. Claim they are having ""internet problems"". Since when do you need internet to cook the food?!?!"
Jason Z.,"Petaluma, CA",156,305,184,2.0,11/29/2014,It's not good at all.  Real c rap of food. It's a shame how lame this place is. I would be horrified if I came back.  Te food blows so bad and the monkey service blows too.  What a waste of time and money. Don't come here. It's white t all the way. They should be ashamed on who over runs this place. Good lord it is bad.
