Username,location,friend_count,review_count,photo_count,rating,date,review
Scott D.,"Temecula, CA",17,80,634,3.0,10/19/2017,"I must admit I haven't been to Applebee's in years.  Decided to give them a try tonight out of a since of nostalgia.  I used to go often in the late 80's/early 90s - Wow!  Bottom line, it wasn't bad.  It certainly isn't a culinary event, but it was adequate for tonight. It was good for what it is - casual dinning.  Greeted quickly at the door and had a prompt and mindful waiter, Kurt. I had the grilled chicken with bacon beer cheese topper, mashed potatoes and steamed broccoli. The chicken was tender and the flavors were very complementary. I would give them a 3.5 if it were an option."
Marissa F.,"Trabuco Canyon, CA",0,3,1,1.0,1/1/2018,"Being a vegetarian, it's already hard trying to find things to eat at restaurants that don't cater to that. Not once, but now twice i have ordered a salad for takeout and they put bacon bits on it. At first glance you can't see them because they blend in with the tomato, until I get home and sit down to eat and realize I have to throw my entire dinner away. Glad I wasted time and now have no dinner."
C J.,"Temecula, CA",0,1,,1.0,12/31/2017,"Worst ever! Ordered ribs to go. When arrived to take out looked at them. Glad I did! No meat and dry. Sent back. Then they ""comp"" me by giving me tough cold ribs. Tough because they just took them from freezer and warmed them up on the grill with some sauce. Cold and tough! Ugh. Will NEVER be back. Would rather drive a few more miles for ribs from Chili's . Management at the Applebee's in Temecula on 79 needs to find a real cook and teach the help what decent food is! No wonder no one was there for dinner or even the bar!!! Hate this place!!!!"
Nilo S.,"San Diego, CA",0,24,3,5.0,8/30/2017,I come here about 4 times a month since it's close to my house always good service Melinda the bartender is always on point with her service and lovely lady . One complain i have is wifi is very slow and usually don't work .
Norma T.,"Temecula, CA",73,4,9,3.0,9/2/2017,"Do Not!! Ever come here for a birthday dinner, they are the worst. Very unorganized and just not accommodating at all...my poor daughter was left with a brownie and melted ice cream while they rounded up people to sing...which never Happened. It was a very awkward and sad experience for my daughter. Nothing went well here... our waitress Angela was very nice and tried to help. Won't be coming back here again."
RJ S.,"Mission Viejo, CA",0,62,23,1.0,4/23/2017,"Since when did it become unacceptable for a restaurant to ask a couple to quiet their screaming baby while sitting in the BAR area?  This was absurd. The baby was screaming when this couple came into the restaurant. They didn't sit in the restaurant.... They sat in the bar area because they wanted happy hour prices, which is fine because you can't get happy hour prices unless you were sitting in the bar area. But why is a baby even allowed in the bar area?  Maybe you should offer happy hour prices to families that are sitting in your ""restaurant"" area so adults that are sitting in your ""bar"" will actually come back. I felt like I was at Chuck-E-Cheese. I couldn't enjoy my food. Why a manager never came into this area is beyond me. You could hear this child scream from the freeway. I asked to have my entree removed. My husband took his sandwich in grief. The plastic box split open as we were walking into the parking lot, the food went everywhere they didn't even secure the lid. Everything but my margarita should have been comped. But I can't even say the $30 was a waste of money because I was expecting drive-thru quality food, and sugary pre-mixed drinks. I literally had to go downtown and get a proper drink because I couldn't handle my life after this experience. Forget your curbside to go and just hook a drive-thru on the back. Because that's what you are."
G E.,"Temecula, CA",52,4,,3.0,10/13/2017,It's your typical Applebee's. Services varies by each one and this one was okay. Had to ask numerous times for napkins and other things.
Andrea P.,"Aguanga, CA",0,11,1,4.0,10/19/2017,My husband and I love the French onion soup here.  It is one of the best French onion soups in the Temecula area. I like to order the maple salmon which is excellent.  My other favorite is the Oriental chicken salad.  My husband likes the 4 cheese Mac and cheese with honey pepper chicken tenders (it has bacon too) . We eat here a lot and the service is good although the kitchen can be a little slow.  We like to eat outside on the patio.  No one else ever seems to choose to sit out there so it's very private.
Karis A.,"Murrieta, CA",79,32,5,4.0,8/19/2017,"My husband and I stopped in here with our son for a quick, early dinner with our son as we had received a gift card that we thought we would use. The service was timely and friendly, and the food came quick and was yummy. We enjoyed the meal!"
Maria S.,"San Clemente, CA",0,1,,2.0,9/22/2017,"Service was alright, I know they don't really have a choice of who you're seated next to but there were hardly any people and they sat us in some weird half booth next to the loudest people in the place. Personally, I didn't enjoy eating my food next to people talking about C-sections and UTI's. Also, didn't give a head up on charging for refills for lemonade but kept bringing them to the table. Way to make an extra 10$ I guess."
Tinky R.,"Temecula, CA",6,302,10,1.0,1/3/2017,"Good lord...if any place is worse than The Bank- it's Applebees. This place needs a Bar Rescue episode to roll up. Please, please , please...close this place and bring in a Cracker Barrel...even a Waffle House would work."
Krystle G.,"Temecula, CA",15,13,11,5.0,8/26/2017,"I love coming to this Applebee's. It's nice to come around 3-4pm for lunch or an early dinner. It's usually nice and quiet. At least every time I go, it is lol anyways Frances the waitress is so nice and kind. I would recommend asking for her to be your waitress, she takes good care of you :)"
Sandra M.,"Murrieta, CA",2,26,10,2.0,10/22/2017,Food was mediocre at best.  Ask for onion rings and was charged extra with telling us.  Waitress was very good not her fault food wasn't the best.
Molly O.,"Temecula, CA",0,23,,2.0,10/11/2017,"Me and my girlfriends wanted to go out tonight to hang out and take advantage of their $1 margaritas, we went in had dinner had some margaritas when a lady came in saying someone's car was broken into with their window smashed. Unfortunately, it ended up being one of my girlfriends car that got broken into :( we went out took pics of it and the manager came out after saying he was gonna call The cops for us. He called the cops and literally disappeared!!! Talked to the police then vanished. My two girlfriends were out there giving the police info while I stayed back inside at our booth. Not a single time did the waitress or manager, Vincent, come up to ask if we were ok or if we needed water or anything. Look, I'm not blaming Applebee's for the robbery. It's not the managers fault that someone broke into a customers car , but as a manager myself and working in customer service for over 5 years, I would NEVER not accommodate the customer to my best ability. We aren't looking for a free meal or a discount, all we wanted was someone to  ask if we were ok or needed any assistance. It was completely disrespectful and honestly horrible that a manager couldn't even show compassion for his customers. It's great that they are doing $1 margaritas for the month to remind people they are also a bar, but what they really need to re focus on is their customer service skills."
