Username,location,friend_count,review_count,photo_count,rating,date,review
Scott G.,"Chandler, AZ",85,21,5,5.0,8/4/2017,"This review is for you if you often find yourself looking for decently priced sit-down style dining in the late evening... Believe me I know: After 10pm there is not much for sit-down selection, and everyone knows the service almost always is terrible and sometimes the food too...when you walk into a restaurant after 9 when it closes at 10.... I admit I walked in to here after delaying my eating to the point where selection was slim(9:15ish)... I wanted Japanese but unfortunately the hipsters and millennials had taken over all of the Japanese restaurants to eat their cold, raw, ""delicious"", sushi .. I walked into a Japanese restaurant that had a revolving sushi bar, a list where you write your own name down, twenty people STANDING at the entrance, and went ungreeted - it appeared that's the way the business was meant to be until you sit down and get service. .. I went to put my name on the list and immediately changed my mind.. HECK, that list made me feel like a loser because EVERYONE on it had more than one person, and here I am, this restaurant wants me to proclaim to everyone who views the waiting list that I am the only loner in the room!  So I went to Applebee's down the street.  On a Friday night they had domestic pints for $2.29 - wow!  They close at 1 so I felt in no hurry. At 10:00 the entire restaurant was busy and provided a great vibe. Food deal was amazing for the price.  Applebee's should be a go to for so many."
Chelsea W.,"Phoenix, AZ",74,110,704,1.0,11/21/2017,"After leaving the location on 24th street and Baseline, I drive here looking for better service.  We walked in and were sat immediately. The restaurant was nearly empty. We went to our booth and about 10 minutes later, a waitress comes over and says she'll be taking our drink order. Now I already knew what I wanted since we waited a bit to even make human contact with anyone besides the host. The young lady took my drink order, and when I attempted to make my meal order she said she'll be right back.  Well right back never happened because she was so busy chatting it up with the table behind us. 10 minutes passed, then 20. Still with NO DRINKS not even water! So I got up just as I did the first location and took my ass to McDonald's. What a night."
John V.,"Phoenix, AZ",0,1,,1.0,7/24/2017,"Well to start off, I was there the other night with some friend's. We were at the bar having a good time but noticed the bartender wasn't paying attention  to any one at the bar. It wasn't just us. As we started to acknowledge this with other people it became evident that he was not concerned with us. This is not the first time he acted that way . It would make sense that if he's not happy to work some where else. Every time we here him talk it always about the store and how poorly  it is beening run. Please help I'm here to speak for everyone who goes the tee and is tires of Dan the angry bartender.  Sign The paying customers."
David J.,"Scottsdale, AZ",0,1,,5.0,1/6/2018,"Anthony, our waiter was excellent! His attention and concern to making sure we received the best possible experience and food is unheard of in a typical chain restaurant.  Thanks again !"
Mic L.,"Cologne, Germany",50,188,903,4.0,10/8/2017,"Expecting worse, I was surprised by the taste of the food. I've been to quite a few Applebee's restaurants. But, unlike most others this one's quality hasn't dropped over time. The salad tasted fresh, the meat was cooked to perfection and the seasoning was well balanced. Quite recommendable for a quick lunch or sports' night out."
Rosemary D.,"Phoenix, AZ",2,12,1,5.0,10/28/2017,"Applebee's has come a long way since the last time I visited. (years ago) The food was good, service was good. The manager, Omar stopped by our table to see how everything was which we appreciated. He was very funny! We'll be back!"
Ashley F.,"Phoenix, AZ",123,201,78,1.0,10/10/2017,"I hadn't been to this place since I was a kid and for good reason (I had discovered that if I wanted quick, cheap, and dirty that I could just buy a microwave meal), the only reason I came back was for the ""dollar margaritas"" happening this month. For the $1 margaritas, there is no catch, you go in and can get drink after drink after drink for a dollar (50 cents extra for different flavors) the only problem is that they water the drink down after the first one. I came in expecting to leave a bit tipsy, but was basically sipping on juice/grenadine and water by the third one. The food was terrible, it literally tasted like it went from freezer, to microwave, plate, to us...and this was after our waiter forgot what we ordered twice. He did the same for the margaritas, completely forgetting what was ordered and making us wait a very long time. I blame most of this on the rush of a Friday night, but I also think that the restaurant didn't anticipate the high influx of people looking to get cheap alcohol. It wasn't that they were understaffed, it was that the staff was unorganized and overwhelmed. Our waiter also seemed a bit fed up and I get it, but still not the best customer experience."
Brittany B.,"Chandler, AZ",275,21,16,1.0,10/4/2017,Well where to start we have had several bad experiences with this applebees specifically. The staff is inattentive and makes a habit of getting things on the order wrong. The most recent experience we sat at the bar for about five minutes maybe longer with staff looking at us but never acknowledging. No one ever came up to us or greeted us. Needless to say we walked out and will not be back
Susan E.,"Munds Park, AZ",1,62,36,3.0,5/26/2017,"Good stable place for reliable food. Service adequate but timing poor. If we order appetizers we like to finish b 4 the meal not get the meal and then have to choose. Music ridiculously loud.  I am not pleased w the pay at the table; Weird and not very personable which is the reason to eat out, personal service. Moved down a few notches on the go to list. Prices still great for good food."
Zoe D.,"Mesa, AZ",62,2,,1.0,10/8/2017,"Terrible TERRIBLE service We were seated at this tiny table when they had a bunch of tables open then I asked for an appetizer never got that , I had to wait 20 mins each time I would ask for a drink refill we also waited over an hour for our food other people around us that were there after us got their food first I won't ever go back to this location"
Juan M.,"Chandler, AZ",1416,1110,17405,4.0,9/7/2016,"Service was great as the hostess was friendly and sat me right away. The waiter was attentive and friendly. I ordered their new bone-in pork chop with a side of sweet mashed potatoes and garlic fries. The fries and mashed potatoes were great. The pork chop was on top of an apple sauce. It was ok, not great."
