Username,location,friend_count,review_count,photo_count,rating,date,review
Chris B.,"Brea, CA",54,110,33,4.0,12/5/2017,"Like others say, this is an Applebee's, not fine dining.  That all said, the family and I were on a vacation and stopped in town for the night.  We settled on this spot, stumbling distance from our hotel, and weren't disappointed.  Everything we ordered came as expected; what really set the place apart was the service.  They went above and beyond to make sure we had a pleasant dinner, and once one of the kids spilled something immediately remedied and replaced. Sure seems in reading recent reviews that our experience was an isolated incident, unfortunately, so here's a positive review to bring the average back up a bit."
Monique S.,"Ukiah, CA",2,37,2,1.0,10/19/2017,":(  Oh Applebees. We came here because we had a gift card and decided to try it out again. We ordered 2 appetizers and 2 meals. The appetizers were actually ok, especially the spinach/artichoke dip, but oh man - the rest of the food was just bad. The macaroni and cheese with chicken tenders sounded great, but the bottom of my bowl was covered in oil? It was all wet and just gross. I didn't eat more than three bites. My husband's food was cold and bland.  We are super disappointed, because we did have some great service and the place was nice and clean.  :("
Maxx M.,"Minneapolis, MN",16,408,1987,4.0,8/2/2017,"I have to bump these guys up to 4 stars. Okay, this is an Applebee's.  They're a national chain.  This isn't fine dining.  But I've been a guest here many times now and I have to admit that overall, they're remarkably consistent with good food and good customer service. My most recent experience was lunch with my daughter.  Again, the food was good.  It came out fast and hot.  And the customer service was very good. Applebee's is also one of your only options for late night dining that isn't some sort of fast food or a truck stop. -Daddy Maxx Retro"
Marie B.,"Santa Rosa, CA",39,108,27,3.0,7/7/2017,"Apparently LILY that works here is pro animal abuse.  The food was fantastic - the hostess named Lily that works here and condones animal abuse could be done without.  Let's set the scene - 96 degrees outside in the lovely town of Ukiah. We pull into the parking lot and see a ratty Dodge truck parked in DIRECT sun with a long coat German Shepard god tied in the back. No shade. No water. Panting and lethargic.  Come inside, immediately tell the hostess Lily that there is a dog outside in distress. She says 'yeah some people have told us that'. We asked Lily what the restraint was going to do, had the police been called and she just gave us a blank stare and ignored us while taking the couple ahead of us to their seats.  We sat at the bar and I WATCHED Lily walk up to a table that appeared to be her friends and let them know that we had called animal control. The woman  who owned the dog seated at the table proceeded to confront my friend and I at the bar, stating 'my dog has 2 jugs of water with her'. Uummmm the jugs of water are sealed. Does your dog have thumbs?! If not, the dog most likely would struggle with pouring itself some water.  Once Lily alerted the couple with their infant that the police had been called the hurried out to beat the police. Lily made sure to hug them on their way out the door.  For the rest of our meal Lily proceeded to glare at us and gossip to other employees that we were concerned about the dog. My bad, animals shouldn't cook to death in the bed of some idiots truck.  If you were anything of a decent person Lily, you would have alerted your manager right away and animal control would have already been on the scene but heaven forbid you worry about animals instead of your idiot friends.  Shout out to DJ the bartender - such a fun person!  Our burgers were rad, thanks!"
Carol R.,"Ukiah, CA",19,4,,1.0,10/4/2017,"By far the worst experience I've ever had here. We got there around 9:00pm, it too 15 min. To get someones attention, another 10 minutes to get a drink, which the Margarita tasted like sugar. And then had flag someone down to order. Finally got the order (which was just appetizers) and then had to get someone to bring, plates, napkins, forks. Horrible service. Did not deserve even a tip and I always tip 20%. I miss Chris the best bartender."
roderick s.,"SOMA, San Francisco, CA",3,101,2,1.0,12/3/2017,i walked from my hotel to order to go and waited at least 10 min at front but nobody seem wants to help me. i just left. thats why this establishemnt is 2 stars! do not bother to come and eat here.
D L.,"Minden, NV",5,6,,1.0,11/15/2017,"40 minute wait for my meal.  When I finally got it, it wasn't as ordered.  Asked to speak to the manager, 15 minutes later she shows up.  Very condescending, offered to make another meal, when I said at that point I'd been there an hour, she said I wasn't willing to wait for a meal. Horrible service.  I won't be going to any Applebee's in the future."
Doug W.,"Torrance, CA",46,369,45,3.0,12/2/2016,Heading south from Oregon we stopped here in Ukiah for the night and noticed this establishment was just down the street. It was the usual Applebee chain and was quite empty probably due to it was just after Thanksgiving. We were promptly seated and were approached by a seemingly not interested waitress who took our drink orders and  upon returning took our orders. I had the sirloin steak ( asked for med. rare and it was medium) with red potatoes and my bride and I each had a house salad served on a warm plate. I think the next time through here we'll go to the Burger King I spotted down the street .
Amy M.,"Ukiah, CA",0,1,,3.0,9/26/2017,"Went here last night. Took them about 10 mins to seat us. It wasn't terribly busy. Just when we were about to leave we got seated. The food was fine. It's Applebees so it's pretty much always the same. They've had worse cooks at this location.  Service was very sloooow. Our waitress was very absent. She was nice and pleasant though. Just very no where. I have to say that there was a young man named ""Austin"" who was basically taking care of everyone all night. Like he was doing this waitresses job x2. If it wasn't for him I would have given 1 star. He may as well be the only wait staff because it seemed as if he was."
Siu C.,"Downtown Flushing, Queens, NY",0,23,,2.0,8/6/2017,"Just ended 3 day camping trip with my family and entered on a quiet Sunday evening.  I did a quick scan and saw several booths and requested to the host for one of them.  She checked, returned, grabbed four menus and said 'how about a table?' while walking towards a table.   I was dumbfounded!  I asked her 'what about the booth?' and her reply was the service will be too slow in the booth.   We sat down and ordered food but I just couldn't help to continue observing how there were six booths and the host only concentrated on getting the amount of tables filled evenly for the servers.   What happened to accommodating reasonable customer requests?   The food was okay for an Applebees but the hostess needs more training."
Bob W.,"Moreno Valley, CA",83,1,,1.0,10/23/2017,"Service was slow, food to our table took over 40 minutes with one meal taking an additional 15 more minutes. The second round of drinks ( not bar drinks ), our server forgot about them and we had to remind her after 20 minutes. There were plenty of staff to go around. The manager did not apologize for the delay, in fact she tried to make a joke of it. I've been this restaurant in the pass with out any problems and have traveled up and down the state, without any problems."
Liesa O.,"Ukiah, CA",0,2,,1.0,7/21/2017,Worst experience at an Applebee's cross county! Manager was condescending when we offered the feedback that she asked for! Food was ok at best service and was terrible. Seat was dirty steak was over cooked drink was incorrect had to ask for a napkins twice and the meal arrived right after our apps.
A L.,"Ukiah, CA",0,4,,1.0,7/21/2017,"If I could give zero stars I would. This is the second time we've came in, been seated and never helped. We literally sat there for 20 minutes and people came in after us, sat two booths behind us and already had someone help them. I would t care so much except this same exact scenario happened a month ago with the sane group of employees. I complained to the manager and it just doesn't seem like anyone who works there cares about anything at all. Terrible service and we will never go to this Applebee's again."
