Username,location,friend_count,review_count,photo_count,rating,date,review
Quincey M.,"Fort Worth, TX",0,6,,1.0,7/15/2016,great waiter but horrible food. do not i repeat do not get the hickory burger. i have been coming to bjs for a few years and this by far the worst thing they even made. not sure if it was the cook or what. it was dry salty. felt like my pattie been out all day.
Txgirl M.,"Dallas, TX",29,146,4,1.0,11/16/2014,"I went here last night and the food is horrible. Any place that offers a variety of different foods you have to wonder what is really good. We ordered the pizza dip appetizer the bread was stale and the California burger was okay but the fries were cold and no flavor. The waiters we had were awesome but it still didn't make up for the terrible food. Also, the food is way overly priced."
Mel R.,"Arlington, TX",6,47,54,3.0,3/27/2014,"Nothing to brag about. The food was just ok,  and the prices are affordable. The restaurant is clean and the customer service is great. Went with 4 other people and we all felt the same way about our food."
Hannah B.,"Dallas, TX",8,10,7,4.0,4/13/2014,The chicken bacon ranch deep dish pizza was delicious & more than enough for my husband and I to split ($20). Our waiter was friendly & even gave us a complimentary dessert for it being our first time. The biggest negative was the wait time - we waited quite a while before having to ask if our buzzer/pager was broken. Evidently it was because there were opened tables waiting & they then escorted us to one of them. Very busy on a Saturday night.
Shauna T.,"Arlington, TX",257,267,289,2.0,8/20/2013,"My boyfriend and I came here a handful of times (maybe 3 times) in the past year. Each time we come here, he swears to never come back because he is always disappointed by the food. I personally don't think it's too bad, but many things on the menu don't present a wow factor and are available at other restaurants for a cheaper price. I haven't tried too many items from the menu, but I have tried enough. The best thing to order is probably the pizza from here since it's a difficult item to screw up. Food takes at least 30 minutes to get out of the kitchen and onto your table; this includes ordering something simple, like pizza. I don't recommend coming here unless you have an excessive amount of patience. Oh, and don't come here if you have an entire party of guests. My friend recently had a birthday get-together at BJ's and we waited over an hour to be seated. She had made reservations prior to the occasion, but the hostess refused to let us sit in our reserved seats because ""at least half of our party of 20 needed to be present"". Great, more waiting. With many other restaurants in the Highlands, I recommend skipping past this one and trying another."
Lenin P.,"Dallas, TX",0,2,,1.0,11/19/2014,"Very bad on service, can't even get a simple  calamari dish cooked right, my steak and pasta was over cook and over all  just a very bad experience and poor service."
Rob W.,"Grand Prairie, TX",5,23,19,2.0,1/13/2015,"Went to see the National Championship game (Ohio/Oregon) last night. Waiter was nice. Ordered a beer (game day special with some food specials), my buddy who was in the restaurant business for many years asked ""do you smell that?"" And I said no, he said it was reused oil that has been scorched.  We ordered the Egg Rolls and a mini-pizza. Wife didn't care much for the Egg Rolls, they didn't knock me off my feet either. The pizza was really good, wife ate her half and I was eating mine until I found a hair in the food. Being nice, I didn't reorder. They comp'ed my pizza. My opinion? The whole thing should be comp'ed but I didn't raise a stink about it (wasn't even that much and a manager didn't even come over).  Wrote on the receipt, ""waiter was great but please keep the hair."""
T L.,"New York, NY",5,77,61,2.0,12/16/2012,"Decor is great and the service for me was friendly prompt and fantastic-- 5 stars there!  Based upon the food though, I got the impression that the kitchen staff just isn't trying.  Ordered a burger that was saturated in grease, just soaking the buns.  I've eaten sloppy joes that were less sloppy.  We're talking your entire fingers wet with grease.  Disgusting.  How does that happen?  So that meal went unfinished by far.   Then I tried the BJs Brownie, essentially a brownie with ice cream.  It arrived literally 6 inches tall, with WAY too much whipped cream.  Think between 1 and 2 inches all the way around a scoop of ice cream.  So once most of that's scooped off I notice the brownie is barely 1/4 inch thick, hard, and adhered to the pan so strongly you had to chip it away with a spoon.  Obviously overdone.   Had the cook been more attentive and less sloppy, it woulda been a great meal, but not so.  I just get the feeling that the folks in the kitchen don't know any better, or don't care.  Where's Gordon Ramsay when you need him?"
Audrey K.,"Mansfield, TX",0,38,,3.0,4/20/2015,Ordered deep dish pizza but the waitress brought out thin crust. We were so hungry we went ahead and ate it but we're not impressed. Waitress gave us the pizza for free so that was positive.
Kayla T.,"Corpus Christi, TX",190,134,434,5.0,8/28/2014,Ok I orders at this place yesterday I feel that they have the best pizza they had it ready when I went to go get it that impressed me ! Then when I brought it home it was still hot ! They have and impeccable carry out service ! The pizza was Amazing I had ordered three pizzas and they where the hi light of the night (: I definitely will be a tending again(:
