Username,location,friend_count,review_count,photo_count,rating,date,review
John H.,"Seal Beach, CA",23,110,,3.0,8/4/2011,"Ive had spotty service here. It seems like it depends on who is the waiter. Most everything here is OK, but the Pizooki for desert is a must."
Nicole F.,"Stockton, CA",49,104,39,3.0,9/19/2008,"I come here for two reason: 1. It is one minute from my house. 2. Pizookies! They are so yummy. I like to get 1/2 chocolate chunk & 1/2 white chocolate macadamia nut. Who doesn't like a fresh baked cookie with a scoop of vanilla ice cream on top?  Some other items on the menu that I have tried are: - Avocado Egg Rolls (good) - Santa Fe Spring Rolls (really good) - BBQ Chicken Pizza (yummy & full of toppings) - BBQ Chopped Chicken Salad (California Pizza Kitchen has a better version) - Turkey Breast Sandwich (pretty dry and bland, don't order) - Classic Burger (good burger, good fries) - Fish Tacos (pretty good, nice & crispy) Cocktail of choice: Ultimate Raspberry Lemon Drop"
Casey R.,"Honolulu, HI",292,523,451,3.0,3/18/2011,"I enjoy the beer and the bar area. It's a great place to go hang out with some friends, drink some beer and watch a game. The food is your typical chain restaurant fare but most of it is really well done and super tasty. Service is hit and miss but usually better in the bar area. It can get very packed during dinner and on the weekends so plan on waiting around a bit if you want a table. The bar area is first come first serve so I usually have good luck finding a spot there with no wait."
Nicolas V.,"Bakersfield, CA",0,21,,4.0,5/4/2012,Good Vibes and crowd. The pizza is always pretty good too. The waitress are goodlooking as well. :))))
Mike H.,"Bakersfield, CA",13,273,41,3.0,4/18/2011,"Good beer selections.  The problem that I have with this place is that their menu is so extensive, they don't have the opportunity to do any one thing great.  It is all just ok..."
Steve S.,"Bakersfield, CA",340,136,66,3.0,6/23/2011,Good food good beer.  Not great food and not great beer.  I would enjoy their beer more if they made it in house- Just makes it taste better...  Great happy hour place since I work around the corner...
Blake L.,"Bakersfield, CA",1,10,,3.0,3/1/2010,"I've been to BJ's three times. I have good experiences every time, just not fantastic. I like the food, I would know good food, I'm a cook. But the service is not spectacular, on more than one occasion we had to wait longer than you should for our drinks to be refilled, or clear away the table. A waiter should be able to manage all their tables. Good place still for dinner."
Erica T.,"Bakersfield, CA",6,26,10,3.0,4/7/2009,"The food is good...I just wish their drink selection was better.  They have great beer, sure.  But for their ""cocktail"" menu, it sure is weak.   Good Grilled Chicken Pasta! I substitue it with blackened chicken for that extra burst of flavor.  To make it have a spicy feel, just add a little of the pizza peppers.  Delicious!"
Ellie S.,"Bakersfield, CA",234,71,9,4.0,8/5/2007,"What a glorious town Bakersfield is. Just when I think there is nowhere to go for good entertainment, I stumble upon this little jewel. Apparently the Bakersfield club scene has taken to beginning their long night of partying at BJ's. Now this may seem a little troubling. You may ask yourself, ""Hey, but isn't BJ's a pretty well known chain that serves moderately priced American food to huge families?"" Indeed, BJ's reserves this demographic but in Bakersfield, BJ's also lends itself to haggard 30-somethings looking for happiness in the next meaningless hook-up. In fact, the restaurant is perfectly split in half: Half for the families, half for the bar-flies. This is especially convenient for me as I have found it to be much like dinner theatre. My booth on the family side is set up perfectly for people-watching. In the last episode of  Days of Our BJ's, a new character was introduced. A quite desperate-looking female waltzed in with that air of ""look at me please before my tits sag and I lose this waist"" which, to be honest, wouldn't have been that different but she was. She had a little extra flair in the form of a pageant sash and a tiara. I wish I could tell you what the sash said but all I could catch was ""Miss Outta..."" I guess I will have to fill in the blank with the art of using context clues. Perhaps it was ""Miss Outta of Her Twenties"" or ""Miss Outta Wedlock"". But enough with my catty-ness. She isn't what struck me as especially entertaining that night. In fact, it was the second woman in pageant regalia that struck me as weird, as it seemed that they did not come together. Does this mean that two separate women came up with the idea to wear sashes to dinner that night? I hope so. I also spent most of the night hoping some sort of fight would start between them. Dueling tiaras, if you will. I was severely let down. Oh and the pizookie is amazing."
Laura Y.,"Los Angeles, CA",150,248,1,3.0,12/3/2007,"I always have to work nights when I travel to B-Field, which messes everything up because almost all eating establishments in this truck-stop town close at 8pm, even IHOP.  Fortunately, BJ's comes to the rescue, with their monumental close time of midnight during the week. I am conflicted about this, though.  Here:  PIMPS UP:  I don't have to eat granola bars for dinner anymore!  Yay carboload vegetable-stuffed baked potato and berry cider! HOES DOWN:  Dealing with the late-night schmoes who have nothing better to do except go to BJ's and get shitfaced on a Tuesday.  I called in to get my meal as a takeout because I knew it was a bar scene and didn't want to deal, but as I was exiting the place, some guy having a smoke outside rubbernecked me for too long and his lady friend screamed, ""DON'T YOU FUCKING LOOK AT HER!"" and SMACKED HIM IN THE MOUTH.  I was wearing sweatpants.  I didn't turn around and look back; I just hustled. Ah, Bakersfield.  For a town without much to do, I sure have some great stories about you."
