Username,location,friend_count,review_count,photo_count,rating,date,review
Alayna H.,"Baton Rouge, LA",0,15,,1.0,11/29/2015,"I went here on a date about a month or two ago because we wanted to go see a movie and it's all conveniently close together. The hostess was a little rude and didn't acknowledge our existence. Our server was really nice, and I know he was trying his best, but this visit was by far one of the worst experiences I've had eating out. He introduced himself quickly after noticing us and suggested popular drinks and entrees. We informed him that we were on a time limit because we were going to the movies after and that didn't really seem to matter I guess. I am a server and I understand but this was all just unforgivable. We ordered two items and 2 different servers brought out the wrong items, two different times. It took 35 minutes to get everything right. Our server was extremely apologetic and comped off my friend's beer as well as offered us free dessert, but we passed. Will not return most likely. We tipped him 20% because it didn't seem to be his fault, and he tried hard and was super nice."
Scott J.,"East Lansing, MI",9,40,,3.0,5/23/2013,"This is one of the few bars that serve ""there own"" beer in Baton Rouge.  It is also one of the few places that has a menu which anyone can be satisfied with.  I take pride in eating healthy even when I go out, and They have an awesome selection of salads and lighter meals, as opposed to having bar food and grease soaked fries.  One of my favorite appetizers is the thai lettuce wraps.  They are very light and can be a meal for a single person.  They are worth trying. Although there food is excellent and the beer is pretty good, it doesn't get 5 stars because the service is really spotty.  One of the times I went I was with a co-worker and it was very good, and the other time i went alone and sat in the bar self seating area, and after 10 minutes I moved to the bar to try to get some service.  After 5 minutes of staring down the bar tender he finally acknowledged me.   The only problem with the food is I got my appetizer the same time as my meal, which obviously made me feel rushed (I was not rushed, I was watching the basketball playoffs)"
Toy P.,"Atlanta, GA",16,14,11,3.0,7/24/2014,I spent a few days in Louisiana so I stopped by this place Monday night. Louisiana food is amazing and this place is no different . I had the Cajun pasta it was soooo delicious omg :-). Service was ok . The lady who bought out my cocktails to me ( wasn't my server ) was so nice and friendly ! I ordered 2 different cocktails because the first one was gross . Way too much lime. I didn't want to send it back so we just ordered another . That one was terrible also.. Figured maybe the bartender was a new bartender or something ..  All in all good was great and it's right near the mall
Aaron R.,"Alexandria, LA",1,5,1,5.0,9/28/2014,Best restaurant in Baton Rouge.  If you get the chance come get your grub on. Appetizers on deck and they are all great. Brew their own beers and they taste good.
Carvey P.,"Katy, TX",53,58,11,4.0,6/19/2014,Great Service by Josh!   Pizza was a little burnt on the bottom but wasn't his fault. He was very attentive to us. He hadn't been there that long.
Yelp King ..,"LA, LA",1,141,175,5.0,8/20/2010,"Located at the Mall of Louisiana, this place is honestly one of the BEST restaurants in Baton Rouge. From the very modern inside and outside, to the beautiful exterior and interior decor, to vibrant atmosphere and friendly staff, this place is absolutely amazing. There is also a full bar with a HUGEEEE television and lots of rich people come here to enjoy a drink and laugh and watch the games. Not to mention...the FOOD is to die for, seriously!!!! I had a strawberry-lemonade ($1.99) to drink and it was honestly the BEST strawberry-lemonade I have EVER tasted (seriously!!). I also ordered the BJ's Burger ($8.99), which was so good, it practically melted in my mouth. I couldn't even FINISH the whole burger, I was soooo full, thank goodness (because I rarely get full at restaurant servings).  Undeniably, one of the nicest places to eat."
Joe P.,"New Orleans, LA",2,51,7,1.0,9/7/2013,"It's a brew house that does not brew beer. BJ's is to beer what the Olive Garden is to Italian, or better yet it's to beer what Macdonalds is to burgers. BJ's is an appropriate name since It sucks.... It's corporate schlock garbage manufactured fast food trash. Dont waste your time unless you think Applebees is a neighborhood pub."
Pennie T.,"Gonzales, LA",1,33,4,1.0,10/29/2013,"Had the worst experience here ever! Every possible restaurant complaint possible, I had here, all in just one visit. wait 10 minutes after being sat to be greeted by our waiter who had passed by multiple times, took drink order, took 5+ minutes to return with with wrong drinks. Ordered an appetizer, no problems there. Ordered soup/salad/burgers for lunch. The burger was served first, and again was the wrong order. Soup was brought out cold, sent back and then never returned, had to ask about it. Salads were served last like they had been forgotten. Had to go to the bar to get own drinks. After speaking with the manager the problems continued to exist. They did comp the meal, but the ""free meal"" was still NOT WORTH THE HEADACHE."
Nick X.,"Baton Rouge, LA",0,11,5,4.0,6/13/2012,"Nice selection of food and great selection of beer. My first trip to BJ's was on a gift card from a relative, I had never heard of the place.  I went not knowing what to expect.  I decided to try the pizza, since it was in their name.  I ordered their signature pizza, which is a deep dish ""supreme"" type pizza. I wasn't too impressed with the pizza, but I've had worse.  The toppings are corse cut, which I found odd.  Large chunks of tomato, onions, etc.  I had vowed to not return because I wasn't impressed. My second trip occurred the following year when I again received another gift card.  I figured I could go this time and try the microbrews at least.  I went in and ordered the Roast Beef sandwich w/ gravy (french dip anywhere else) - this sandwich was AMAZING.  I think there was some grilled onions in there, I don't know, but it was simply the best french dip I had ever had, my previous favorite was Brew Bachers.  My companion had the chili cheeseburger.  The name is a little misleading, you won't be eating this ""burger"" with your hands.  It is served open face and drenched in chili sauce (I believe this was disclosed in the menu).  The burger is massive.  My companion ate roughly half at took home the rest.  I did not personally try it but I was told it was very good. Both times I went was for lunch on a weekend.  The atmosphere was relatively quiet with people of all walks of life coming and going, generally cheerful and relaxed in an environment similar to J. Alexander's, trendy and modern yet a step above typical casual. I tried several of the beer available.  There is an ample selection to choose from for anyone looking for a different taste from the typical domestic pilsner."
Erica H.,"Livingston, LA",4,27,13,3.0,5/5/2014,Food is pretty good and the environment is awesome. Service could be a little better. It's a spacious place to go with a group.
