Username,location,friend_count,review_count,photo_count,rating,date,review
Nikki H.,"Boulder, CO",1240,448,201,4.0,1/4/2018,"I feel like this is one of those places we end up when we don't know what the hell we want to eat and can't agree on anything because BJ's has everything. I've never had to wait long for a table, and the service has always been great. I suppose if you came here on a busy Friday night, you might wait a bit though. The ambiance is trying to be more upscale, but it still has more of a sport bar vibe. Imagine Buffalo Wild Wings and Bar Louie had a baby and it specialized in brews, that's BJs.  If you're looking for a place for a date night, I can't say I'd recommend this spot, but if you have been together awhile and you're hungry and can't agree on where to eat, this place will suit your needs."
Melanie L.,"Naples, FL",18,16,,1.0,9/22/2017,"Arrived on a Friday night so expected it to be busy. We decided to sit in the bar area and it took 8 minutes to even get acknowledged. And then the server arrived with a trainee. Really?? Who works with a trainee on a Friday night??  We ordered appetizers and sat for 10 minutes (again, in the bar area with several servers passing by us) with our glasses empty before flagging down the trainee. He apologized and said our potato skins were still being cooked. Huh? You put the skins in the fryer, it wasn't like we were ordering a well-done steak.  We asked for the check and left immediately.  WILL NEVER GO BACK."
Emily P.,"Lafayette, CO",92,106,323,4.0,9/7/2017,"Tons of great beer options. We had a fantastic server in the bar.  We ordered the watermelon salad, 3 appetizers, and a big salad. Everything was good. The highlight of the meal was the excellent server."
Sarah S.,"La Mesa, CA",267,48,32,2.0,11/1/2017,First time ordering from this location. I ordered a bowl of Vegan Lentil soup with a bead bowl. What I got when I unpacked the take out at home. Was a half full cup size container of soup that just covered the bottom of my bread bowl. What an absolute joke!
Jeff S.,"Longmont, CO",20,7,1,3.0,12/25/2017,"This place has really great beers. The food is usually pretty good. I am a huge fan of the pizookies, particularly the salted caramel one. Although, there are simply too many items on their menu. The menu seems like a small book. As for the service, I have had good service as well as really bad service. It depends on how busy they are."
Maura S.,"Evanston, IL",210,71,367,4.0,3/6/2017,"I've been to BJ's a few time and always have a good experience. The food is great most of the time and the pazookis (deep dish cookies) are amazing! The service is usually great but sometimes can be slow on busy nights. The noise level can a little loud sometimes but is usually not bad. Its a great place to bring groups and pretty much any age. Also a good place to watch sports, they have good TV placement.  This time around we showed up to BJ's with a huge group and they took great care of us. They split all of our checks and got almost every detail of the orders correct.  I ordered the chicken fettucini alfredo and it was delicious! I ate it for two more days after that, it was a lot of food. My boyfriend and I split the mozzarella sticks which were great. He had hickory brisket and bacon burger and loved it. I didn't try it but it looked insanely good. At our table we also had a pepperoni pizza, the bacon guacamole deluxe burger, and a few other things. All of it was great! We didn't order dessert this time around (unfortunately) but next time!!"
Paula B.,"Denver, CO",12,146,143,4.0,7/27/2017,"I love BJ's. I visited several locations in many states and I've never been disappointed. I like how consistent they all are. Good food, huge beer selection, fun casual place and great service each time. I will continue being a loyal costumer. They do a great job."
Daryl B.,"Edmonds, WA",0,4,2,3.0,4/30/2017,"In a town where food frustration can run high, BJ's is sure to pleasure the hungry wanderer, although the discerning connoisseur may find it lacking. A slightly disconcerting ambiance combines the class of a sit down restaurant with the cheap thrills of a sports bar. The food was quite excellent although there was a reliance on fried foods. Keep in mind that when ordering the burger, the meat might be a little too much to get your mouth around. The service was exceptional, be sure to leave a big tip for BJ's. 3 stars  After an average incubation period, stool was large in quantity although easily passed. Consistency was an issue during the expulsion phase but the sheer quantity of mass purged from your system will leave you feeling light and free. 3 stars.  Overall 3 stars"
Dee G.,"Chatsworth, CA",211,19,30,4.0,7/22/2017,That portobello burger was everything I expected plus some. I get so excited when I love my food soooo much that I clean my plate! Nicole was so very patient and attentive with us . I also love the fact that I don't have to have French fries as my side. I appreciate choices
Arshan A.,"Superior, CO",16,104,92,5.0,2/12/2017,"This is a great place to go if you're looking for good food and a ton of TVs. It's always the first option for me in that scenario. They have a huge selection of food, and so far I haven't tried one I don't like. Any of the sandwiches are my favorite, and the food here isn't overly expensive. This one is huge and right in the middle of 29th street mall, which mean you can do a lot while you're there."
Sarah A.,"Boulder, CO",0,10,1,4.0,6/21/2017,"Went there with a few friends for dessert last night- Tuesdays they have these $3 cookie pie/ice cream things. They were pretty good! Really REALLY sweet. But that's what we were in for. I was looking over the menu otherwise, and most of the stuff looked a little over-priced for what it is, but the atmosphere there is nice, so I suppose you're paying for that as well."
Richard G.,"Fort Collins, CO",2,61,27,2.0,7/3/2017,"Aside from being forgotten for most of the evening by our waiter, the food was rather good for a chain store. Unfortunately the end of the night was capped by our server not remembering these special was half off for our pizza. Sorry B"
Nick D.,"New York, NY",72,478,655,2.0,9/9/2016,"Late night eats don't always go so well. I ordered a bacon burger which wasn't cooked the way I asked, my girlfriend and brother were upset how their meals tasted as well. They have a decent selection of beer, but nothing I haven't had or that wowed me. Can't say I'll be back."
Michael H.,"Boulder, CO",1,23,2,1.0,5/24/2017,"What a horrible example of service tonight. I come here often and have never had a complaint. Tonight, the bartender was totally oblivious to me. It took a long time to get a 2nd beer. Also, I had my credit card in the cup for at least 15 minutes before he noticed. It all started with him not hearing that I wanted a lemon with my water. Then, my medium burger was well done and the fried egg on top was hard cooked. To top it off, it's Wednesday and burgers are $10...he charged me $14.  Stay away on Wednesdays. The people behind the bar on Mondays and Fridays are much better."
Peter W.,"East Boulder, Boulder, CO",12,2,,1.0,9/17/2017,Our bartender Brandon was awful. Friendly guy but lacking any knowledge of customer service. My dinner came and I was half done before he brought my wine. When I asked him for it he said he was in the kitchen so how could he get me my wine.  Ok took forever to get refills on our drinks and he never got us menus. We had to ask another employee. He never apologized for anything. The customer next to us threw his bill at him as well.
