Username,location,friend_count,review_count,photo_count,rating,date,review
Stacey C.,"Brea, CA",0,3,,5.0,11/11/2014,"Went to BJs for the Grand Cru!!! Alicia and Albert took great care of our needy group, the best service ever! Great job BJs on the outstanding happy hour!"
Marie T.,"Pomona, CA",4,3,,5.0,2/14/2016,"Brendan, and Yadira were the sweetest, most attentive wait ataff we've ever had! Moses is a beast in the kitchen and food not only looks good, but every bite is deliciously sinful. Leon you and ur staff really gave us a wonderful dining experience,  we can't wait to come back to this location!"
Monica D.,"Orange County, CA",750,678,46,4.0,2/6/2013,"Four awesome stars for Jen (our server at the bar), Laurel (our server outside on the patio), Toby & co. for hosting an incredible Beer Appreciation Night, and BJ's new Spicy Meatball hand-tossed pizza. Throw in a fresh white mac pizookie for good measure. -1 star: BJ's beer tastings, while few and far between, have been known to have the on-time percentage of your average wedding. But this time? Not only were some offerings forced to be scratched off the tasting list for reasons unknown, but it just took foreeeeever. Something that started at 7:30 and ended at past 10:30 on a Tuesday night about 40 miles from my house does not equal a good time. Also... the bathroom could use a little more constant maintenance. Also... some of the servers toward the end of the night, especially standing by the bathrooms, should not be standing around talking shit or whatever about whoever. I just browsed through some other reviews of this joint -- what is up with all that unprofessionalism? It's Brea, for God's sake -- not Spring Break Tijuana. Also... caveat emptor: their new ""happy hour"" appetizers mostly aren't worth it. Angus beef sliders + fries = totally worth $5, but $4 for five tiny chicken nuggets with some sauce? Not again, thanks. Bottom line: I love the Belgian Winter Warmers theme; BAP was definitely worth it even with the slight price increase. Jen and Laurel are prime examples of the potential kindness and awesomeness that emanate from a BJs. Plus, I was totally blown away by the Spicy Meatball and their new pizza crust (not a fan of their deep dish). And, once again, a pizookie for good measure. Four solid stars!"
Rachel C.,"Yorba Linda, CA",0,13,,5.0,4/22/2015,My husband and I aren't big drinkers but have always wanted to try different beers and ales and BJ's was the perfect place to try this. We ordered their sampler and were able to taste 4 different kinds on tap: super! We enjoyed the ahi poke and we almost lost our minds while devouring every bite of our salted caramel pazookie. Amazing!
Brandy R.,"Brea, CA",377,143,504,4.0,3/28/2013,"I love BJ's in Brea, they have the best French Dip sandwich (they call it the 'Original Roast Beef Dip Sandwich') that I've ever had and I can't get enough of the broccoli cheddar soup. I don't know what it is, but the bartenders and servers are extraordinarily friendly & cool at this BJ's. I'd say that Brea beats the first BJ's that I ate at in Eugene, OR. although I do miss Eugene, tons!"
Laura A.,"Fullerton, CA",0,11,2,5.0,4/10/2015,"We are 3 time a week (atleast) and love the food. Our favorite server is Corriene. She is so on it and has such a fun, engaging personality. We really like Manager Leon, most professional!"
Snowman S.,"Bend, OR",0,55,,2.0,11/17/2013,"I had the mahi fish.  Luke warm, and dry, and overcooked, and part of it I had to cut with a knife.  Salad with ranch.  the dressing was so thin, I thought it was milk.  it was originally Magnolia Peach.  the decor was impressive, but it was horribly loud for dinner.  service was good.  will  never go back because of the poor food."
Z S.,"Portland, OR",3,50,,1.0,12/18/2012,"I have always been the one to persuade my group of friends to go here when we go out for a late evening dinner. Here is why I will not be doing that any more...The hostess. I'm sorry to call her out like that, but having worked in the food service industry she was most likely the biggest waste of an employee. Harsh but true. We walk in. Stand right in front of her booth. She continues to look down at her desk. One of my friends pipes up and says ""HELLO?"" She ignores him and starts whispering and joking with another server. Now all of us have at some point worked in hospitality so being hot headed one of my friends just decides to seat himself because we were not even being acknowledged. Food was the usual. Server wasn't bad. No complaints really. Then we decide to leave. My friend has cooled down by this point but shouts a very loud and audible ""BYE!"" as we are leaving to the hostess. No reply. What does a hostess do again? I get better service at Denny's."
Imran K.,"Walnut, CA",3711,725,48,4.0,11/8/2012,"This time parking was super easy, under a shady tree. No people in line on entrance at 12am. Got seated right away . Friendly service and great food. Got nachos as starters and they were awesome. Had their salad for lunch was lacking in dressing. Used the salsa from the nachos as dressing. Had the Arnold Palmer as a  drink  this was tasteless. However the table was awesome a large booth. Enjoyed the company and came out full."
Matt D.,"Yorba Linda, CA",53,28,2,1.0,11/10/2013,"Made reservations. Arrived at the specified time and we were told it be another 40 minutes. Last time we came they lost our reservation and the same thing happened. I've been to a few other BJ's and have never had any issues like this miserable one seems to have every time. No one is mean or rude, just incompetent.  Enjoy BJ's, just not here."
