Username,location,friend_count,review_count,photo_count,rating,date,review
Leslie B.,"Chandler, AZ",50,156,355,5.0,3/16/2015,"We came here on a Saturday around 5 pm . This was our first time here , and it was a very happy find ! We were seated immediately , and had drinks served right away. I tried the very berry cider (very refreshing) for dinner I had the fried fish and wedge cut seasoned fries . It was served steaming hot & fresh . My bf ordered the turkey club and wedge cut seasoned fries . He was thrilled with his dinner as well. We will  Definitely be back"
Grant C.,"Tempe, AZ",39,71,61,4.0,10/4/2016,This was the first time here that was not a 5 star review.  Came here with my family and my sister does not eat chicken.  It was my fathers birthday.  All started well.  But we orders drinks and I orders a AMF it came out looked amazing. Normally I love amf's. but this one tasted like well tequila. It was horrible.  Only had about 3/8ths.  Enjoyed some wine and our food came.  It was amazing tell my sisters order came out.   She told the waitress clearly no no chicken.  She only eats seafood.  So she orders a shrimp salad. And got a chicken salad.    We had to complain 2 times. Normally love eating here.  They have us 2 free deserts for our large table.  That's what saved the rating.  It would have been a 2 star.    We will be back again
Andy B.,"Cypress, TX",0,21,,2.0,4/17/2017,"Monday at 8:30 pm.....why is service terrible? Place isn't crowded, yet I gotta get up from the table to chase down the waiter for another beer.  Not being total hater, food was pretty good.  Really liked the thin crust pizza."
Bruno S.,"Maricopa, AZ",111,85,118,5.0,3/12/2016,"My wife and I went for the first time with a couple friends. Our friends raved the food at B.J.s. My wife had the pulled pork and I had the Jumbalaya. Both were absolutely amazing! We also shared a bowl of some of the best broccoli cheese soup around. The service was great. The wait was quick. The most overwhelming part of the visit was choosing what to eat with an array of options. I am definitely looking forward to taking my children or any family that might visit from out of state. UPDATE: Went here for a second time. The service was great. Most of the food was good. AVOID the boneless wings. Unfortunately they are not that great..for as much good food they have here,boneless wings are a no go."
Enriqueta Q.,"Chandler, AZ",0,4,,5.0,10/2/2016,Manager Shilo and server Dominic you guys are amazing. Last night was our first time ever there and you took care of us. Shilo thank you for taking the time to congratulate my son on his accomplishments. You will see the Quintero's soon! Muchas gracias
Beth L.,"Mesa, AZ",45,91,388,4.0,8/17/2015,"I dined here after work today, Monday. Not crowded but still a good number of people in here. This place is huge. Open and clean. Large out door seating.  We were seated promptly and our waiter took our drink order right away.  While our waiter got our food and drinks timely,  he just didn't give the welcoming feeling.  I ordered the Parmesan chicken, mash potatoes and broccoli.  I thought the side salad came with the dinner but it doesn't. Charged $3.50 for it. I'm used to getting a dinner salad with my entre at other places, so I was surprised this wasn't included.  Daughter ordered the chicken and avocado flat bread pizza.  She said the sauce was a little spicy and she picked off the avocados.  The food was cooked well and had plenty of flavor. BJ's had a large menu. From tacos,  burgers, pizza to steaks and pasta.  Something for everyone."
Emily G.,"Lordsburg, NM",2,6,,5.0,5/8/2016,"If you ever want to have your tits blown clean off because of excellent food and even better service, look no further than this BJ's.  I came in with 12 people about two hours till closing time and expected the staff to be a bit salty, but they were anything but. Our waitress came in clutch and scored us a nice spot that accommodated everyone - she was super friendly.  Next, David (who I assume is the manager) came in and swept us away. He greeted us in a warm manner and made us feel very welcome. Our appetizers came out quickly and were fuckin' excellent. I swear those mozzarella sticks multiply when you're not looking. The potato skins were amazing, too. We never had to ask for our drinks to be refilled, never had to check if our order was put in correctly, never had to complain - everything was wonderful. When it came time to split the check, things got kind of hairy because we wanted to split one giant ass pizzookie twelve ways - but David was like ""I got you, fam,"" and split that shit up like it was no one's damn business. He was such a sweetheart. The guy taking our cards at the end was hilarious and had a wonderful sense of humor.  Squad will definitely be coming here again. 10/10 would recommend"
Margo L.,"Tempe, AZ",121,28,1,2.0,7/29/2017,"This was my third visit to this location and my boyfriend and I were dissatisfied to say the least. This time around my deep dish pizza came out on a plate, not in the pan, and the bottom was completely mutilated. Once again I was brought nothing to separate the pizza so my fork and butter knife had to suffice. We ordered a pizookie trio, and they brought out the wrong flavor. I told our waiter, (who was awesome by the way) and he brought out another one right away. Which yet again was the incorrect flavor. The manager on duty came by our table to ask about our experience and I told her what happened. She proceeded to attempt to argue with me about what flavor the second pizookie was then quickly walked away and came back with our check. They ended up comping our meal because they goofed up. The first time we came to this location we had a similar experience. Awesome server yet again, but the kitchen staff just couldn't get it right. The food runners brought our food to the wrong table both times, and failed to bring anything to but the pizza with. The first time around we waited an extremely long time for our food to arrive and the restaurant was completely dead. On all three occasions we came it seemed like our servers were the only ones doing anything. The food runners and bus boys stood around gossiping and twiddling their thumbs. Not impressed at all."
Mary W.,"Mesa, AZ",0,13,,5.0,8/10/2017,"My sister and her husband asked us to meet them at BJ's. We had never been there,so, we didn't know what to expect.What a pleasant surprise!Our server was wonderful.She was very attentive without being intrusive.The food was fantastic and the portions were huge.We all had a cocktail and they were mixed to perfection.We had such a great time and We look forward to visiting BJ's again soon."
James L.,"Chandler, AZ",2,53,80,5.0,11/7/2015,"August gave us a great experience here. Really superb  person, asked us a lot of questions and after a few samples we made some great beer choices. Very friendly and great BJ's staff.  The food is wonderful here and really a slick efficient place. We highly recommend , Tracy is serving us tonight, I think we're going on 14 years of her serving us, first class bartender!"
