Username,location,friend_count,review_count,photo_count,rating,date,review
Cesar v.,"Chula Vista, CA",44,47,23,3.0,7/21/2014,Long waiting period. Besides that cool waitress.  The food is too pricey for the quality
Catherine C.,"San Diego, CA",73,49,55,1.0,8/30/2014,"This has to be the worst BJ's in Southern California at the very least. We have never come here and had an incident free meal. Each time something is wrong. The pizza is always under cooked. The staff are not knowledgable. Last time we asked what beers were on tap and the waiter said to order the BJ brews because they were cheaper and never told us the other options. When we asked a second time, a different waiter came by and said the same thing. We eventually just walked to the bar ourselves. Same time, I order pizza with black olives and mushrooms and I get a pizza with kalamata olives and red onion. He asked if I wanted it and I said no thank you. When the bill came they charged us for BOTH PIZZAs the mistake and the corrected one."
Jaime K.,"Chula Vista, CA",8,1,,1.0,8/1/2014,"I'm not sure what was worse , our server or the pizza.  I have never had a bad experience at BJS ......but this was bad enough for me to create a Yelp just to review."
Mary Ann C.,"San Diego, CA",452,260,1776,4.0,6/14/2012,"Hm..  Come to think of it, I have never actually chosen to come eat here.  It's always been at the request of whomever I'm hanging out with.   Definitely a step above any 2 for $20 establishments.  BJ's offers a casual ambiance and a great affordable variety of appetizers, entrees and desserts. I have had a few dishes here and haven't been disappointed yet.  Great place to hang out and have a few drinks and watch some sports (not sure about fights or UFC), or an intimate celebration.   Customer service isn't the best that's for sure.  But with that being said, isn't the worst either. :)"
Amy G.,"San Diego, CA",1,14,27,4.0,11/23/2015,Food is always good service sometimes a little slow but overall a decent place. I give it 4 stars for the food-not the service.
Sebastian R.,"Chula Vista, CA",0,26,2,2.0,3/22/2014,"This place went downhill.  Its fine for sitting at the bar and having a beer, but we will never sit down to eat again.  I got the jalapeno burger and requested medium cook, it came out beyond done and was cold and basically lacking flavor.  For 12 bucks this was a disgrace! My wife got a brussel sprout and kale salad, that arrived with absolutely no brussel sprouts or kale...we had to send it back.  It was nice that the manager came out and delivered the salad and apologized, but by this point we were not very impressed."
Shayna R.,"San Diego, CA",20,116,24,3.0,9/1/2014,"I've been back a few times and it has been decent. Like I don't even have anything to expand on really -- not horrible, not amazing. Specific to my very last visit, however (last night), I got the little stem nubbin in my avocado eggroll AGAIN. This happens pretty regularly. Who prepares those things? They realize the stem nubbin is hard and unpleasant to accidentally chew, right?"
Samantha T.,"Chula Vista, CA",142,14,4,5.0,10/2/2015,"So grateful for a local business who is willing to invest in the community. CYT thanks you, BJs. They took such good care of us tonight. Thanks Jennifer & George. #iceontheside"
Garlic D.,"Chula Vista, CA",70,7,1,5.0,12/15/2015,"Thank you Demi for serving myself and my coworkers today. You did a phenomenal job. Everyones food was picture perfect. We did not have to wait for any refills, condiments or drinks. I really enjoyed the bacon brisket burger. The nice beginnings were a great way to keep us entertained until our food arrived. You and Jen really exceeded our expectations and it made one of our Marines going away event a good time for us all. Thank you."
Amanda C.,"San Diego, CA",4,28,9,5.0,1/10/2016,"I come here once every few months and am never disappointed in their service or food. I always get seated right away and the hostesses at the front are always friendly. Last night was no exception. Our server was awesome and gave us good recommendations. We always get the avocado egg rolls to start. Last night I also tried the cherry chipotle salmon with couscous and brussel sprouts, which exceeded my expectations. I'll definitely be coming back just to have that dish, hopefully they keep it on the menu for good!  Family friendly place, but also good for date nights or meeting up with friends."
