Username,location,friend_count,review_count,photo_count,rating,date,review
Drew M.,"Naples, FL",0,16,,1.0,1/26/2014,"Went here on a Friday Night around 8:30. Long wait which we expected, horrible service which we did not expect as the Doral Location is on point and we have been there several times. This Coral Springs location is miserable, this is the first restaurant since the Cheesecake factory in Atlanta in 2008 that a server knocked over my drink onto my lap and did not even apologize, the waiter (Juan) is the most Douchy waiter that I may have ever experienced, he was calling my Family....""Family""..never..Juan..WTF? anyways you could have had 10 year olds running this place and it would have run smoother and to top off the horrible experience..ready for this?...as we were leaving, our headlights shined towards the alley next to the ""Restaurant"" and we saw one of the Cooks(Judging by his Chef outfit) urinating next to the dumpster..lol..only the best for the Coral Springs Sheople."
Timothy J.,"Coral Springs, FL",10,24,3,3.0,9/16/2013,"New place in Coral Springs. The waiting list can be long. We only waited less than 15 minutes but the catch is we got there around 9:30pm. Full bar and there is seating inside and outside. There are several TVs with all the games on. We got the 8 samples of BJ's Handcrafted signature beers. We tried Light Switch, Harvest Hefeweizen, Hopstorm IPA, Oasis, Blonde, Piranha, Jeremiah Red, and Nutty Brewnette. I liked the Light Switch and Jeremiah Red. Great beers. The lettuce wraps and gluten-free pizza are good. Service was fast."
Greg P.,"Pompano Beach, FL",4,61,7,1.0,4/11/2014,"Update from 4/11/14. We typically preorder our food now because the service is soooo bad here. I called the other day and some girl told me we cannot preorder any more. I explained the situation and she literally told me they don't care. Forget this place, I will never go back for food or beer! These people are idiots and the restaurant doesnt deserve to exist in coral springs when there are so many better places to go to."
Nikole G.,"Pompano Beach, FL",98,32,16,1.0,1/10/2016,"I have never written a negative review as of yet. But this experience definitely calls for one. Mostly because this was the SECOND time our service at BJ's was atrocious. DO NOT GO TO BJ'S WITH A PARTY OF 5 OR MORE! When only 4 of the people in the party were sat we got our drinks in about 6 minutes. The rest of the party arrived and 2 people in the party ordered the SAME drink that had already been served to one of the people already sitting. We timed and they did not get their drink for 13 minutes. And it was wrong. We asked for the right one, they brought it 10 minutes later and they still charged us for the incorrect ones. The second arriving party ordered their food AFTER the first arriving party (almost 15 min later) and they got their food first. No big deal.... Except for that the rest of the food didn't come out for 10 more minutes AND one of the orders never arrived! I had to ask them to take it off the check. The next 2 times we ordered drinks we waited about 10 minutes each time. ALL THIS WITH TWO SERVERS ASSIGNED TO OUR PARTY OF 12. Definitely not worth the sub par food they serve."
Regina D.,"Pompano Beach, FL",9,40,38,5.0,2/6/2014,"This has become one of my favorite sports-bar kind of restaurants. I've gone multiple times and have yet to be disappointed. I had two people I know disagree, they weren't a fan of the food they ordered but I thoroughly enjoyed it. Absolutely ADORE the cookie pan deserts.  red velvet is the best."
Diana D.,"Pompano Beach, FL",45,56,,4.0,4/8/2014,"Got addicted to this place while in school. Thrilled they opened one up in my current town. Been three times since. Food, on-site brewed sodas, and pizookies are my favorite! I am in the frequent diner club and I get great deals. Just went last night with a coupon for free small/snack bite and happened to show up during happy hour so took advantage of half price appetizer and $1 off drinks while watching NCAA finals game in bar area. Never have had a bad experience at either location I've been to!"
Justin A.,"Burlingame, CA",172,130,53,2.0,9/15/2013,"Interesting beers, but the food is mediocre, especially for the price. Basically, it's just greasy bar food with a huge markup. I guess I just expect a little more quality from an upscale brew house."
Ross Z.,"Pompano Beach, FL",1,32,25,1.0,2/29/2016,"My wife and i ate here yesterday with 2 other couples.  4 of us ordered the ribeye steak. This is where it gets good. After tracking down our waitress since she disappeared for 20 min. We asked where our food was. Since it had been 45 min since we had ordered. She apologized to us,  telling us that she had a big baby shower she was also taking care of. Not my problem i thought to myself. She said our food was coming now. Well it came and along with my ribeye i also ordered asparagus and a baked potato. My asparagus was all dried out but I didn't say anything until i cut my steak. My steak was suppose to be medium it was more like rare. I asked for the manager. I explained to her how long we waited and the food still came out wrong. She also gave me the excuse of the server having been over loaded. Well then instead of thinking it i told her thats not my problem thats yours as a manager. She apologized and said she will take care of it. My steak comes back and now they served me the same steak they just threw it back on the grill. It looked like a lump of charcoal. And it was well done now. I called her back over and asked her if she was serious serving this steak to me. I said look at it. You gave me back the same steak and burnt it. She replied your right it is burnt but i disnt want you to wait any longer for your food. So i said i would rather a little longer and have my food correct then like you served me. So i had her just take the steak back and cancel my order. Then she replied like she was doing me a favor she will remove it from my bill. This was a pathetic display of management skills and making sure your customer is happy. I think its pretty pathetic that in a place like that there so called chefs cannot cook a steak correctly. I will never go there again. I just wish i would have taken a picture of the plate of food she delivered to my table. What makes it even worse is she was the manager. I guess its quanity over quality in this place."
Rob M.,"Pompano Beach, FL",0,22,,2.0,10/1/2013,"Location is new to Coral Springs but not a new restaurant so they should know the drill.  They better get their service under control and the kitchen on the ball since this town will make or break a restaurant in 6 months.  I give it that they are new but 45 minutes for a soup and salad?  Come on.  The table next to us was going on 1 hour for salads and burgers.  GM response ""we are working the kinks out"".  No kidding.  Take the short ride to Big Bear Brewery.  Always consistent and always great service. BJ's will be gone in a year."
Howard S.,"Pompano Beach, FL",2,33,1,1.0,1/26/2014,I've been here 3 times and it is consistent for very slow service. It doesn't matter what time of day. Ie 330pm. For the prices they charge something is wrong here for slow service. Good luck to you!
