Username,location,friend_count,review_count,photo_count,rating,date,review
Science Lady B.,"Las Vegas, NV",20,24,17,3.0,11/29/2015,I had just arrived in town and stopped in to my favorite location..the waitress Tiffany was great...excellent attitude and lots of attention. It took over 1 1/2 to get our order and the manager brought it to us and apologized which was great..They did comp my meal but I would much rather have my meal in a timely manner.The customer service has always been outstanding and I have been coming to this location since it opened but I hope they get it together...I will say I love the century city location just a bit more..
Nicole W.,"Los Angeles, CA",4,45,,3.0,11/24/2015,"Andrew was an awesome server, he really saved the day and took up the slack. I don't know this first guy with short blonde hair, but it must have been the end of his shift. There was no warm hand off. He didn't bring napkins, a straw, no silverware, no smile. I didn't feel welcomed. I don't make much money so this was a splurge for me."
Kool P.,"Los Angeles, CA",0,2,19,5.0,9/14/2016,This Review is solely for Garrett (spelling ) he is a very positive energy and kind server ! Totally made my experience forget I was at a meat house lol (I'm vegan ) so I was very thankful for the humble service ... Keep it up !
Mai K.,"Santa Monica, CA",192,149,77,3.0,6/30/2013,"My friend and I got seated within 10 minutes, which was nice. Our waiter was pretty attentive. We ordered the corn fritters as a starter -- I would definitely recommend it. It's only $3 for four pieces of H-E-A-V-E-N. I wish we had ordered more of this blend of corn, flour, aioli, and bacon. This aioli was really good! We both ordered burgers -- my friend ordered the jalapeno burger and I got the new bison burger. Both were medium well.  I've never had bison, which is why I wanted to try, but it tastes pretty much like beef, haha. I thought my burger was pretty dry and my friend shared a similar opinion on hers. She only had like a dollop of aioli at the top of her patty, too.  For dessert, I was stuck between the new summer berry/candied peach cobbler and a similar-sounding blend of deep-dish berries, both with vanilla bean ice cream on top. I decided to go with the former, but our waiter ended up confusing the two (understandably..) and gave me the wrong dessert. It wasn't that big a deal since the two are similar.  All in all, this BJs is good. I just wish their burgers weren't so dry!"
Justin W.,"Los Angeles, CA",7,5,,1.0,8/21/2015,"I come to diz location cuz they be smokin' up them burgers I hear about all the time. When me and this ""great burger"" come face to face, we both say, ""uh uh."" The waiter was very rude and careless, probably didn't learn his manners from his mama."
DP G.,"Torrance, CA",0,30,25,1.0,1/15/2016,"Bartenders have a poor attitude. In a bar that makes it or breaks it. I moved to the area 6 months ago and have gone several times to this BJs. Each time I am greeted with disinterest and then treated like I am a bother to the bartenders. They are rude, purposely slow and really overall just kind of miserable. Like they don't want to be there. I can only guess this poor attitude comes from management. That type of thing trickles down. It's too bad because I have always loved BJs... Go to the West Covina BJs and STAY CLEAR of this one."
Daniel S.,"Los Angeles, CA",136,74,43,5.0,4/6/2015,Sit at the bar tables and request Jane' . Very friendly and helpful. Will be back again.
Ivy W.,"Los Angeles, CA",1536,1308,2750,3.0,1/22/2013,"Not a fan of BJ's but we came for a work lunch as it's nearby. Parking is a hassle, so we valeted. Main entrance is annoying and inefficient as it's a turnstile, revolving door. Restaurant is quite large and open with high ceilings, so it's a lot nicer than most BJ's I've been to. Being a party of five, we were seated at a booth. Waitress quickly got our drink orders and brought them. She was short, which could've been mistaken for as rudeness, but she was efficient and got the job done. We ordered two appetizers, one large pizza, and a dessert to share. Spinach & Artichoke Dip Nothing to write home about, nor complain. Very basic. Comparable to the one at California Pizza Chicken. Chicken Lettuce Wraps Didn't try this, so I don't have an opinion. My coworkers all loved it. Chicken Bacon Ranch Deep Dish Pizza  We asked for bacon on the side, but it was pretty good without it. The photos on their menu make the pizzas look super thick and fluffy... which was not how the pizza looked in real life. It was still a thicker crust than how I normally like it though, as I prefer NY style thin crust. I wouldn't mind ordering this again. Chocolate Chip Pizookie Everyone's so obsessed with pizookies, and while I admit they're good, they're not as divine as everyone makes them out to be. What's so special about a warm cookie with ice cream? I don't get it. Since it was also one of my co-worker's birthday, our waitress was kind enough to give her a complimentary mini pizookie. I really like their cookie and ice cream ratio as most restaurants usually skimp out on the latter. Like with all chain restaurants, you really can't expect much. Both service and food were mediocre. Will only come back if I have no say in where to dine."
Tiarra ..,"Los Angeles, CA",0,12,2,5.0,9/11/2016,"Mike at the bar was awesome!!! He kept checking on us, made my boyfriend and I great drinks and made sure we were okay throughout our visit!! 5 stars for him! Best employee I've experienced here everrrr"
Bonnie Z.,"Palo Alto, CA",70,154,236,3.0,9/26/2014,"I come to this BJ's a lot because it's close to my work, and they have some pretty good lunch specials. I usually like getting the unlimited soup and salad. The reason I gave this place 3 stars is because the food and the service both vary from day to day, from 1 star to 5 stars...so I'm just averaging it at 3. On good days, the service is quick, waiters are attentive, and the food is very tasty. On bad days, the waiters forget our food orders, the watermelon in my salad is mushy, the clam chowder is too salty...etc."
