Username,location,friend_count,review_count,photo_count,rating,date,review
Ladybug D.,"Harbor City, CA",1,3,,5.0,1/18/2017,"Anthony C. is the BEST waiter.. I've had many waiters and waitresses at this locations and   Anthony   over and beyond the best to me, If you're looking for A1 service please ask for Anthony C."
Tim S.,"Downey, CA",18,91,96,4.0,11/16/2016,Another great visit! You guys are doing great. Our server Jacqueline G was the best. Loved the tavern cut garlic chicken pesto. Meet David Simpson your beer guy. Great knowledge of your beers and great personality. Love this guy! Major asset to your company. Gota figure out how to get more people like him. See you next time.
Linda L.,"Los Angeles, CA",497,349,855,3.0,3/14/2015,1 check-in I decided to order take out one night since I wasn't in the mood to leaving the house with NY babies just to go eat. Ordered 2 entrees and a side salad. Pick up time was at 6pm but my husband ran an hour late. They were kind enough to give me a courtesy call to ask if I would still pick up my take out order. I assured them I am just that my husband was running a bit late.  So my husband picked up our take out. First thing I asked was for my salad. Apparently it wasn't packed in. Again another disappointment that my take out order wasn't given the entire order. Upset I called the store to asked if its possible to have a refund over the phone for the missing salad because I did not want to have to go back to pick it up. Manager apologize and was kind enough to give me two options. Either get a refund by phone or he can send me a gift card for the amount + a gift. I thought why not I can wait. The salad was well under $4 anyways. Sure enough. I received the gift card in the mail. The manager had written an apology for the mistake and given me a small gift to go along with the refund of the salad. Though I was pleased with the incident. I'm very pleased with the service. They did the right thing to assure the customer would be happy. The food I ordered came delicious and warm still even though my husband ran an hour late for pick up.
Cindy P.,"Los Angeles, CA",0,3,,5.0,1/14/2017,"I've been to this BJ's on several occasions and never have I had such exceptional service as I had tonight, Michelle M gave the best service hands down  The island smash was so delicious!"
Lori A.,"Lakewood, CA",55,5,,5.0,1/14/2017,"Had a great birthday luncheon this afternoon at BJ's thanks to our waiter, Anthony C. He provided us exceptional service with a smile and did his absolute best to make our lunch a wonderful experience.  He corrected our order, after a misunderstanding, promptly and courteously. Food was great and we will definitely request to be seated in his dining area next time we visit BJ's. Shout out to you Anthony C!"
Karina V.,"Los Angeles, CA",118,125,190,4.0,3/6/2016,"I've been here a few times and it's hit and miss with their service but when we came on 2/25 Daniel was our server and he was great, he made sure our cups were always filled brought out the condiments we asked for. Great service overall. The food was good, you can never go wrong with their Ahi Salad, my son ordered the brisket burger which he really enjoyed."
Miguel A.,"South Gate, CA",87,1,2,1.0,9/18/2016,"Went in today because I was craving a steak. Made a reservation thru the app. Wich is very convenient. I ordered the Rib eye medium. 40 minutes after we were still waiting on our food. The people next to us wich got there after we did got their order first. When we finally get our food, my steak was so over cooked it looked like a piece of charcoal!!! I spoke with the manager he said he would bring me out another steak. 20 mins later the second steak came out and it was even worse!! The steak was completely black! So over cooked that it wasnt even tender just a hard piece of steak!!! I was extremely disappointed and angry! I didnt even try to eat it!! I just asked for my bill and asked to speak to the manager again! I payed! Waited for about 10 minutes and the manager never came! As I was leaving I noticed the manager just hanging around the bar area. I used to love going to BJ'S but after this experience I will never take my family there or recomend this location to no one!!!! If I could give it zero stars or even negative stars I would! I will post the pics of the steaks just so you guys see that when I said the steaks looked like a piece of charcoal, I wasnt exaggerating or lying."
Joe M.,"Moreno Valley, CA",0,2,,5.0,7/7/2017,"Last night had dinner with family and friends. Had a marvolous time our server Courtney was wonderful at explainig the menu items. Recomened a watermelon mojito and she was on point so refreshing and delicouse. Our server made it a good exsperence, we will defanitly be back."
Alyssa V.,"Whittier, CA",0,1,,1.0,8/18/2016,only gave one star because I had to! WORST customer service the waiter forgot about us plus waited over an hour for our meal! ended up asking for the check for our drinks & left! ridiculous wait I am never coming to this location again!
Michael P.,"Paramount, CA",47,23,21,2.0,3/18/2015,"I am writing my review based on our visit last night (St Patrick's day). So I give it two stars based on the fact that we were sat very quickly and the staff who dealt with our issue was very courteous.  Let's see, where do I start? Ok so we sat down and ordered drinks and an appetizer. Everything seemed to be going well, we put in our dinner order and I asked if my ribeye steak could be butterflied to avoid it being burnt. As soon as the food came out, there were two issues, the steak was too charred and it was a New York steak. So the server said I'll get you a ribeye and make sure it's not burned. She offered a soup while I wait. I said sure I'll take one. Let me also add, my parents ordered a burger and it said it had green leaf lettuce. This burger had the nastiest clumps of ""lettuce"" in it, when we brought it to the servers attention she said ""umm ok do you want another burger or what?"" As if there was nothing wrong with the lettuce. My parents just said ""bring us fresh lettuce and we'll eat it."" Lettuce never came. So everyone is pretty much done with their food, when the soup arrives. Didn't look at all appealing. The. She says ""oh your steak should be right out."" Steak came out and it was charred on the outside and very undercooked inside. This is an issue I have every time I order steak at BJ's, I guess I should follow my servers advice and ""find a new plate"" Thanks for reading."
