Username,location,friend_count,review_count,photo_count,rating,date,review
Pasha R.,"Fremont, CA",51,2,,5.0,8/10/2017,"This is one of the few brew houses I've visited that had food as good as, or better than the beer. I ordered the Mushroom Swiss burger and was amazed that they had a full mushroom cap instead of cut up/minced mushrooms sprinkled on it. The burger was perfectly cooked to order (medium rare) and the grilled asparagus was perfectly seasoned. The beer was also amazing. I ordered an IPA and the wonderful waitress asked if I'd like to try a few different drafts before I ordered the one I wanted.  The waitress (I forget her name) was amazing. She did her job above and beyond the standard I have come to expect. Super polite and detail oriented to my order, while at the same time, extremely friendly. It's as if she was the hostess of a dinner party. Even after the check was paid for, and I kept talking to my friend; she didn't rush us or imply that we had to go. Truly a phenomenal experience.  I will definitely be coming back. Although, the standard has been set. ;) 5/5"
Tom O.,"Hilliard, OH",1,19,6,1.0,10/29/2017,"BJ's Restaurant and Brewhouse #bjsrestaurantandbrewhouse Tried the call ahead while on the way there... got transferred to mgr phone because of 5 adults three toddlers and and bounced back to counter... arrived at 5:25 pm and was acknowledged as call in group and was told by host I'm going to get table set. 10 mins later came and asked name and text # as he said it was never inputted. As we wait, larger groups going ahead. Then host says he is getting manager. Manager never came. Now going on 6:12 I ask again why other tables going ahead of us? Host replied they had reservation in which I responded as did we as you recognized a half hr ago! He stated three high chairs was the issue so I said make it two and a booster.  Host then states yeah we are a bit short handed....I see what seems to be the manager and he proceeds to place blame on other manager who left he said, great, another excuse I said. The manager proceeded to walk away and not want to deal with the issue.... really? I'm about to spend over a hundred dollars and you don't want to figure out how to seat us? Ok we left and went to Bob Evans who was more than happy to accommodate all of us! Not happy at this BJ's by any stretch! You outright blew it!!!!"
Jamie H.,"Grove City, OH",23,6,2,2.0,9/18/2017,"I would like to start off by saying that I have been to this location several times in the past and have had little issue.  On Friday, September 15th, 4 of us went to this location around 7:30 pm.   It was crowded, but putting ourselves on the preferred list helped.  We only waited 15 mins to sit.  Well, that was the only quick thing of the evening.  Our server walked by and said that he would be right with us.  Almost 20 minutes later, he finally took our drink order as well as our food order.  I have to say I do not like the electronic ordering they have moved to.  I feel like writing the items down and then putting them in the system would be faster.  The food ordering alone took forever (compared to how long it might normally take).  We all ordered regular menu items and I ordered the asian chopped salad with no onions. So then......we wait........ I wish I had kept track of how long it took because it felt like an eternity (especaiiyl since we were already so hungry).  Yes, it was a busy Friday night, but it was just ridiculous.  When the food finally arrived, he brought me the entirely wrong salad (something with tuna).  I was very unhappy at this point.  OH and also unhappy with the skinny margarita that tasted like fresh lemonade.  I tasted a hint of tequila at the beginning and then it was just lemonade.  I promise I am not exaggerating.  I would've complained but it would've taken 30 minutes just to get a new one.  I promise I do not like cocktails with too much liquor in them-it was like there was none in it.  So when my salad came out wrong, I was pretty upset.  I didn't complain.  OH and my son's cheeseburgers had no cheese.  We realized there was a mix up but the server tried to argue with me about it. When my salad comes out 15-20 minutes later, it is perfect.  So so good.  That's why this review has 2 stars and not 1.  Thank God for that salad.  And after we finished, the server didn't even ask if we wanted to have dessert (which for me was fine since I was full but my friend wanted a pizookie).  We also realized it would've taken forever so we just paid and left.  I do enjoy this restaurant, but I might wait a while before deciding to go again.  Horrible experience."
Tracy W.,"Greenwich, OH",9,74,42,2.0,1/4/2018,"I ate here with a small group last evening for a business dinner. I must say I have been to BJ's several times, and have always thought highly of their menu selection and service. Tonight however the service was horrible and the food was not up to par. For a midweek evening, they were not extremely busy. Our waitress seem to have too many tables and was running around trying to keep up with the demands. There were five of us in our group. We each got our drink orders which was all simple as well as an appetizer which came out in decent time. We then ordered our entrées and some came out OK and some needing attention, however we had to wait for our waitress to come back. The rice mixture was extremely dry and we requested something different which did not come out until we were all done eating. We even told her to not bring it since the meal was over however she didn't listen and brought it out anyway. A couple of us ordered the small steaks which were just OK. We all thought overall the food quality was just not that great tonight. Our group has eaten here several times over the past few years without issue but something seemed off tonight. I'm not sure if they were understaffed or what but it seem like every time we turn around we had to wait for something which should not have taken but a few minutes to take care of. Even our bill we received was wrong and belong to another table which really topped off the night on a wrong note."
Brandon L.,"Columbus, OH",38,550,12,2.0,1/3/2018,"The most recent experience, via take out, was disappointing. It wasn't too long that we had to wait....but the chicken seemed like it had been sitting under the lamp for a while. And the pizza? Pricey, sparse on toppings and a bit undercooked. Sure, ive had fairly good experiences dining in. I've had fish n chips, and pasta. Maybe you should just avoid the pizza and the chicken? The parking lot is always crowded."
Scott C.,"Hilliard, OH",10,65,244,4.0,9/21/2017,"Love BJ's. I have been there 3 or 4 times I have got pizza every time would like to try other things but there pizza is to good to get anything else it's delicious 1 of my favorites in town and that's saying something because I'm a pizza fanatic and we have a great pizza scene here in central Ohio. They are also a brewery and there beer is delicious and also have a great craft beer selection besides there own, service is excellent and the place is just really cool!"
Kevin C.,"Columbus, OH",1389,247,1105,5.0,6/12/2017,"If you like pizza, you should try BJ's pizza.  It's deep dish and loaded with toppings. They have lots of different pizzas to choose from as well as many other delicious meals.  We had a large group and everybody ordered something different.  Everybody was happy with the service and the taste of the meal.  I ordered the CHICKEN BACON RANCH PIADINA - Filled with seasoned, grilled chicken, smoked bacon, ranch, tomatoes and BJ's signature five cheese blend. With ranch for dipping. I added a bowl of Piranha Pale Ale Chili, and to drink I ordered the BJ'S ROOT BEER. There were several different flavors to choose from and since refills were free (which was really nice as I have had to pay per glass at other restaurants) my next drink was the BJ'S BLACK CHERRY SODA. My meal was excellent, the service was great, the server was prompt with the order and taking and refilling the drinks."
Emma B.,"Columbus, OH",5,24,54,2.0,7/29/2017,"So let me just start this by saying that we've been to this BJ's before and had always had a good experience. Today, however, was extremely disappointing.  We were seated quickly on the patio by our request since it was 75 degrees and sunny. We looked through the extensive menu and decided we wanted nachos as an appetizer (nachos aren't an actual menu item but they can make it on request since they have all the ingredients to). They came pretty quickly, though there was a bit of a mix-up when the nacho flatbread came instead of actual nachos. This was understandable because, as I mentioned, nachos aren't an actual menu item.  Anyways, the nachos (when they came) had little taste and were not very appetizing at all. They were OK except for the chili sauce, if you could call it that, which drenched all of the chips. The sauce had no spice, or taste for that matter, to it.  After we ate some of the chips because we were pretty hungry, we had to return them. Our server was very nice and apologetic about it. My dad's chicken tortilla soup (which I tried) was the definition of so-so. It tasted pretty good but was lukewarm which made it unappetizing.  I got the ""enlightened"" Mediterranean chicken tacos and they were disappointing to say the least: just lacking flavor overall. The grains that came on the side were even more flavorless than the tacos. And I agree with another review which highlights the ridiculous cost of the food, because my pretty small, devoid-of-flavor tacos were around $10.75. That's pretty ridiculous.  By and large, BJ's has let me down. I'm not sure if this was an abnormality, or if they're changing for the worst. But one things for sure- I won't be rushing back."
Mike N.,"Clarksville, TN",65,376,517,4.0,3/5/2017,"Although it was very crowded for Saturday lunch, we found our seats right away at a high-top table in the bar section. Otherwise, the wait for table in the dining area was 15-20 mins per maitre d'.  Service was very prompt by Michelle. She was very attentive and courteous all through our meal. I appreciated her great customer service. I found poor customer service increasing in an alarming rate these days even at a very nice restaurant.  As for food, Portobello Swiss Burger was exceptionally good per our son (except pesto sauce since he is not a big fan--I tasted it and found it extremely salty). BJ Brewhouse Berger with applewood smoked bacon and cheddar cheese was also very good. I liked their potato wedges since they were well seasoned.  Perhaps due to the crowdedness of the place, I felt it was very loud. We had to listen to each other carefully to carry out our conversation over lunch.  Overall very good experience with good food and very good service."
BJ H.,"Portsmouth, VA",11,105,39,3.0,9/30/2017,Nothing bad and nothing good to say.  Everything was just ok.  Good place to take the fam but don't expect an gastronomical delight.  It is truly a solid 3 Star place.
