Username,location,friend_count,review_count,photo_count,rating,date,review
Ted B.,"San Antonio, TX",0,22,1,2.0,10/9/2015,Ordered the fish and chips and it was over cooked and smelled like old grease. Service was good and quick.
A B.,"TX, TX",0,21,1,2.0,7/4/2016,The food was awful and the drinks weren't much better. However the manager was very apologetic and nice. But given the overall experience I won't be back anytime soon.
Chelsea S.,"Navarre, FL",0,4,,3.0,12/31/2015,"Great food but extremely poor customer service. My husband and I spent quite a few dollars at the bar watching football and the bar tenders acted too busy to ask us what we wanted, to refill our water, refill our beer and take our order. They lacked the customer service skills required to get good customers to return to bars like this one. Extremely disappointed in this one."
Sean M.,"Las Cruces, NM",0,8,,1.0,6/1/2016,Just got done eating and the service was terrible. Our waiter was busy talking to other people at the bar than getting drinks or even seeing if we need anything else. The only time we saw him was when he first brought our meal out to us. The food was not that good. The pizza was oily and my dad's meal was a little bit burnt.
Nomadic T.,"Yuma, AZ",0,198,19,4.0,1/4/2016,Seemed like a good BJs. Bartender Ashley was really nice and accomadating. Deep dish pizza was good as were the stuffed mushrooms. Very Berry and the Seasonal Octoberfest were great crafts.
Beto H.,"El Paso, TX",216,74,54,4.0,3/16/2014,"Came in tonight not really hungry but wanting something to drink to unwind. Then a miracle happened when I opened the menu and seen pictures of their food... You guessed it, I got hungry! So I told myself, ""Self, you deserve the juicy California burger with avocado and green chile"". So i ordered it with the Pomegranate Sunset drink (extra strong). The food was delicious and the drink was relaxing. I topped it off with a Caramel Salted Pazookie. I left this place winning and satisfied with the service."
Gera N.,"El Paso, TX",1,7,,4.0,10/16/2015,Awesome brews. Good food and great service everytime. I like this place. Kid friendly is always a plus
Camey B.,"El Paso, TX",0,2,,1.0,9/6/2015,"Went there on a whim with my husband. Although our waitress was very nice, the food was terrible. I ordered the brisket burger with crispy fried and he ordered the black and blue burger with wedges. Neither of our burgers where Cooked to the correct temperature. My husband's looked as though someone had sat on it before plating it. My bacon was burnt to charcoal and my fries were stale. The BBQ sauce that they put on the brisket tasted more like syrup than BBQ. I had to pull my burger apart to even try to finish it. I had worked in restaurants for 10 years before joining the service. I know what happened to our meal in the kitchen. BJ's is a chain restaurant. They have a free meal for vets and service members on Veterans Day. We will not be going. For the free food. There really is no excuse."
Vonnie S.,"Los Angeles, CA",97,328,519,3.0,6/27/2014,"It's a BJ's, what can you say?  Like most locations this one was large with a ton of TVs and a gigantic menu.  We came here around 9pm on Fathers Day.  The place was not crowded at all and was actually surprsingly empty. For it being this empty, our service was a tiny bit slow.  Our waitress had a large area to cover and she had a large party of 10 to take care on her own as well. The portions of food are plentiful and I had enough pasta to last for two additional meals.  I ordered the Shrimp Scampi pasta with extra shrimp and my husband ordered the chicken limone.  Both were good.  We were a little less impressed with our appetizer (tuna poke sashimi) but this was El Paso after all and I seriously doubt if they fly their fish in fresh every day.  The tuna was the right color but had none of the traditional poke flavors you'd expect.  Not a bad place to go when looking for options to feed several taste buds."
Michael M.,"Mason, MI",11,9,22,4.0,11/4/2014,"Have had 3 really nice experiences in the last week at BJ's. Although the house craft's were a little bit of a let down, Alise the bartender made the best dirty vodka martini I have ever had!!!!!! Jambalaya was absolutely amazing, Mahi-Mahi was fantastic!! Deep dish pizza came out under cooked and doughy but Alise immediately allowed me to choose another entrée (Jambalaya) . Best service I have had in a long time!!! Jeremiah Red was good but the Brown ale was not."
