Username,location,friend_count,review_count,photo_count,rating,date,review
Mike D.,"Long Beach, CA",23,20,40,4.0,4/11/2016,Im not a huge fan of their food but its always a good environment. Great place to come for drinks and appetizers. Good place to come watch the game as well. They have a very nice TV setup at the bar.
Dina L.,"Sacramento, CA",35,15,1,2.0,9/1/2016,"My most favorite dish here is the Santa Fe salad with grilled salmon. I ordered for curbside pickup tonight. Service was good as far as the young lady that took the order, brought the order out, and took my payment.  They added a garlic knot at no charge which I appreciated. The salad on the other hand was not good tonight. The salmon was baked and greasy instead of grilled and delicious and was just bland. I guess I'm not supposed to know the difference and since it is to goThe salad was small in comparison to every other time and there was no avocado in the salad. Last the dressing was watery like they were running out and added water. So disappointed in my dinner tonight."
Angel C.,"Elk Grove, CA",262,25,49,5.0,10/19/2015,"Great quality food. Friends & I ordered a pizza ( half great white half Hawaiian chicken bbq) delicious. I also ordered their signature cocktail drink the strawberry splash, which as also great."
Doug H.,"Ben Lomond, CA",0,4,,5.0,10/8/2016,"Had the best time there on a busy Friday night. Party of 11, one of us gluten free, and everything was just perfect. Brussel sprouts for appetizer, drinks flowing. At the end, our waitress effortlessly split the tab."
Momo K.,"Elk Grove, CA",1,6,6,1.0,2/23/2017,"Ordered the North Beach Mahi and Shrimp and it was beyond nasty! The fish stank so bad and it was freezer-burnt! Couscous were over-cooked! YUCK!!! I'll stick to the appetizers next time - at least they can't get that wrong, one could only hope!"
Shaquila D.,"Sacramento, CA",1,41,,2.0,3/10/2017,It is now 945 and I am just getting home from bjs mind you I live literally 5 mins away. I just ordered two baked potatoes with broccoli and chicken and it literally took over 40 mins to make. Normally I am quite angry when I have to wait to eat but at that I'm pregnant and my child is probably more angry then me. After telling the cashier that the baby I'm my tummy is upset he said I'm sorry well one of your potatoes is done did you want to eat that whole the other one is done. Uh no I ordered take out not take out but eat in the restaurant. Idk I guess I expected more compassion when I told them how they were kinda not just starving me but also my little person and they didn't seem to really care. Don't get me wrong they said sorry but it wasn't an apology that I felt was real. I originally asked for my refund and was about to just leave but magically my food was ready. No point of starving the rest of the night I let them keep the money and left. Bjs may have just lost one of their regulars.
Lori M.,"Elk Grove, CA",0,8,,4.0,10/13/2016,"The food is always good, and have had great experience with staff.  Just bring your patience with you, because it is typically real busy, but worth the wait."
Omar P.,"Pacifica, CA",1,11,1,2.0,10/31/2015,"Alright so I'm here on Halloween eating dinner for my gf bday, and well yeah it's. Wasn't good. We waited 30 min for someone to come and ask for our drinks and about 45 min for someone to take our order. The appetizers were good but when it came to the main dish of mine I asked for my burger to be well done. And well it wasn't. My gf food came out great. What sucked was I had to give them my plate 2 times the first was because the frys were stale. Than my burger was cold. And than the third time my meat wasn't well done. I'm very disappointed."
Yin Z.,"Florin, CA",20,2,90,1.0,7/31/2016,"Call in for to go, the lady said 15 mins. I went in after 30mins. It was really busy, the host just told me to sit n wait. I went up there to ask how long it needs to take, They said they don't know, all they said was SIT and WAIT!!!! They didn't even ask my name for the to go. I'm like what the heck, what kind of service is that!!!! Never go back again. Really bad service!!!"
Danny G.,"Sacramento, CA",300,57,113,3.0,7/14/2015,"I came here on Saturday July 11th and to be honest was pretty disappointed. Even though BJ's is in an area that I frequent I still don't come here very often. On this particular trip I was actually pretty disappointed with my visit. First off, when our drinks were brought out to us our waitress just placed them on the table and walked away. Suffice to say, we didn't know who's drink was who's and needed to do a taste test in order to know. Luckily, we were all family so germs weren't a huge issue. The next thing we noticed was that our chicken wings were not steaming hot. Yes, the outer crust was fried well but the temperature of the chicken meat was lukewarm. Within 30 mins, the 4 of us started to get slight stomach aches. I'm not saying it was because of the chicken but the only thing we ate were the wings and the 4 of us were not complaining of stomach issues until after we ate the wings.   This visit wasn't the best, I have had better experiences at this BJ's before I began yelping. I'll chalk it up to a somewhat busy Saturday night and write up a follow up review on my next visit."
Kurt C.,"Sacramento, CA",694,407,2176,4.0,7/6/2014,"I've been to this location too many times not to review it.  Consistently good service. They do a great job maintaining the restaurant's casual yet sophisticated look. I always see a diverse group of people dining in, which is an indicator that they are very welcoming of any race and age group.  Jerry Burst! If you drink alcohol, try it. It's one of their beer and cider blends that I happen to be a fan of. It's Berry Burst cider and their very own house brew, Jeremiah Red. Good aroma of caramel malts, full-bodied, and a bit of hops to it. Taste like it smells, but more robust.  For my main course, I ordered from one of their enLIGHTened entrées -- the Maui Glazed Pork Chop. It was perfectly grilled, tender, with a little kick from the sweet and tangy sauce. It came with steamed green beans and oven roasted red potatoes.  And, of course, if you've heard of BJ's, you know to associate them automatically with their famous pizookie dessert. It's almost mandatory to have them at the end of your meal here. We got the trio this time with Salted Caramel, White Chocolate Macadamia Nut, and Cookies 'N' Cream. Great option if you can't decide on one!"
Nichole R.,"Sacramento, CA",181,119,40,3.0,6/28/2016,Went here last night. We went for a birthday it was busy for a Monday. Was seated quickly our server was attentive but was a bit slow and kept forgetting the items we asked for but overall wasn't bad but not amazing! My son ordered fettuccine Alfredo which is his absolute favorite! I ordered the flat bread pizza which was just enough for me! My husband ordered the ahi tuna salad which was amazing! And to top it off we tried the monkey bread dessert which was beyond amazing!!!!
Wingyung Y.,"Elk Grove, CA",1,37,67,3.0,8/27/2016,"My boyfriend and I had a dinner date here on a Monday night. I got the balsamic glazed chicken which was bomb. I definitely recommend that dish! We also got a great white pizza which was delicious. The service was not so great though ): Our waiter was not around much at all. We also got a chocolate chip pizookie for dessert. So, if you want pizza.. come on Mondays for half off pizzas! 2 stars for our food and 1 star for my chocolate chip pizookie :)"
Bruce S.,"Elk Grove, CA",235,361,2174,2.0,11/4/2014,A few months ago we received 2 $50 gift cards to BJ's. We went in 3 times for lunch to use them up. No reason to return again as this place is nothing special and the service isn't good. Their prices are high also. They make their own beer so why do the prices start at $5.00 a glass and go up? Not a good deal. All three times we ate there all our order came out at once. Not the appetizers first like we expected. Twice it seemed like we sat for quite a bit before our food came out. Once we got it the food was good enough. The last time we went in we had $13.00 left on the gift card so that means the first two visits averaged $43.50 each. That's too costly for lunch and we will never go back. My Wife had visited another BJ's previously and got sick after eating the calamari. We never would have gone in the first place if we hadn't been given the cards as a gift
