Username,location,friend_count,review_count,photo_count,rating,date,review
Carl K.,"Escondido, CA",20,19,,3.0,7/11/2014,They are located in a great location.  They also have a pretty good happy hour.  My wife and I like the Margarita Flat Bread Pizza.  I would give a higher rating but the service is lacking especially if they are a little busy!!  Try their house Microbrews...you will like it!!
James L.,"San Diego, CA",1,34,18,4.0,4/5/2013,"The pizza is great fresh and if you have a toaster oven, save a few slices for later.  It comes out of the toaster oven with a fresh out of the oven texture and flavor.  You can keep the slices in the fridge for almost a week and still have piping hot fresh tasting fancy pizza! It's deep dish.  If you're a hater because you like it thin, don't hold it against this place.  Really... one slice is a meal.  Pizookie is always a good idea but the fancier flavors aren't as good as old school.  Don't be shy about asking for some more hot fudge. The beer is ... meh.... gone through the sampler flight so many times and it doesn't float this beer lover's boat.  But just wash it down with another slice of pizza.  Rinse & repeat."
Cassidy C.,"San Diego, CA",55,35,,5.0,5/26/2014,"Ate dinner, lunch and hung out at the bar here. Great food selection and wonderful drinks. Loved the blonde kolshe and the peach margarita. Great service!"
Kel'ly B.,"Escondido, CA",14,14,,5.0,6/26/2014,"Pizza, beer & more!! This is my go to place when I cannot decide on what or where I want to eat.  Deep dish pizza is fantastic, my favorite is ""the great white"" alfredo sauce, grilled chicken, tomatoes...whats not to love. My hubby loves their brew house blonde beer and I enjoy a nice freshing cocktail (havent found one I dont like yet). Their avocado eggrolls are amazing...flakey warm wonton wrappers, that hug a great melody of flavors from chipotle, corn, avocado & several other flavors. Definitely recommend joining theircard club, earn points for coupons food and vip privileges. Go check them out..."
Rayna J.,"Escondido, San Diego, CA",166,198,32,3.0,2/24/2014,"Like any BJ's brewhouse, they have tons of options for food and tons of drinks. Similar to cheesecake factory menu with so many options it takes you at least 30 minutes to decide. Hey, I'm all about variety but hell this is overwhelming. I've tried quite a few items off the menu. From the pizza, Parmesan crusted chicken, ahi poke, mozzarella tomato small side, almost all the salads and everything is pretty fantastic. Haven't had a bad dish yet. Drinks are great, nice variety and plenty of beer on tap. However, the service at Escondido is just meh. They seem to switch over servers every 10 minutes so you never know who to go to. Pretty annoying and food seems to take forever."
Madison W.,"Escondido, CA",0,1,,5.0,6/23/2015,"We love this restaurant and always have the best service. Especially tonight, my mom loves grey hound drinks (vodka and grapefruit juice) but the last few times we came they didn't have the juice. My dad let the manager know just for future reference, and the manager, Ron, took the initiative and called next door to another restaurant to get some juice. It was really above and beyond."
Erlinda C.,"Vista, CA",0,25,,1.0,6/21/2015,"It's our first time to eat here. Service is not good. Two of our order was cold, which is the Hamburger & fries then the Jambalaya is also cold! The skinny margarita that I order is horrible! We'll never eat here again!"
Dawn B.,"San Diego, CA",5,1,,1.0,6/15/2013,I've tried to give this BJ's location a chance. Tried it 3 times over the past 6 months and the service has been incredibly slow each time. Food takes forever to come out. Our visit today resulted in an incorrect bill that we had to get fixed. The manager did come over to apologize but the damage has been done. I will not be returning to this location.
Will H.,"Ramona, CA",43,80,,5.0,1/27/2015,Love this place. Were here like once a month. We always get great service. Can't go wrong with anything on the menu. Beer selection is great. Always a good time here. Pizza and wings are my favorite. Bj beers are good and they have others on tap. Can't wait to come back!
Renee J.,"Santa Ana, CA",0,157,,1.0,12/21/2013,"BJs for happy hour is really scrimping. Seriously. No sauce on the mini deep dish pizza, plus obviously premade and just kept warm...cheese wasn't even close to melted. Not really deep dish either, more like canned biscuit dough. Artichoke dip was crazy small, way smaller than it used to be. Yay, just paid $5 for about 15 tortilla chips. The absolute worst was the chicken nuggets, I mean chicken tenders. So gross! Only 4 of them, and honestly I think they are from McDonalds, but for way more cash. Not going here anymore unless it's only for a beer.  Place also very understaffed with only two people behind the bar serving the bar customers as well as tables."
