Username,location,friend_count,review_count,photo_count,rating,date,review
Stacey P.,"Eugene, OR",9,6,,5.0,1/10/2018,"Amazing food especially the Monkey Bread! Customer service was great as well. TY for making my monthly date night with my daughter a success! Happy Mom, Stacey :)"
Brandi I.,"South Pasadena, CA",93,326,801,3.0,1/4/2018,"The food was good and the service was good too.  Parking is easy because the restaurant is in the mall parking lot.  It's a good place to get a drink and watch the game, any game, all the games.  It's a little cold inside which is no fun when it's already cold outside.  It's a pretty big restaurant so not much in the way of waiting which is nice."
Eric C.,"Eugene, OR",32,61,31,1.0,12/18/2017,"We had 2 different groups go to BJ's for work party/rewards dinners in 2 different nights. 1st party half of the people were done eating as the food was arriving for the rest and they were out of their pazookies.  2nd Dinner, they came back after ordering to tell us that they were out of prime rib. When they brought out food they had no idea who got what. One guy got a side of steak because they couldn't figure out where it went.  I ordered the fish and chip, because who can screw that up right? Well, mine had a green marble sitting right in the middle of the plate. No, seriously, a full sized marble. Now a hair or even the tip of a thumb I get (disgusting but I'd get). What is going on in their kitchen that it's even possible for there to be a marble in on my plate. (Photo of marble attached) They guy asked me if I wanted it remade. This is a real question? Really? Anyways, the fries were soggy and the fish was not good. When your company (that for some god forsaken reason keeps ordering from your restaurant regularly) comes in and spends $1000 on dinner for your group (a second time) you think they could get it together but apparently not.  The food was mediocre at best, overpriced and their in-house beers are pretty gross. Not a place to waste your money."
Chrystal O.,"Eugene, OR",25,132,38,1.0,12/1/2017,"Received our order and 1 entree, side salad and the topping for a dessert were missing from the order. So I could not eat, its taken about 2 hours since I ordered to resolve this. An appetizer we received was burnt to a crisp and inedible. Would not recommend."
Jordyn G.,"Eugene, OR",171,66,2,5.0,12/28/2017,Had awesome service and great food! The menu is huge! With options from tacos to pizza to pasta you can't go wrong with this place. Their happy hour is great! 6 dollar burger and fry! And get a cheap beer from their own brewery! I loved their triple berry cider. I'll be back time and time again! Thanks BJ's!
Ashton P.,"Saratoga Springs, UT",204,186,196,4.0,10/28/2017,"Who doesn't live a good BJs.  We were able to park and be seated very easily. Our server was amazing.  He was very informative and helpful.  I ordered the Prime Rib dinner.  Talk about a ton of food. It came with soup, salad, mash potatoes, the delicious prime rib, AND dessert.   We will be back"
Jake G.,"Eugene, OR",25,31,,3.0,12/14/2017,"There were several things to like about BJ's.  First, I liked the atmosphere.  It's a large restaurant, but the lighting and the intimacy of the booths makes it feel cozy.  At the same time, it also have the feel of a restaurant from a different time - I can't quite put my finger on it, but I liked it. The service was good and the staff were attentive without being overbearing.  We did have to wait quite a long time for our food and dessert, but it was rather busy. The food was acceptable but not extraordinary.  I might even call it ""reliable"" in that I suspect it tastes exactly the same at every location.  That can, however, be a good thing! I ordered the BBQ Smoked Brisket Burger.  The patty was a bit overdone and the bacon quite underdone.  However, the brisket and BBQ sauce were good.  I did order it without onions and it came, you guessed it, with onions.  They were quick to take it back and return with the correct order.  The fries were especially good. We finished with a pizookie which, like the rest of the food, was adequate.  It was big enough to share and a fine finish to the meal. All in all, I'd go back if someone I was with specifically requested it, but might not suggest it on my own."
Jill L.,"Central Point, OR",7,2,,5.0,1/5/2018,What a fantastic experience I just had with my daughter.  Our waitress recommended the meat piadiana.  It was an excellent recommendation.  Portions are large and so many fries!  Brian made us feel like his own family.  Thank you for a wonderful lunch and Madison will keep us coming back for more.
Jason C.,"Eugene, OR",17,54,,1.0,12/20/2017,"My partner was served a raw burger. The server handled the situation professionally, but it is hard to even think about coming back. Traumatic..."
S F.,"Seal Rock, OR",0,12,16,3.0,9/29/2017,"Stopped at the bar to wait for my friends.   The barkeep was friendly and helpful,  providing me tips to the specials and offering a beverage recommendation.    Had the Ace pineapple cider.  Cool, crisp, and delicious.   Moved to a table later and again experienced excellent service.  The apps were nothing special but well priced.   We had the avocado egg rolls and artichoke dip. Very nice space.  High ceilings and cozy lighting.   I enjoyed my time at BJ'S -   Thanks to the wonderful staff and the company of my friends."
