Username,location,friend_count,review_count,photo_count,rating,date,review
Nicole S.,"Keller, TX",194,224,301,4.0,7/19/2017,"I love BJs!  I've been to this location twice. I usually go to the one in Hurst. I love that they have a light section on the menu so I can still enjoy a good meal without all the calories.  I've always been happy with the food here except for tonight. But I will still give it 4 stars because this was the first time I wasn't happy about the food and I've been coming here for years. I ordered the Roasted Chicken Peruvian Quinoa Bowl. The chicken was great; however, the rest was not. They put waaay TOO MUCH lemon juice on the rice and spinach and it was so sour that I could only take two bites!   But I will come back because I love the food here!"
Tyler M.,"Corinth, NY",0,11,4,2.0,10/2/2017,"I'm a waiter at a restaurant, so I'm very easy going with service. Me and my mother were stoping in to check it out. We sat outside on the patio which was nice. We sat down for about 5 minutes, still no service. Finally the waiter comes by and says ""I'll be right with you guys."" Another 5 minutes go by, and we don't even have drinks on our table.  By this point we just thought about getting up and leaving. One he comes back we finally put in our drink orders. Another waitress comes by and tries to drop off an appetizer that isn't even ours, twice. After we got our drinks, it took another 15-20 minutes just to order our food. We ordered the spinach and artichoke dip. It had huge chunks or artichoke. Nasty. 2 minutes after our appetizer came out, our food comes out right after. My mother ordered chicken and mash potatoes with rice.  The mash potatoes tasted like something you get out of a box. I ordered the ribs which were delicious which is why the review is not getting a one star.  I don't recommend going here, service is awful.  Once we were about to get up and leave, we noticed 2 other tables haven't been helped yet and also waited just as long as we did. Go spend your money somewhere else other than here."
Angela M.,"Keller, TX",157,90,133,3.0,7/19/2017,"We go to BJs if we can't make up our mind on what we want to eat since they have a big menu.  Their avocado egg rolls are a must and my favorite item in their menu. I do like how BJ's has their own craft beers. Their Porter is my favorite.  The ahi tuna salad is good too but beware of the little dollops of wasabi they put around the plate! I thought it was avocado dressing or something and almost died eating the whole dollop of wasabi haha. This location has decent service. Not great, not terrible, just okay."
Thomas D.,"Tampa, FL",33,3,1,5.0,12/29/2017,We're from Georgia and are visiting family for the holidays. Every restaurant we've been to in the Ft. Worth area has been great but BJ's so far is the best. To top it all off we had the BEST server we've had in years.... Kaylee! Everyone's food was superb.
Somchai I.,"Haltom City, TX",288,461,69,4.0,5/23/2017,"I've generally steered away from Bj's, ive just had so many hit or miss at them so trying new ones isn't something i wanted to do. but glad i did. firstly, this location is in a popular area of alliance so it can be busy, but good thing this time it wasnt and i was seated immediately.  next, their menu is vast, it rivals cheesecake factories what 20 pages? which is just too much, esp since i was hesitant to even go i wasnt sure what to order. I wanted pasta, but last time i had it, i hated it. so i wanted to try something simple a chicken dish. but no that dissapointed me last time. so i got the pork chops this time with the white cheddar mashed pot. and grilled asparagus. it was superb, in fact i ate with 3 other people and i almost didnt want to share it with them. but good food has to be shared! the seasoning simple, and the cook was executed correctly. the mashed potatoes were a good filler along with the asp. my friends order pizza and a salad, the ahi salad was well plated but didnt taste it, my friends pizzas were good looking but very basic, not something id want to order so im glad i didnt get it. I did get a slice of the Bj's favs and its basically a supreme pizza and it just tasted boring. i tried the house Stout, it was different tasting, i did like it but its not one id have to have if i was craving beer so good attempt. again bj's is hit or miss depending on what you order but i was happy with my latest experience so i decided to write."
Shelli S.,"Fort Worth, TX",12,7,,1.0,10/31/2017,"Terrible service.  Sat down and ordered two glasses of water, a bottle of wine and two appetizers. The appetizers came out.. no water, no plates, no silverware. Added a third item.. it came out... still no bottle of wine.  15 minuets later waitress came by and said they couldn't find any of the wine. So I ordered a glass of some thing different. It took another 15 minuets to get that. By then we are almost done with the food.  Waited another 10 plus minuets just to get the bill.  Will never go back!  Bad thing is the place was not even that busy!!"
John Q.,"Fort Worth, TX",12,298,56,5.0,12/13/2016,We've been to several BJ's and this one is as good as the rest of them.  We always sit at the bar and the bar tenders are always excellent.  I love the seasonal beers from BJ's and the food always impresses. We will be back many many more times.
Kyle B.,"Irving, TX",17,87,63,1.0,8/3/2016,This was by far the worst BJs I have ever visited. The severs were all untrained and unpleasant teenagers who clearly do not want to work there. They were dressed sloppy and spent the majority of their time loudly talking with the other kids. The food was so-so and definitely not worth the money they charged for it. The drinks delivered from the bar were watered down. Should've stuck to beer because the bartenders obviously don't care either.  I'd drive the extra few miles to another location if you are craving a pizookie or whatever it's called.
Brian W.,"Cooper, TX",33,250,655,3.0,9/22/2016,"Wait staff was very friendly today at lunch. That is the pro.  The negatives include a long hair in a menu, gummy bottomed pizza, salad with way too much dressing and the chili was just so-so."
Ilsa M.,"Jacksonville, FL",354,283,395,5.0,7/10/2016,"Came here tonight with my close friend to have a girls night dinner.   I've been to BJ's before but I really liked this location. The interior was clean and very accommodating. The hostess sat us right away at a comfortable table.  To drink:  I ordered the Blonde Ale that is brewed at Bjs and it was delicious! So light and had such a wonderful flavor.   To eat: I started with a Caesar salad. It was well made and fresh. For my entree, I ordered a mini deep dish vegetarian pizza. This was the perfect size for one person in my opinion. It was so yummy.   Overall our experience was great! Love this place. Thank you!"
Scotchonthe R.,"Keller, TX",0,10,3,2.0,5/5/2017,The waitress came out picked up her receipt and bill off the ground. Left the mess and went back inside. Stellar Maybe she's feeding the birds
Linn P.,"Fort Worth, TX",255,396,547,4.0,2/21/2016,So I came here again for lunch with some friends. today was a better day. Probably because there were just 3 of us and not a big group. But I enjoyed today's visit.  I ordered the Chicken Balsamic. The chicken was very tender and moist. Pleasant surprise. I am always iffy about ordering chicken because a lot of time it comes out dry. I did ask for more balsamic on the side. It had a light drizzle on the chicken and salad. The mashed potato was very good and tasted delicious with the balsamic glaze on it.  Ordered the triple chocolate pizookie. DELICIOUS!!!!!! SOOOO frickin delicious!!!!  My friends all liked their dishes and all the dishes came out correct. Our server was nice and attentive and came and checked up on us frequently.  I got a strawberry splash which was like a pina colada with strawberry puree in it. It tasted good.  I could come back. Especially for the cookie! =P
Brianna W.,"Arlington, TX",2,12,22,2.0,9/27/2016,"The two stars are for how professional and friendly the staff were. The lack of stars is because of the service I received. I called in a pick up order of dry rub siracha wings/fried hard/all flats ranch/blue cheese and also an order of fries. After coming to the bar and being told my order wasn't placed, he compd the meal and we left to eat. At 10:30 pm starving and having to wait an extra 20 mins I open up my bag and there are no fries, one sauce, and wings were not fried hard. Please Bj's you are the only place close to my apartment, do better."
Kim L.,"Cookeville, TN",11,5,1,4.0,10/10/2017,Love the friendly environment and how it was set up.  I tried the pumpkin ale and enjoyed it.  I ordered the clam chowder in a sourdough bowl and absolutely loved it.  My main course was the New Orleans Jambalaya which I didn't care to much for.  There seemed to be a spice they added that threw it off.  I would definitely return because they had such a wide variety of food to select from.
Cecilia P.,"Fort Worth, TX",222,326,770,3.0,2/7/2016,I've have came here a couple times and tried different dishes. I love they have a wide variety of cocktails and beers. Their known for their pizza but their pizza is nothing amazing to me. The clam chowder is actually pretty good.  The other day I ordered a burger that had guacamole and bacon. Huge burger but again an average burger. Their pizookies is a great finisher. I'll come back here for drinks.
