Username,location,friend_count,review_count,photo_count,rating,date,review
Kellie S.,"San Diego, CA",68,52,15,5.0,12/9/2017,"Excellent food, excellent service and an amazing evening with family. We had Kevin A as our server and he was very attentive and personable. The garlic parm wings were so good and the croutons on the salads are probably my favorite (I know im strange). We enjoyed everything and intend on coming back!!"
Melissa T.,"Alexandria, VA",15,106,84,3.0,1/10/2018,"We went for a friend's birthday in which we had a large group.  We were able to do separate checks.  The food was pretty good considering my dietary needs.  I had the Brussel Sprouts appetizer, Spinach stuffed mushrooms and the Tumeric Caulifower side dish.  These three definitely earned each 3 stars above. However, my husband wasn't pleased with his boneless wings and mozzarella sticks.  We wanted to pack up his leftovers and had asked for a box.  Half hour later, the birthday boy was taking a Blow Job shot and put the whip cream on our leftovers unknowingly. Shade was thrown at the waitress as my husband told the birthday boy not to worry about it since we never got the box, we had asked for a half hour ago.  The waitress stood there watching the birthday boy take the shot and never even got the shade.  I ordered dessert and the hubby just wanted more beer.  Hence our requests weren't even fulfilled an hour later.   This was the first time I never left a tip in my life (just my change of $2) and thank goodness even with our big party, the gratuity wasn't included.  Our server was dim witted and more concerned with the partying going on than serving us.  She had puppy dog eyes for the birthday boy (who was married) and said that he hated her.  Wtf?!  Otherwise, I would come back for the food but the service certainly did not make me want the food that bad unless I order for takeout."
Nicole H.,"Fredericksburg, VA",1,39,23,4.0,12/5/2017,"So, I went with a few friends on a Sunday afternoon/early evening. Ok at 4! We were immediately seated, it was busy, but not overly crowded. Atmosphere was really nice. Busy, but nice. Seemed family friendly. Our server Marky Mark (he says it's on his birth certificate), knew his stuff. He knew the menu front and back. Very, very personable, tons of fun. Needless to say, at the end of the evening he got a good tip. From all of us.  Now for the food. Appetizers: cheese curds (I'd never had them) delicious. Hot. Cheesy. Sweet potato fries. Not a fan on sugar and cinnamon on mine, but my compadre did and before she added it, I was enjoying them. Maybe a little too crunchy but still good. Some kind of flat bread thing with jalapeños and a bunch of veggies I like. Amazing!  For the main dish I got jambalaya. It was spicy, but not quite as much flavor as I would've liked. Either way, still a good dish. My companions had meals that looked equally delicious, but no one was in the sharing mood. Dessert. I had the baked beigne that came with ice cream and whipped cream. Still good. Needless to say, I walked out of there STUFFED! Definitely going again. And again. Aaand again."
Nicole J.,"Fredericksburg, VA",51,105,306,3.0,6/23/2017,The food was ok. My fish and chips tasted like beer and I couldn't eat it but my husband liked it. The burgers were good.  My daughter's friend had the chicken chopped salad minus the chicken because she's vegetarian and loved it.  The hopstorm IPA was a keeper according to my husband. I had the strawberry splash which was a combination of pina colada and strawberry daiquiri. OMG. I could drink that all day. The service was GREAT.
Steve S.,"Parsippany, NJ",562,1173,285,3.0,9/19/2017,"The last time I was down here in Fredericksburg (a few weeks ago) I stopped at BJs...the third one I've tried and I wasn't as happy with this visit as with the other two I've tried before. We were seated fairly quickly, but it took some time before a waitress came to our table...not too long, but it seemed odd. When she came over I ordered one of the BJs beers (I think it was the amber) and my daughter just had some water.   The drinks came quickly and I ordered the BJs Brewhouse Burger and my daughter had the Blonde Fish & Chips.  When the food finally came my medium burger was rare, like cold to the touch in the middle and my daughter's fish were super oily and a bit soggy. The waitress was a bit horrified and resubmitted the order and when they came out the second time both meals were fine. My burger was good, but my fries and my daughter's fish needed some extra seasoning.  We also ordered out Pizzookies which they got perfectly. If you ever come here...save room for dessert as these are great.  I know BJ's can do a little better so I will give them another shot"
D E.,"Fredericksburg, VA",3,34,4,4.0,1/1/2018,Great food. Love that they have ciders and beer on tap. Wish they kept the asparagus appetizer
Jonell G.,"Spotsylvania, VA",18,46,15,2.0,12/31/2017,"This place is brand new, I had high hopes. I went with my daughter on a Sunday afternoon, it was horrible. Poor service, we sat at out table for 15 Minutes before I went and found someone to get our drinks and then it was another 15 before the drinks came. Needless to say ten minutes after that we walked out. Our order was never taken."
Joseph L.,"Fredericksburg, VA",35,128,254,2.0,11/12/2017,Not much to say... it was just ok.  Nothing to get excited about.
Gail G.,"Fredericksburg, VA",0,58,35,3.0,8/14/2017,"This was my first time there. My server Brittany was fast and attentive. Huge menu. It's best not to have so much as it can overwhelm the kitchen but it all looked amazing.   The prices are much higher than I expected however. A small bowl of soup was almost 5 bucks so I passed on that.  They do let you sub sides, for example I ordered fish n chips but got the baked potato vs chips.  The tarter sauce was not good. It was not traditional but more of a horse radish flavor.  So I ordered ranch to dip the fish in but it was a watery sour cream look and flavor.    She said that the beer batter is darker than one may expect but wont mean that it's over cooked but it was a bit over cooked but tasty.  Next time she said I can ask them to cook it lightly.  I used the normal door vs the revolving as I am not a fan of those. I noticed one person here said they got hit by it. My hubby will love all of the super thin crust pizzas when I take him with me next time. It is a bit loud with music and tv's going too but it is in fact more of a bar style place after all. Only due to the high prices, I won't go often but I will come back. Another waitress accidentally dumped a whole glass if ice water on the lap of an elderly lady so that was odd but the customer took it all in stride.  I just left there and ate at about 4:30pm.  I will post some pics next. I do like that the owner or manager cares enough to reply to some of these so that is nice to see."
Lisa A.,"Fredericksburg, VA",0,10,1,2.0,10/23/2017,"Great looking restaurant but very noisy and the food was below average at best.  Portions are extremely small for what you pay.  Calamari appetizer was mainly ""crumbs"" and extremely greasy.  I ordered the chicken and soba noodles in a spicy peanut sauce.  The noodles were grey and lukewarm.  I ordered based on the photo and description from the menu and what I received was nowhere close.  My son ordered a 20.00 deep dish pizza and it was absolutely not worth it.  I've had better deep dish from Little Cesar's.  Best item we had all night was the monkey bread pizookie.  They need to get their act together.  I was expecting a far better experience than what we got."
