Username,location,friend_count,review_count,photo_count,rating,date,review
Ryan P.,"Fresno, CA",100,9,,5.0,1/22/2016,"We stopped for dinner on a Friday night we set at the bar the bartender greeted us with a smile , my wife always gets the shrimp lettuce wrap we were disappointed not to see it on the menu anymore our bartender Tiffany was very helpful she suggested us to get the salmon and qiuona meal which was delicious . Over all ,Food was good . Service was excellent Thanks to Tiffany for being friendly and helpful"
Joshua B.,"Visalia, CA",80,28,41,3.0,4/26/2016,Upon walking in i am always Greeted with a smile. They have amazing homemade soda as well I love the root beer and vanilla creme. But the food quality is okay it's nothing really fantastic. The desserts are good like the pizzookie but other than that I'm not really that impressed with the food.  Only thing I don't like is the restaurant is usually cold(bring a sweater!) and if you go at night you can't really see your menu. It's dark inside. Since the restaurant is so big you can be left sitting for a while got your drinks and food! I would give 4 maybe even 5 stars if it was faster service.
Shelby P.,"Visalia, CA",2,12,5,5.0,6/14/2016,"I am so not seeing what the 2 star reviews are saying. I went to BJ's for my anniversary and it was amazing!! Our server did have a lot of tables and we also ordered drinks at the same time as our food. It took a little longer then expected but we understood with how many tables he did have. Our drinks came and the food  followed right behind him. Everything was so delicious and before they left the table they had me cut into my house sirloin to make sure it was cooked fine which I greatly appreciated, so tack on great service. I was perfect and juicy, one of the best steaks I have ever had! My boyfriend loved his brisket burger and the thin fries are to die for. So reasonably priced! Thank you BJ's for an amazing meal!"
Caitlin C.,"Fresno, CA",191,2,,1.0,11/2/2016,"Terrible service. Went with a party of 12 for a birthday party, we told the waitresses it was our friends birthday, never did they bring a pazookie. They never asked if we wanted any dessert, they just rushed the checks. We had to wait 5 min for silverware to be brought to us, after the food was already brought out. The waitresses never asked how the food was, very poor service."
Mia T.,"Fresno, CA",0,40,6,3.0,3/14/2017,"Open late is a big advantage for them but prices are a Lil high for the food they got. The mini pizookie sampler was good but still pricey. First time there n I think money could be better spent elsewhere, their handcraft sodas were probably only thing worth the price, and the fact they are open later on Wednesdays and Sundays."
Viktoria Lynn L.,"Fresno, CA",83,81,340,3.0,12/2/2015,"We started with the avocado egg rolls (sauce was too sweet for my liking). I ordered the stuffed potato with chicken, broccoli cheese and Alfredo sauce (dry and very bland) it was served with soup or salad so I picked the chicken tortilla soup (only item I cared for, great flavor lots of cumin though) . My husband ordered the jambalaya and it was very good! Not much of a happy hour or lunch special if that's you're thing."
Alan T.,"Fresno, CA",310,103,238,4.0,2/14/2015,"I absolutely  love the shrimp lettuce wraps and the avocado egg rolls are extremely good too. As far as entrees  are concerned Ive tried the cajun pasta and both are really good. They have a great selection of beers on tap, included a  few that are exclusive  to the restaurant. Service is good but can be slow late at night. Im usually  go after 10:00 pm so I can't  speak for any other times of the day. The atmosphere  is cool, dimly lit, the flooring  is bi-level, and theres quite a few televisions throughout  the restaurant. The bathrooms are always clean and parking is usually  pretty  good. Overall, I think its a great place."
Add T.,"Fresno, CA",15,15,8,3.0,2/21/2015,"ORDER : BJ house pizza and the great white pizza with calamari.   Pizza was average. The chicken texture was nothing compared to the fowl itself, disturbing. Something you can buy ingridents at winco and make the same quality pizza which is not from scratch. Calamari was bland and looked unimpressive. Drink lots of beer before you order to lower your standards. Disappointed but it's a chain restaurant. Expected I guess."
Tina V.,"Fresno, CA",77,64,11,2.0,8/31/2016,"First time here and I ordered the pork ribs half rack. It was pricy, $18.99 and it only came with 5-6 pieces and it did not taste good at all. The side that I chose with the ribs was mashed potatoes and that was not good either! It tasted cheesy!! First time having mashed potatoes that tasted like cheese...ewww! I'm giving 2 stars because the only thing good here that I liked was the clam chower. Service was slow, we had to wait a long time for the server to come back to take our orders after we told her we needed a few extra minutes. Few minutes did not mean 15 mins! Anyway I guess she took forever because the place was packed for a Wednesday! Anyway, I would not come back here again unless I want the clam chowder. Service was not good, food was bad, and price was too expensive"
Paul H.,"Burbank, Los Angeles, CA",0,3,1,1.0,11/25/2015,"The hosted has an attitude problem very rude ...  They had a lot space empty for group of 10 people but they put me on waiting for 40 min. When I ask if the could seat on the back where is empty space she tells ""the are all reserve and need it to wait""  guess what after 40 min we end up seating there. As the picture nobody smiles ..."
