Username,location,friend_count,review_count,photo_count,rating,date,review
Violet S.,"Los Angeles, CA",0,4,1,5.0,6/17/2016,"Awesome time thanks to James. Ask for the James-hattan.  Awesome drink, great time, will come back again"
S T.,"Glendale, CA",0,1,,1.0,7/17/2015,Have always loved BJ'S and their food ...so for dinner decided to go to the BJ'S in glendale ...for some reason their service lately has just become so crappy...takes over an hour and a half to get the food only to get it cold ..undercooked and was missing 2 orders.....this place needs new staff...specially cooks and waiters and a manager who can make sure the staff is working. I will never go to this bjs again.
Paul K.,"Los Angeles, CA",4,148,8,3.0,5/20/2016,Giving them an extra star because the manager here was receptive to my problems.  Thank you for reaching out to me.  I appreciate this.
Ninfa Y.,"Los Angeles, CA",0,12,,1.0,7/13/2015,"Never again going back! There was a hair on my food. The waitress never apologize, she barely stop by to see if we were ok. When I complain to the manager, she just snatch the receipt of his hands in front of me and my party. My friends order the pasta, it had no flavor and super watery. Horrible experience"
Mel A.,"Los Angeles, CA",2,20,1,5.0,10/11/2015,I came to eat with my friend and the waitress Tania was amazing with a great energy she knew what exactly we wanted and was very helpful
Andre W.,"Chicago, IL",419,1624,226,4.0,6/11/2012,"This seems to be a chain, but I'm not mad at it though. They make their own beer which I am always a fan of Very sporty with TVs everywhere...good stuff!"
Ferre P.,"Glendale, CA",6,31,,4.0,8/31/2014,"Great and delicious pizzas!  It's like eating a deep dish pizza! Their pizzas are crispy and freshly made! His location is spacious and has many televisions to watch most sports games. Their pizookies are too sweet but addicting. Waiters are always pleasant.  Cons: Just like many popular food chains, this may get busy at certain times of the day such as dinner.  Overall, great place to eat especially with a sporty significant other."
Gordon W.,"Glendale, CA",0,6,,2.0,11/21/2015,"This place is just so consistent in disappointing me. They have ok customer service; however, they serve low quality food.  This location in particular is the problem. I have been to a 5 star BJs and it was great.  One experience in particular was when I ordered the Chicken Alfredo. Everything was fine except the two very stale breadsticks. I kindly asked for some fresh breadsticks, and I kid you not, they brought back two bricks for breadsticks. Sadly, no one on my table had the jaw strength to eat these burnt one week old bread.  I didn't mention anything to my waitress instead laughed at my buddies trying to bit into rock hard bread.  I'll avoid this place as much as possible."
Jaz B.,"Glendale, CA",7,35,7,5.0,9/19/2015,"Last night we went out to Bj with my husband and children. Food was amazing, service was incredible thanx to a young lady name Jacklyn. She made sure all of the orders where perfect and very attentive. I was extremely appreciative of her awesome attitude and her customer service skills. Thank u for making our visit even more awesome."
Jeffrey L.,"Los Angeles, CA",0,22,6,4.0,4/23/2015,"The service that Joe in the Bar gives is the best you'll find out there. He always remembers my drink order and is always quick, courteous, and friendly."
Arin B.,"Glendale, CA",12,13,,5.0,11/15/2015,"I am writing this review specifically for the service I was provided by Katie Earle. Hard work and genuine service needs to be recognized. We left very happy with the service We got, especially at such a busy time! Thank you Katie for the great service."
