Username,location,friend_count,review_count,photo_count,rating,date,review
Bridgett M.,"Henderson, NV",7,14,,4.0,6/27/2012,So I went here again with my kids this time on father's day very busy which was fine ....the bad is my order got lost some how so one hour later I  had to find the host  the manager came over and offer the whole meal free
Stan M.,"Denver, CO",18,301,,4.0,3/6/2010,"BJ's is a really good place.  I went there after a round of golf and had a great meal.  The fish tacos are very good, Good beer (had the Porter) and even better mixed drinks.  The BJ's Rootbeer float drink (Rootbeer, Schnapps, Bailys, Jameson's) is absolutely delicious.  I dare you to just have one, just be sure to have a designated driver!"
Bryan C.,"Las Vegas, NV",44,53,22,4.0,4/30/2012,"One of my favorite places to eat. I have been here many times, ordered many things. But the thing you gotta try more than once is the pizza, so good! They have their own microbrews which they make in house, I really enjoy the Blonde ale the most but the seasonal ones are very good as well. Appetizers are good, so many to choose from but I tend to get these artichoke bites that you can just pop right into your mouth. Come for lunch, it ranges from $6-10."
Dodie K.,"Wahiawa, HI",1,2,,1.0,5/21/2014,"I'm writing this as I wait....we arrived at 10:30pm, got seated by the manager who came from the bar area because hostess was busy talking story.  After 20 minutes at our little booth for 6 people, we were about to leave but a server finally comes to take our drink order. When we mentioned to server that we were about to leave, she apologized and gave an excuse of a server got ""cut"", so she will be starting our drink order. Decided to stay. Another server came 10 minutes after our drinks arrived to take our food order. Finally at 11:30pm, we are eating...yay! Food is good. Our table had a couple burgers, rib eye steak, chicken alfredo, and a salmon salad. Looking around our table, there are no complaints about the food. Server had no name tag, so I had to ask for his name. His name is Eric. There is only around table and another table of people right now, so I don't understand why service is so BAD! So long story, short...food is good but service is HORRIBLE! PEOPLE BEWARE!!!!!"
German C.,"Las Vegas, NV",1,1,,1.0,6/30/2014,I came to watch a world cup game at the bar ... I used to have lunch at Bjs like 4 times a week... I see before during football season audio is way louder... During world cup game i ask 3 times and i barely can hear ... Angela is a manager and she never take care of the situation and to be honest that makes me to not come back at Bjs anymore.... Service and food is great... Manager is poor
Laine G.,"Las Vegas, NV",124,87,59,3.0,3/19/2012,"On a bit of a ""healthy"" food kick these days... so I love that they have an ""Under 575 Calories"" menu.  The Hawaiian Mahi-Mahi was surprisingly tasty.  The stir-fry veggie-pineapple fried rice was yummy and filling.  Sooo... I couldn't help but cheat just a little... but how can you go to BJ's and resist the Avocado Egg Rolls?!  I suppose you could if you didn't like avocados.. but if you're a fan and you haven't tried them, definitely give them a go on your next visit! :)"
Marlyn M.,"Las Vegas, NV",0,5,,2.0,5/13/2014,WE went around 7 pm on a mMonday eve.  All was going well when the food took 45 min. to get to table and it was only egg rolls and hamburger.  The server was ok but never the less the food took forever.  I can usually wait about 25 min but this was outrageous.  Sorry BJ's we won't be back!
claire p.,"Las Vegas, NV",19,46,3,4.0,8/22/2011,"Food is decently priced.  Good atmosphere.  I like to come here for lunch on occasion, their soup combo is fabulous.  Right amount of food for a good price, plus their drinks arnt too shabby!"
Alyssa V.,"Sunrise, Las Vegas, NV",9,30,9,1.0,10/7/2014,"Couldn't wait to try this location for the last several months since we moved over here. We won't be back. Walked into the restaurant around 9 PM (they don't close until midnight) to nobody on stand. After a few minutes, a host grabbed 2 menus & just sat us without saying anything. Our waitress seemed nice, took our order & the food came out about 20 min later. I didn't get the side of ranch I ordered, so I had to flag her down & didn't get it until my fries were cold. We also didn't get any silverware/napkins, so we had to flag her down again & then she brought ONE. She then came back about a minute later (after I took about 2 bites of my meal) & asked if we wanted dessert. I told her that we weren't sure since we just got our food. We didn't see her the rest of the time. Another waitress had to fill up my husbands water after he didn't have anything to drink for his whole meal. The different waitress then asked what we wanted for dessert & she seemed annoyed when I asked for a menu because we didn't know what there was. I'm shocked that the service was this horrible. The summerlin restaurant was PACKED (there was maybe 2-3 tables per waitress/waiter at this henderson one) & our service was way better at Summerlin. We were kind & didn't ask for much, so one star is all I can muster up for a $35 pasta & burger with all we dealt with. One star goes to the food that was actually really good. It's a shame that this is only a few minutes away, but we will go the distance so we don't leave angry again. It's not that hard to just be at least kind of nice & actually service basic needs when that's your job. Not sure what everyone's deal is here...they're all snoody or annoyed & it makes a horrible experience."
Joey P.,"Las Vegas, NV",2,48,,3.0,2/10/2012,"Excruciatingly sloooowwwww service.  I've never witnessed such inefficient serving.  Bring drinks, don't take food order; bring order, but don't bring the meals for the kids because you can't carry everything.  How about just get the kids first, then the rest?  Drop off to go boxes after meal and not the check, too.  Lost 10-15 minutes of time waiting for huge gaps in service. Food was fine, but I as a patron should not have to ask ""could you take my order"" or ""could I have my check"" when clearly I was ready for both at those times.   Our server was either new or just not ready for work that day because she was operating in slow motion compared to her coworkers."
Annie D.,"Boulder City, NV",40,3,2,4.0,3/30/2015,had a chance to go and try the pazooki that iver been hearing about and it was crazy good
