Username,location,friend_count,review_count,photo_count,rating,date,review
Dee T.,"Kaneohe, HI",0,35,8,4.0,2/7/2017,I don't know if we were just hungry or if the food was that good! We had the beer sampler chicken quesadilla deep dish pizza stuffed mushrooms and the asparagus. .  .all of it was delicious!!!! Very clean and friendly service!!!!!  Would definitely go back!!!
Amber C.,"Houston, TX",24,91,10,5.0,6/9/2016,I have NEVER had a bad experience at the place. The service is always GREAT! The food is always DELICIOUS! And there are MANY BEERS ON TAP. I love coming to the place.
jason j.,"Pearland, TX",2,77,10,1.0,8/2/2016,"Came here to meet family for lunch.  Bad service, super long wait. Food was mediocre at best.   1. Sampler platter.  Had a cheese stick that had no cheese in the center.  Just a hull. The chips for the dip were supper greasy.  The wings and eggroll was ok. 2. Ordered a Dr . pepper. It was fine. But the refill came out flat.  Told that I would need to wait on the mix to get changed out.  Switched to sweet tea.  Never got a refill and was never offered one.   3. Fries that came with my meal were overcooked.  Must have had a fryer issue.  Was not given or offered ketchup for them.  Did not see my waiter again, so could not ask. 4. Tried the chicken bacon ranch piadinas was ok, but seemed a bit overcooked. 5. Did not see our waiter much.  Other people brought our food out.  I did not get refills or condiments.  I will not go back.  This was a very poor dinning experience."
Becky P.,"Murfreesboro, TN",0,20,16,4.0,7/29/2016,Love BJ's. Best place for call ahead seating. No have never had one of their steaks and it was awesome.   Treated my friends to the white macadamia pazookie.   They loved it.
Todd W.,"Buda, TX",81,29,,4.0,8/11/2015,"I really like all of the different beers they have to offer here. I had the Hefeweizen and the PM Porter and they were both great. There is a wide variety of options here so it is a good choice  for almost anyone. I think their prices are a little high for the quality of food(~$14 a meal), but I still enjoyed it.  If you like cookies then get the Pizookie. It's delicious! Overall if you like craft beer or are looking for something a step above Chili's, Applebees, and all of the other casual restaurants, then this is the place to go."
Shardool S.,"Houston, TX",56,20,9,2.0,12/19/2015,Dusty counters and ants all over the booth!  I witnessed them seat 3 couples at the same table that had to move because of the ants !  Not coming back to this place
Leslie T.,"Houston, TX",170,588,263,3.0,5/14/2014,"It's your basic Applebee's, Chili's, Ruby Tuesday clone with some specialty brews. My review should just end there. Anyone who knows those places knows there will be burgers and some fancy overpriced salads and some fried apps. And that's what the menu consists of once you get past the hundred pages of specialty drinks in the front of the menu. I had the basic margarita and it was very sour. I think they need to adjust their mix a bit. Margaritas should be limey tart goodness...but not too puckery. I have tried their brews at another location. If you like craft beers these are pretty decent. You know what you like so sit at the bar and ask for a taste. They'll give you a small glass before you order a pint. The little sliders were your basic tiny buns and tiny meat with some really good pickles. The French Dip was a basic Sammy, nothing to write here about. The thing that really made this place feel pedestrian was my salad. They had what looked like a tasty new salad on the menu: Kale and Brussels sprouts.  Here's the outline: Baby kale, herb-roasted brussels sprouts, romaine, blueberries, red grapes, dried cranberries, goat cheese, cucumber, candied pecans, toasted pepitas and red onions tossed in strawberry vinaigrette.  The waitress brought it to me. I love Brussels sprouts and couldn't wait. I dug around in the thing and there were no Brussels sprouts anywhere. I don't remember seeing blueberries or cranberries either. I told her there were missing parts and she took it away. She came back and said she was sorry they were ""out of Brussels sprouts. But they would be happy to make me something else"". Most of my party was halfway done with their meals and I just told her to take it off our bill. She did.  But really? You brought me a specialty salad with Brussels sprouts in the main description on the menu and the kitchen said nothing about not adding them? It wasn't her fault. It was the kitchen managers fault. Kinda like ordering a bacon cheeseburger and having it come out without the bacon and yet they still charge you for the bacon cheeseburger. Not cool. The place is really loud. If you come in with a large party of 5 or 6 and they steer you toward a horseshoe booth ask if they have a table. Hearing across one of those big things is almost impossible."
Pablo H.,"Houston, TX",78,2,1,5.0,8/7/2016,Great food! They literally have everything. I always use there curbside service on days I want to eat good but don't feel like getting off.
Nikki S.,"Houston, TX",5,438,975,3.0,5/31/2016,My most recent visit was disappointing. It took over an hour to get a deep dish pizza and the pizza had next to no toppings. The pizookies made up for it but I hope it was only a one time thing
Twana C.,"Houston, TX",108,81,264,4.0,5/19/2015,"Pizza, Pizza, Pizza and drinks.  Well the service was sketchy could it been that we had just come from  a Color Run and was not appropriately dressed but I have to say it was not under the NO SHOES, NO SHIRT, NO SERVICE sign.   I go here for the pizza and drinks mostly.  Great place to hang out with your favorite people and have a good time.  The other food is good, too.  For the craft beer lovers there is a slue of beers to choose from.  Never heard of most of them try the beer sampler."
Lauren G.,"Houston, TX",386,74,21,4.0,9/26/2015,"I love coming here! The service is so-so and if you come on the weekend, expect a wait. It's also kinda loud on the weekends because it's connected to a country bar/club and the Parking lot can get pretty packed.  They do have a cool app that you can download and earn rewards. And they have the option to call ahead and get put on the waiting list.  My favorite things from here are the wings, the Parmesan crusted chicken, and of course, the double chocolate pizzookie!! Other really yummy menu items include the chicken lettuce wraps and the pizzas. They also have a nice happy hour."
Kenneth J.,"Houston, TX",52,53,41,3.0,5/18/2015,"This place is better than a lot of other similar restaurants/sports bars in the area with the same sort of menu. Clean, usually friendly staff, huge bar with lots of selections, curb-side carry out, and decent food.  I've mostly come here over the years to get pizzas to-go with the Mediterranean being my families favorite.  It's better than your average take out pizza from other fast food chains. I've also come here a few times for things like graduation dinners and overall everyone enjoyed the experience. Just a solid overall place of your looking to grab a quick bite to eat and a beer. They're open pretty late if your looking for a late dinner."
