Username,location,friend_count,review_count,photo_count,rating,date,review
Trini T.,"Irvine, CA",1,20,2,5.0,10/26/2017,"Lunch time at this location is so entertaining. Plus you ca get filled up on the lunch menu items (until 3pm). Dana, the ""short, hairy, bald, fat man"" is a great singer. Oh, he pretty good at taking your orders & bringing out the bread.   I got the Shrimp Fra Diavolo & it was the perfect portion, right amount of spicy, & a whole lotta yum!!!  Definitely recommend coming here during the weekday & lunch time to meet Dana. I guess you could get a bit to eat as well.  ciao!"
Alan C.,"Los Angeles, CA",0,1,,1.0,1/8/2018,"i'm usually the type of person who'll eat his entire meal in misery rather than bother the waiter, but even i had to send this pure salt burger back in fear for my life.  also no apology.  also our drinks weren't good.  also the host lied saying it was happy hour so we paid full price. here's a haiku tho! burger caked in salt i'd rather live in my tub and eat hard-boiled eggs"
Annie N.,"Los Angeles, CA",59,18,6,1.0,1/8/2018,"Came here after seeing a movie. Haven't been to bjs in probably 8 yrs. Upon walking in, the host told us it was happy hour and sat us in the bar. We ordered a margarita, beer, avocado eggrolls, brew house burger, and roasted cauliflower. The margarita was really sweet. The cauliflower was covered in sauce and soggy. Eggrolls were undercooked and salty. The burger was EXTREMELY salty. Sent back the burger and there server took it off the bill. Came back with the check and all the items were FULL PRICE. It wasn't worth dealing with anymore, gave server FULL tip, and left. NEVER. AGAIN."
Natalie G.,"Los Angeles, CA",458,118,87,3.0,12/5/2017,"BJ's has so many great options and their food is absolutely delicious! This review is regarding their takeout option. I ordered large pazooki for my sister's birthday to be picked up.  The order was done on time and the box was warm. When we tried to cut the pazooki and the pazooki was stuck to the foil under it. My friend who works in a restaurant said that she thinks that they forgot to take the foil out and just put it in the box. It was a little embarrassing because we invited friends over the cookie was a bit of a disaster. We had to flip the cookie over so we could tear the foil off of it. Pazookis are GREAT when you eat in the restaurant. The food is usually good, but this particular take out experience was negative."
Mercedes H.,"Fountain Valley, CA",387,101,533,4.0,9/7/2017,"Have been coming here often for their happy hour! I always have a pleasant experience when dining here, from the wonderful service to the delicious food! The workers are always on their A game with their customer service. Probably the reason why I always come back. The food always comes out super fast! FOOD: Avocado Eggrolls- 5/5: OMG I HAVE to order this when dining here! I'm not a super big fan of avocado but this appetizer is soo yummy! And the sauce it comes with it makes it that much better.  Calamari- 4/5: Love how its not calamari rings but the whole body cut into pieces. Also barely has an batter on it. That's how calamari should be! Portobello mushroom burger- 3/5: Ehhh I love portobello mushroom burgers but the way they cut the mushroom was humongous! The actual mushroom was bigger than the patty.. I took a few bites and I wasn't enjoying it so I had to take it out.  They have a good list of items for happy hour!"
Steffanie V.,"Santa Ana, CA",318,119,467,4.0,8/31/2017,"I enjoy coming to BJs for happy hour it's the closest restaurant to home & whenever I need to get my clam chowder craving in this is the place I always end up at .  Love BJs happy hour, appetizers & beer till midnight ? Why not ! I had came back yesterday and it was extremely packed on a Wednesday night. My friends and I were seated right behind the host since there were no more seats where the happy hour section is. I then asked our waitress if they would still honor happy hour since I came with a party of 8 and they did honor it. We got started with the avocado roll and calamari & I had put in my order for beer . I then decided I was really craving for pasta so I had ordered a grilled chicken fettuccine alfredo pasta.  For a party of 8 our food appeared quickly I was very surprised & so glad since I was starting to get hangry haha . I wished the pasta was more cheesier but not gonna lie it was pretty decent and I sure did devour it . My friends had then order desserts so we ended our night with pizzooki! BJs recently started this churro pizzooki which I was really looking forward to but was a bit disappointed because the churro didn't taste good. The churro yesterday night was missing the cinnamon and sugar it was also too soft for a churro, hopefully they fix that can't wait to try it again !  If anyone is wondering happy hour at night time is 10-12 also I'm pretty sure I'll be returning relatively  soon . Can't ever say no to BJs happy hour"
Cathy M.,"Anaheim, CA",280,1133,1081,3.0,7/12/2017,"Came here last night for their Tuesday half off wine special, which is a great deal! Parking here isn't too difficult after 8pm. There's plenty of seating inside, but my friends and I chose bar seating instead of restaurant seating. They had a 3 for $12 Trio which is a preview of their new and healthier items. We thought we might give it a try. Here's what we ordered: Garlic Knots - These were okay, I personally think I make better garlic knots. It was incredibly dry and lacked any amount of garlic. Eat them while they're still hot, otherwise you're stuck with cardboard. Mac & Cheese Couscous - This was the only decent thing out of the entire trio. The texture of the couscous blended well with the cheese. I definitely enjoyed this dish, I also liked that it was extra baked, so the cheese on top was nice and crispy. Sautéed Spinach & Kale - This was tasteless. It was just onions; some tomatoes, spinach and kale tossed into a little bowl and heated up. There was no taste to it; definitely the worst thing we ordered. **Final verdict for the 3 for $12 trio: I wouldn't try the trio again; I think I would much prefer their actual appetizers over this.** French Fries - This came from their normal appetizers. The fries are no longer thin and seasoned. Now they're just steak cut, salted, and deep fried. You need to eat this with ketchup; otherwise it won't taste like anything. Mashed Potatoes - We ordered this to share. My friend was craving mashed potatoes, and this wasn't so bad. I probably wouldn't eat it alone, but would prefer it as a side with my entrée. Pepperoni Deep Dish Pizza -  1/2 off during HH after 10pm. This was pretty good. It came out piping hot, and I liked how the pepperoni was cut into thin strips so it was extra crispy. The pizza was definitely tiny; you can eat an entire one alone if you didn't eat anything else. I would probably get this again during their HH next time because I really enjoyed it. Estancia Cabernet Sauvignon - Generally sold for about $36 a bottle at BJ's, we were able to get it for $18 for their  1/2 off Tuesday deal. Not bad, it was enough for 3 of us to share. I would recommend this Cabernet, it smells amazing and doesn't taste overly bitter like other Cabernets I've had. Overall experience here wasn't the best. The service was extremely slow; we had to flag down our server several times to get him to bring extra condiments or utensils. However, he was very accommodating despite the slow service. The food took about 20 minutes to get to us, so I recommend ordering right when you get the chance. Nonetheless, I probably wouldn't be back unless if it's their wine deal or lunch."
AL B.,"Mission Viejo, CA",0,18,,1.0,1/7/2018,"Dreadful service. We just received our food when they dimmed the lights so much that I couldn't see my dinner. I asked for the lighting level to be raised, or for a candle, or any kind of light. The manager just seemed to find this amusing. He was very unhelpful."
Timothy W.,"Huntington Beach, CA",5,68,25,1.0,7/3/2017,"BJ's is a chain that you can find pretty much anywhere. I've been to several and this particular location several times, but really never have had a great experience with any one.  Their menu is fairly extensive, but that's not necessarily a good thing. Their food, I would describe, as average at best. The consistency is also very poor. At a different location in Nevada, I ordered the same dish several different times. Each time, it was different. Once, the pasta dish, which is supposed to be hot, came out stone cold.  A friend of mine once found glass in his pasta dish at a different BJ's location. But I'll talk about this location.  It's your standard BJ's layout, but it's busy. During peak times, expect to wait 30+ minutes for a table for two.  Our most recent time here, as soon as we sat down and unrolled our utensils, we found both sets to be dirty. Not just a little dirty, but with large pieces of baked-on food. Both mine and my girlfriend's were soiled. We asked for replacement sets and those were also soiled just the same. Disgusting!  We specifically ordered food that didn't need utensils to eat.  The female server, Kayla, repeatedly called me ""hun"" with my girlfriend sitting right across from me. I find that rude and unprofessional.  In the bathrooms, there was no toilet paper or seat covers in the female restrooms.  The beer? I wouldn't bother. If you appreciate good beer, order something from their craft brew menu, not their in-house selections.  My girlfriend ordered sweet potato fries with her sandwich, but was given regular fries and had to send it back.  We will not be coming back to BJ's, not this location or any other."
Tracey N.,"Arcadia, CA",313,103,184,3.0,11/25/2017,"Every time I come here, we usually get a table within 10 minutes.  There is plenty of parking spaces around the restaurant. The service here is quick and friendly.  It's pretty big with indoor and outdoor sittings. The bar area has many big-screen TVs and they usually have sport games on.  However, the food quality here is just mediocre.  Definitely not worth the price they are charging.  They need to put a lot more work into the plate presentation.  This time, I ordered the rib-eye steak with the house salad and mashed potatoes.  The plate came out with a big piece of steak and a scoop of mashed potatoes next to it.  It looked pretty plain! I wish I can say it tastes better than it looks but naa, not really...My friend ordered the fresh Atlantic salmon.  The plate looks yummy but the salmon is greasy with oil. I had the chicken alfredo to-go as well and wasn't so impressed with that either.   It's a nice restaurant but I wish they would improve their food quality because the dishes are so bland."
