Username,location,friend_count,review_count,photo_count,rating,date,review
Wendy C.,"Irvine, CA",46,12,1,5.0,1/6/2018,"We went to BJ's last night and it was awesome. We met the GM Al, who is working on the delivery issues that happen on occasion.  Dinner was great. Sriracha Brussel Sprouts, mini pizza and the new turkey club salad (big chunks of turkey, fresh and moist). We will try delivery again...when we don't feel Like going out. Dining in the bar is a nice evening to talk, relax and have fun."
Brian S.,"Irvine, CA",17,86,,1.0,1/7/2018,Wow. This experience was horrible. They injured me physically.  Tonight I was injured by a busboy so busy and rushed he had a full empty round service tray and this slammed me on my knee and caused severe pain. It was a horrible experience. I made my way to the Seats and asked for ice.  The manager came by and apologized.  The Meal was terrible and they did nothing.  I was shocked how bad it was and they really did not care or do anything other than giving me ice.  I would not recommend This restaurant to anyone.  They should not be dealing with the public.
Don H.,"New York, NY",56,130,36,3.0,1/5/2018,"I don't know...  Sometimes it's hit or miss with BJ's. The last couple of times we were here the pizzas were undercooked; they tasted better when we took them home and put them in the toaster oven, but that's not saying much. The beer samplers used to be a gem - 6 samplers was the # but  now it's reduced to 4 without changing the price. Not cool. The service is a bit chaotic. We'll have anywhere between 3-4 servers. In theory I guess that makes for efficiency but call me ol' fashioned, I like the one on one server so that the tip is well earned.  Lastly, and perhaps the underlying reason for a 3 star. There are numerous times (3x too many) where for whatever reason we could see the frustration on the staff- and I get it, everyone has their day, especially in food/hospitality. But this was between two co-workers... Not sure if it was matre D v busboy or whatever but that was very visible to the public patrons... Meaning it was in front of the hostess podium."
Todd G.,"Saint Petersburg, FL",7,195,8,5.0,12/28/2017,"Came back tonight and BJs is back to the great service that I have always known there. Even ventured away from the usual pizza order to try a couple of items that I have never tried here. ordered the hamburger with fries, it was tasty and especially liked the bun as it tasted super fresh.  also ordered the asian style ribs and the meat was cooked to perfection. I might order a different sauce next time as I prefer more the bbq style taste, but they were good.  Waiter was very attentive and never missed a beat."
Debi R.,"Irvine, CA",299,156,57,4.0,10/8/2017,"My favorite trio: Chocolate Chip, Oreo, Peanut Butter Pizookies. The #1 reason I come here. Service is always good whether you're seated I'm the bar area or the restaurant."
Jane K.,"Tustin, CA",368,189,35,4.0,1/3/2018,BJ's has ok food but its getting four stars because of its pizookie!!! A freshly baked cookie with a dollop of icecream on top. Life can't get any better. I also tried heir buffalo wings which were pretty good and the drinks there are good priced as well. Environment is nice to just chill and have a good time with your friends.
Anna K.,"Irvine, CA",191,92,158,3.0,11/21/2017,"Service was surprisingly awesome but the food was cold and sub-par.  This was the first time I'd been to this location of BJ's but I've been to different locations countless times so I have an expectation of what the food should taste like and needless to say I was quite disappointed by the food. We ordered a pizza, steak, salads, and sliders and EVERYTHING came out room-temperature or cold. The Fries tasted like they'd been made hours ago and just heated up. The pizza tasted old as well.  The only redeeming quality of this location of BJ's was that the servers were super friendly and nice. I'd definitely give this location another shot just on account of the good service... hopefully the kitchen was just having an off night... hopefully."
Organic D.,"Huntington Beach, CA",0,14,30,5.0,1/2/2018,"We can't say enough about our visit to Bj's we had a group of 20 and the service and food were absolutely incredible! Beyond expectations. With such a wide range of options, everyone was happy. The Customer Service was on par. The food topped it all, I had the Mediterranean Pita Tacos and the quinoa it was amazing and refreshing both had so much flavor, I would eat it again. My husband had the Black and Bleu burger, he said it was among the best, the patty was thick and juicy with lots of flavor. The bun was soaked in flavor which added to every bite. Great quality, the Executive Chef David Vasquez came out to greet us and wow does he know how to run a 5 Star kitchen. Incredible taste, timing and variation. We recommend to anyone eating alone or with a party! Come eat some great food!"
Aaron E.,"Orange County, CA",94,1429,2127,2.0,10/14/2017,"Poor taste passed off as gourmet. It is a chain you have been to and you didn't care for it either. Sticky booths, screaming day drinking suburbanites, and fair weather football fans. All of that plus a terrible deep dish. I tried the Buffalo Chicken variety and you are 100% correct, I deserve what I got.  The pie is all dough and no go. Dry and wood-tasting chicken breast chunks are combined with diced celery, red onions with a sloppy drizzle of ranch dressing, buffalo sauce and... well, that is the good part! The bad part is the 3/4 inch of too soft, almost mealy, doughy crust these things have going on. If this is an attempt at Chi-Town pie, BJ needs to actually go to Chicago someday because this is a disgusting attempt at a deep dish.  Bleh.  This pizza stings like a first divorce, or that first Newport... Whichever hurts you more. The second star is for having Stone IPA on draft and Famous Dave's is conveniently located next door. Moonwalk past BJ's."
Gus L.,"Tustin, CA",214,79,55,3.0,10/31/2017,The location is nice and clean. The employees are super nice and attentive to their guests. The venue is very open yet intimate. I do enjoy the layout. I've always liked coming to this location because the bartenders are extremely nice. I highly encourage others to come visit this location.  The music isn't too loud which helps and allows you to keep a conversation. And they have tv sports going on at all times.  James and Lisa the bartenders are just great
Durell B.,"Irvine, CA",392,146,813,4.0,7/5/2017,"This is the other corporate chain spot that I can get down with because they are consistent across the board (which is what chains shoot for, I know) but they have a GOOD consistency; which doesn't always happen with chains. While I have been to other locations, I am happy to report that this one is the closet for me and probably the best.  The last time I was here was (7/2/17) with fellow Yelper Candice K and we had a good ole time.  We sat in the bar area left hand corner, which had a great view of multiple TVs. Candice wanted to check out the Angels game and it was on the big screen. The staff is very accommodating with the TVs (I assume as long as they have the channels and no other guests care too much). On this particular day our server was Bianca and she took great care of us. Initially we were catching up and talking for a while but that didn't stop her from checking in on us frequently which is much appreciated.  We finally were ready to order and we decided to go with: *App* Root Beer Glazed Wings --- I ordered them extra crispy and they came out very nice, crunchy but full of that sticky flavor glaze. Cooked thoroughly, so there are no complaints here. I would order again.  *Entrees* Full Rack Of Ribs --- Good glaze. Meaty and not too dry. I was kind of surprised because you never know if they will be too dry but I would order these again.  Rib Eye --- A very nice slab of meat. Cooked medium. Good flavor. Juicy *Sides* Green Beans --- Tender. Juicy. Not much to say. Overall good. Asparagus --- Seasoned well with the right amount of crunch.  *Drinks* House Blonde --- Cold and good tasting. *Dessert* Pizookie Trio --- Monkey Bread. White Chocolate. Peanut Butter. The PB was the definite hit out of the 3 for us with WC coming in second. MB was ok but may have been a little too sweet and not as soft, but it was ok.  I believe this is all we had and the experience was overall good. We were also able to take advantage of a BOGO entree which wasn't a bad deal at all. And our server was cool about it. I say that because I've been to places where you would present a coupon and sometimes the server would seem like they had an attitude with it or something. My thing is, if they weren't meant to be used then the company wouldn't have made them. And with that being said, make sure you tip appropriately; especially when you're getting a deal. A lot of servers work hard and coupons shouldn't cut into their bottom line.  All in all a good day and a good job from Bianca. I will be back. Cheers, Beautiful People!!!!"
Tara L.,"Seattle, WA",212,344,708,4.0,6/12/2017,"I've been going to this location since I was in high school, so almost 10 years now! Overall, I have always had excellent service and great food. I've tried everything from pastas, burgers, salads, and tons of their appetizers. The main food items I would recommend here are their: avocado egg rolls, deep dish pizzas, and of course, the pizookies.  On this particular trip, I went for a healthier option and was not disappointed. The meal itself was the perfect amount of food and tasty. I ordered their Peruvian Quinoa with Shrimp bowl. The shrimp tasted pretty fresh and the meal itself wasn't as bland as you might think for a healthy meal. I would get this dish again and I definitely intend on returning here."
Michelle S.,"Irvine, CA",6,6,12,4.0,12/23/2017,Foods always wonderful here. :)  The beer flights are enjoyable. Happy hour during the week.
Jessica N.,"Garden Grove, CA",94,310,852,4.0,6/10/2017,"Staff was great and super attentive. Parking was great too for a weekday lunch. BJs is known for their pizzas and pizookie desserts, so I totally recommend those, but not really anything else except their root beer. I got the unlimited soup and salad and it was honestly disappointing. The soups tasted like they were from a can, especially the clam chowder and chicken tortilla. The chicken tortilla was a disgrace by the way. It was thick and way too salty. Chicken tortilla soup should be clear and light. The salads were kinda unhealthy. Definitely ask for dressing on the side because they liked to drown their salads. I got the wedge which was covered in ranch and bacon  No thanks. The tomato salad was whatever. House salad was the only decent one because it was pretty much a normal salad with romaine, spring greens, carrots, etc. But hey, it's unlimited, so I brought some home. I like their normal cookie pizookies, so I decided to try the monkey bread version. Unless you like dense and thick chewy bread, this is your thing. I like my monkey bread fluff and light, so this was disappointing. Ice cream was delivered though, especially the chocolate Ghirardelli. Anyway, still had a good time and will definitely come again and get a pizza."
Sandra L.,"Irvine, CA",1,24,13,5.0,12/14/2017,"Hadn't been here for awhile but had an amazing experience for our company's Christmas party.  The food was great!  I had forgotten how extensive the menu was.   I had the holiday pork chop which was delicious and huge, and also enjoyed many of their appetizers...loved the Brussels sprouts.  We were seated on the patio and it was perfect weather for it.  The atmosphere was fun and the service excellent.   The general manager Al, even came to check up on our party several times and helped us take photos.   Of course the pizookies are always a hit, I didn't know they came in personal sizes so you don't have to feel like you're really destroying your diet to indulge.  Great food and menu, fun atmosphere, and awesome service all add up to a great place for a party!"
Ashley P.,"Seal Beach, CA",54,8,16,5.0,12/14/2017,"I recently attended my work Christmas party at BJ's.  We ordered several appetizers, main courses and for desserts pizookies.   From the moment we arrived all of the staff was very friendly. We didn't have to wait long to be seated. Our server was very prompt with our drink orders and the refills just kept coming even before I was at the half way mark there was another one waiting for me!  I never had to ask like I do at most restaurants. Our appetizers arrived and they were so good.  I highly recommend the cheese curds and the potato skins.  I ordered the prime rib special which was huge! Two people could have shared it so I had left overs for lunch the next day. My dinner also came with the pizookies, I choose chocolate chip. Even though I was stuffed from dinner I hate 2/3 of it by myself. The only regret I have about the pizookies is that I had never had one until that day!  The whole experience at BJ's was awesome. They really made our Christmas party a great one. The manager Al even came over to greet us and took a group picture for us to remember our Christmas Party!  Thanks BJ's! I will definitely be seeing you guys again, especially for that Pizookie!"
Randy L.,"Irvine, CA",144,224,326,5.0,5/27/2017,"DEEEEEEP Dish Pizza with EVERYTHING on it is simply delicious and awesome.  You will take some home.  Food at BJ's is always great.  Have not had a bad meal or poor service YET.  Great for a date; lunch or dinner meal time; groups large and small; business or causal dining.  For groups, make sure to make a reservation FIRST, or you will be waiting a long time, but they always try to accommodate the drop in groups. Food and service 5-Star, HANDS DOWN!"
Sunny S.,"Irvine, CA",28,92,302,3.0,8/16/2017,"Overall good experience could've been a 4 star but will stick with 3 for now.  -Service was somewhat decent. It's hard to judge when you have multiple people serving you.  -Food quality was very good; the only comment I have is on the pizza; please put enough toppings specially when you're charging extra for jalapeños etc.  Oh also, check your receipt before you pay as I discovered I was charged for an extra appetizer and when I brought it to my server attention her comment to me was ""I'm glad you caught it""."
Trevor O.,"La Mesa, CA",39,6,,3.0,12/30/2017,"I order takeout from here a couple times a year. Always order the same thing...Large buffalo chicken pizza. SOMETIMES it's my favorite junk food, and other times it's soooo disappointing. They are vv inconsistent ‍"
Jessamine A.,"Tustin, CA",11,318,328,4.0,8/26/2017,"The family and I came here on a Monday for the ""half price pizza"" deal. A large pizza plus potato skins was definitely more than enough.  The leftovers were lunch for the hubby for a couple days after that. All for under $30.00!  You can't go wrong with that to feed a family of four.  Unfortunately the pizza and potato skins were too good we ate so much that we didn't even have room for a pizookie. I know, I know...I'm a bad mother! Shame on me.  LOL!  The potato skins were quartered pieces fried crispy then baked/broiled with the toppings of cheese, bacon and chives.  Served with sour cream and ranch dressing and just the right amount of pieces to feed us all.  We love their new wireless/remote service the servers have for placing our orders to the kitchen. It sure speeds up the drink and food delivery to the table. Did you know you can also pay your bill via the BJ's mobile app? Pretty technology savvy!"
J H.,"Palm Desert, CA",0,15,2,4.0,12/29/2017,"Wonderful experience! We frequent this location, and our last visit was great! Quickly seated, great and timely service, and the food was delicious.  Our waitress was so kind. We will continue to come here when that pizookie craving hits!"
Bruce A.,"Corona, CA",22,51,26,4.0,11/17/2017,"Mini Sweet Pig Pizza is my favorite. Couple that with a wedge salad, and some appetizers = I'm quite full. No room for a Pazooki today."
Thomas V.,"Irvine, CA",841,106,307,3.0,1/11/2017,"I really do enjoy their food, but it can be hit or miss at times. But that seems like a common theme among most chain restaurants. However, the food I generally get at this BJ's is usually well made.  This particular BJ's is situated at the Tustin Marketplace among a variety of different restaurants. It is located on the corner of Jamboree and Irvine Blvd. Parking can be an issue at times since the area is packed with many different shops and restaurants, but I usually am able to find parking without too much trouble. This BJ's is pretty large and there is a waiting area for those waiting to pick up food or waiting to be seated. The inside is usually pretty clean and the tables are well kept.  The food is the same food you would find at any BJ's, so I'll talk more about the execution. I've had the sirloin steak at several different BJ's and have never been disappointed by the quality of the steak at this location. I've also had several other dishes and have usually not been disappointed. The service at this BJ's is also usually very good, all of the staff and friendly and helpful. Overall, this BJ's is a solid choice if you're looking for some good quality chain restaurant food."
