Username,location,friend_count,review_count,photo_count,rating,date,review
Sam W.,"Apopka, FL",342,7,,5.0,5/21/2017,"The food and drinks are amazing here. It was my first time and I'll definitely be back. If you are lucly, ask for Anthawn because his service exceeds expectations."
Crystal M.,"The Woodlands, TX",31,2,,1.0,5/6/2017,Was told they could not accommodate my family. We flew in from Texas for my father's military retirement ceremony and wanted to grab a nice dinner. There was 13 of us and I called way ahead to be told they did not have enough servers to accommodate us....at any time that evening.
Maya C.,"Jacksonville, FL",207,524,2099,4.0,11/30/2014,"This is the first time I've been to BJ's and I heard mixed reviews about it. Since it was such a beautiful day we decided to sit outside.  In no time, our server came and we ordered drinks. My mother got a Raspberry Lemonade and I got a Berry Burst Cider. I love trying different kinds of ciders and this one got my attention because I hadn't had a cider made from raspberries, blackberries and other wild berries. It was refreshing. Mom always enjoys her lemonade. We ordered the Spinach and Arichoke dip, which seems to be the go-to appetizer for us. There was clearly more chips than dip which I think is a total waste but it is what it is. The dip was ok, nice big chunks or artichoke pieces in it.  For our entrees, I got the Barbeque Bison Burger and had the option of a House, Caesar, or Mozzarella Tomato salsa. I chose the last one. My mother ordered the Black and Bleu House Burger. Our entrees were taking a long time and our server was so proactive about it. He notified us that there was a party of 20 ahead of us and ours would be coming out after that our was done. When he brought my salad he also chased and swatted a bee away from our table? So brave hahaha. The mozzarella and tomato salad was very good. I love how the cheese was shaped into little balls. Cute. A few minutes later our burgers came out. Both looked delicious. Mom's burger came with bacon which she didn't like. She gave it to me which I happily ate. Her burger only came well done and she's used to having it medium-well, but she ate it and said it was good. My burger was good as well but not as good as Ted's bison burgers.  If we're back in the area, we'll definitely consider stopping by BJ's. Kudos to the server willing to take a bee sting for us!"
Marie F.,"Lantana, FL",227,903,3383,3.0,9/14/2015,"I'm somehow 3 hours early to pick someone up at the airport. (Wrote 11a - should have been 1p). Decided to grab lunch since I skipped dinner and was in the area. I'm place a drink order and then completely forgotten. I'm seating almost 30 minutes writing away in my journal without a soul approaching. If my pen hadn't ran out of ink I might have never know.  I skip out of here now starving and decide to grab some quick bites that I stash to watch a movie. (I'm truthful lol.)Leaving the airport, my guest discusses his horrible flight that had him going over 8hrs across 3 times zones with a 15 minute rushed layover because of late plane. He was hungry and ready for a drink. I thought we might as well try this place again since I'm rarely in the area.  After dumping some layers of clothes, he decides to eat outside. He gets something from the tap. I grab water with lemon and wait to see if this will be a repeat of non existent service from earlier. It wasn't. Avocado Egg Rolls and Stuffed Mushrooms were awesome. He had Jalapeño Burger with bacon and said it was pretty sweet. I was too stuffed for dessert and he rather try craft. He enjoyed both his meal and drink. And we both enjoyed the service.  That's strange. When it was empty I was completely looked over? When it was busy and I have company - great service, quick and good food. But I couldn't help to notice while we chatted away and picked over our food that many annoyed faces from other tables that were probably annoyed by their servers and/or have terrible wait. Maybe this was a bad day?"
Paul M.,"Jacksonville, FL",14,20,,3.0,2/17/2017,Nice place to visit every few months. On the pricey side. It does have a good variety of dishes. It does get full on the weekends. Alcochol is also on the pricey side. Not good for your wallet buy does have decent food.
John R.,"Jacksonville, FL",0,2,,5.0,9/19/2016,Excellent food and service was exceptional. Will certainly  be back! Recommend the French dip sandwich very tender and cooked to pefection. The staff was friendly and prompt!
David G.,"Springdale, AR",59,169,180,5.0,10/23/2016,How dare this only be 3 star overall. Sat at bar and staff was amazing. Ordered the root beer ribs and a flatbread pizza...it was happy hour and they were all half price so I walked out of there with a check so low I had to double take. The flatbread pepperoni was good....BUT...if you don't order the root beer ribs appetizer and claim to be a ribs connoisseur...you need to take a step back...they are epic...nice crowd..great food...a zillion brews...a must stop imho.
David O.,"Jacksonville, FL",0,6,,1.0,7/25/2016,"I was stunned to go in to take advantage of the very frequently advertised 1/2 off large pizza day (Mondays) and be served the driest deep dish pizza ever made.  I would rate this up there with a Dominos Meat pizza with absolutely no sauce whatsoever, and at a premium cost.  Unfortunately I brought this to friends and now I feel so bad, I'm thinking about buying them a pizza from another restaurant to make up for our horrible meal. Unfortunately, I'm not close enough for the restaurant to offer me another shot at a pizza, but George the manager promised to take a better look at quality control. Odd thing is:  I've been to BJs in Tallahassee and brought pizza back from there to Jacksonville on more than one occasion and its always been delicious.  Bad timing, bad night, bad cook I guess.  Check your food out before leaving!"
Samuel C.,"Jacksonville, FL",32,49,12,3.0,6/19/2016,"Terrible steak, I asked for a medium rare, first they gave me a well done steak then the second attempt was a medium. It was close enough but still tasted okay. If you're looking for a steak dinner don't come here.  Service after 10 pm is also okay, they gave me a side salad, and I had to wait for utensils to eat with."
Ellen C.,"Oakland, CA",148,710,23,4.0,10/24/2015,"There are plenty of dining options in the area, especially if you're looking for a chain. BJ's is considered a chain too since it started in CA but it's one of the better ones. I would put it in the camp of Cheesecake Factory or California Pizza Kitchen. The food is always good and they have a wide variety of drinks if you're looking to try some new beers/ciders/wines. They're reasonably priced for the food and their HH is pretty good - half off appetizers and mini pizzas.  I ordered the balsamic chicken with cheddar mashed potatoes and got a pear cider to pair with it. Both were delicious! The balsamic chicken was a bit on the sweet side and the chicken could've been moister but all in all it was delicious when you ate all the components on the plate together. It also came with a small frisee salad which helped tone down the indulgent feel of the meal. What made the dish on the sweeter side was the balsamic glaze which was super sweet, but the savoriness of the chicken and mashed potatoes really helped it balance out. The pear cider was also pretty tasty and we were able to sit outside on the patio, watch some baseball, and enjoy some FL sun. I would definitely say that if I'm in the area again I'd come back for a reliable meal! It's nice to have somewhere you can count on for consistently good food and friendly, happy staff."
