Username,location,friend_count,review_count,photo_count,rating,date,review
Ash Z.,"Mission Viejo, CA",125,246,108,3.0,10/5/2015,This location always seems to be busy on Sundays. We didn't have to wait too long for our table tho. We got a few apps and meals and ended with a pizookie. I ordered the BJs favorite pizza and it was OK. My all time go to is always the tortilla soup!  They do have a deal running for two salads or soup and a medium pizza and dessert for 25.
Scott B.,"Ladera Ranch, CA",1,17,4,1.0,1/14/2017,"This place. Wow. What a mess. Horrible. Examples: the chips that came with at luke-warm spinach artichoke dip were undercooked, greasy and nasty. The service took is over two hours for pizza. Two hours! The fastest thing they did was take our money. Even their ""famous"" Pazookie dessert was clearly sitting somewhere getting cold enough for the ice cream not to melt. And the cookies tasted old, almost having that stale flavor. How do you mess up the two things that your most known for? They did. The issues we saw from front of the house to service to food quality are a reflection of poor management. All this was us giving this dump a second chance after a similar experience the last time. We will not be back especially when we have choices like Selmas right around the corner."
Mahesh S.,"Irvine, CA",807,382,260,4.0,4/6/2016,"Say what you want, but it doesnt take that much to impress me. If your staff is honest and smiling, and food is good, and drinks are cold, I am sold! This place always has the best service. Never once Have i run into a staff with attitude. Everyone is super cheerful, helpful, and nice. on Tuesdays, its half of wine nights. My friends and I usually go for their champagne splits! so its champagne tuesday thanks to BJs! after 10 the happy hour has half off deep dish pizzas. if you are nice and talk to the staff, they will help switch that to a flat bread pizza and get the same happy hour price! Salina works at this location, and she is like the bestttttttt! We love her! she is so prompt, and makes sure to check on enough times, but still make you feel like you have your own time there!  I also like their brunch menu on weekends. the egg white omlete with fruits is my favorite!! if you want to goto BJs goto this one, even if you live across from Irvine Market place. that bJs is the worst!."
Jenifer O.,"Temecula, CA",10,9,1,5.0,1/12/2017,"Great experiance. The Baked Ziti was absolutely my favorite. Fast, friendly and very accommodating to my coworkers VERY specific requests. Our waitress Tanya (I think that was her name) was such a delight."
Jett P.,"San Diego, CA",0,11,,4.0,2/20/2017,"I was quite satisfied with this BJ's location. I have been to many before, and my only complaint for this location is the time waiting for the food. It took quite a while for our food to come out. Like always, the ambiance is very nice. Our waiter, Lubna was also very helpful, and kind. She fulfilled all of our needs, and did it with a great attitude. I am always impressed with the service in the BJ's chain. The food tasted great, but again it took a while for it to come out. Overall, the experience was great! 4 star review."
Kevin J.,"Dana Point, CA",2,120,92,4.0,11/18/2015,"Came her for Veteran's Day, have never been here prior to.  There was a long line of course, but they were kind enough and thoughtful enough to bring out pizza for the waiting parties. To think about the people outside waiting and giving them a sample of food is not only going beyond regular service, but it also makes for a more pleasant experience for customers and servers.   Meal Chicken Club Sandwich, delicious seasoned very well, not over cooked and a pleasant meal.  Wish we had ordered the pizza as this is what they are known for.  Crispy Jalapeno Burger, cooked medium well, loved the battered jalapenos on the burger, it was a memorable hamburger. A lot of restaurants who offer meals to veterans tend to get the business back because as veterans we appreciate the fact that they are honoring us, and it give the establishment a chance to display their fares.  The service and the food was both excellent, we definitely will be back."
Alvin T.,"Laguna Niguel, CA",0,58,27,4.0,1/23/2017,Great place to eat. Good vibe but the Lighting is a little too dark. Food was great defiantly will go back!
Andrea S.,"Aliso Viejo, CA",0,2,,1.0,8/1/2017,"I was at the restaurant on July 27, 2017 with my daughter and a friend and we sat on the patio. It filled up quickly and I had my back to what was going on behind me.  A very careless, thoughtless young female tried to carry a wooden high chair between the tables and there wasn't enough room and she hit me in the shoulder very hard. I got a very insincere ""I'm sorry, the chair was too heavy for me!"" Needless to say she used very poor judgement and furthermore lied to her manager EVAN. I told him about the incident as I left and he said he didn't know who had done it when she walked up. She said she only scratched my arm! That was an outright lie and he said he would take her aside and talk to her. She showed no remorse, like it was the highchairs' fault for banging into me!!! Then EVAN put ME on the spot by asking what could he do to make things better. Very poor customer service and resolution all the way around."
Jenny W.,"Canyon Lake, CA",0,6,9,1.0,1/1/2017,"If there was the ability to give a zero I would. We made reservations for 7pm when we arrived they had not recollection of our reservations. So we we're told to wait and we would get the next table. We waited and after about 15 minutes we checked back in and we were told only 10 more minutes and we would be seating, that our table was being cleaned. It took till 730 to be seated for a table of 7 when we only had 4 people!! When we talked to the manager he dismissed our wait time and told us ""your table is ready right now"". It took 30 minutes to find us a table as other guests are being seated, with no regard of concern from the manager.  Once we were seated it took 10 mins for the waited to come and take our drink orders. It ruined my family's New Years, the customer service was terrible, didn't even get an apology which would of went a long way. I get that it was crowded, but it doesn't take a lot to have some concern."
Dusty D.,"Mission Viejo, CA",0,2,,1.0,1/17/2017,"Last Friday, January 13 my wife slipped and fell to the ground hitting her head on the floor and breaking her finger nail at BJ restaurant in Laguna Hills.  Floor was very slippery and the several hostesses who witnessed the incident never gave any assistance or even asking her if she was alright, they were just watching.  There was no manager around as well. It was the worst experience we have had in a long time.  The fact that the hostesses were careless is what makes this restaurant the worst experience."
