Username,location,friend_count,review_count,photo_count,rating,date,review
Elden F.,"Jeffersonville, IN",6,8,,4.0,8/22/2015,"We've been here once before, but at the Ohio location. This was our first experience at the Louisville location. When we walked in, the hostess asked us how many, and we told her two. She then directed us to stand by a sign about five feet away while she collected the menus. I thought that was odd and felt more like a child lining up for recess instead of waiting for someone to take me to my table. The server got our drink order pretty quickly but then took awhile to come back to the table to take our order. When she finally did, she promptly put it in the computer. Our food came out quickly and everything was right. The only problem was the our server didn't check on us until we were almost done. We needed some napkins and water and it would have been nice if she was more attentive. The food was excellent. My wife got the Mediterranean Chicken Tacos and I got the Pesto Chicken Sandwich. We will go back because the food was good, but the service was not something to brag about."
Matt M.,"Pikeville, KY",0,6,2,4.0,4/25/2015,"Broad array of choices on the menu.  This is a must if you are hungry at the Oxmor Mall.  Food is good and very kid friendly menu.  We've eaten several times.  Typically don't make a trip but if in area, yes!"
Colin C.,"Louisville, KY",0,13,,4.0,2/20/2015,"BJ's has never been the first restaurant that jumps to mind in a restaurant packed section of Shelbyville Road, but I'm never disappointed when I eat here. The menu is expansive, much like a Cheesecake Factory type menu, and the price per plate is under $12 (generally) which is nice. The parmesan crusted chicken with mashed potatoes is by far my favorite dish. Very filling and a great combination of flavors with the chicken, lemon, and broccoli. I've also tried the Barbeque Bison burger on their enLIGHTened menu and it actually gave the parmesan crusted chicken a run for its money. Long story short, the food is varied and generally very good. They also brew their own beer and I have never heard any complaints about any of them. I prefer the Hefe and Oasis Amber. Lots of TVs and a casual atmosphere."
Andy T.,"Fort Knox, KY",50,4,1,1.0,2/2/2014,"Place is nice, food is awesome... But service sucked.. We made reservations for 830pm got there 10 min early and still had to wait 25min..the table we had wasn't even cleaneappetizer swaitress took forever to get our order and the appatizer were half cold n chewy for chips.. I wouldnt go back anytime soon.."
Chip D.,"Louisville, KY",85,3,,2.0,3/2/2015,"The food was just ok...nothing special.  The service was extremely slow and our waitress was not very attentive.  Granted, the place was packed the entire time I was there.  I don't feel the need to go back any time soon."
Stephanie S.,"Louisville, KY",36,30,16,5.0,12/11/2014,"I sit here trying to think of any negative comments to say and I cannot think of any! I've gone here on many girls nights and date nights and we have never experienced a problem. Staff and food is always good. Well one tip I could give, sit at the bar table area for happy hour or else you don't get the special. I would also recommend the avocado rolls."
Mark B.,"Louisville, KY",2,14,6,4.0,1/14/2015,I got take out the other day and was really surprised by how great and fresh their fish tacos where! i will definitely be going back for more soon!
Sam M.,"Westminster, MD",0,5,1,2.0,2/15/2014,"Why does it take 45 minutes for a four person table with no one waiting?? Then when ordering , everyone else gets beverages, but two people at my table.  Why are Louisville restaurants on a such a poor service kick?"
Nora L.,"New York, NY",56,111,19,3.0,8/24/2013,"Decent chain restaurant but nothing special.  I've tried the thai chicken mango salad (though at a different BJs) and the avocado egg rolls (recommend!). The salad comes in a big portion with a good amount of chicken, though not much mango. I've also tried a mojito here as well.. it was okay.  The service wasn't the best. Our server gave us all our checks even though some people weren't halfway through their food yet.  I'd recommend for drinks since there is a nice beer selection, along with happy hours.. but overall, just feels like a typical chain restaurant."
James G.,"Centerville, OH",29,183,,5.0,6/9/2013,"If you come through the entrance from inside the mall, you're led through a long hallway that makes you think twice about eating here.  But then you turn the corner and you realize the main entrance is off the street, and the place is really nice.  As in fancy.  Prices to match.  But damn, the food and the beer are both awesome, and the service was exceptional too.  Wife got a little too excited for her French Dip sandwich, saying it was the best she's ever had.  Kid's chicken fingers were good too, and my Jalapeno Burger was spot-on.  The amber summer beer was smooth and so was the Blonde.  If you're looking for something a little more upscale, this is definitely a great place."
