Username,location,friend_count,review_count,photo_count,rating,date,review
Barb F.,"Melbourne, FL",453,105,8,4.0,7/11/2017,"I""d give the food 3 stars... not terrible but, similar to things you'd find at a chain restaurant. I ordered a flat bread and a salad and it was decent. I gave them an extra star because our waiter, Brent was GREAT! He was fun, friendly and made sure we had everything we needed.  I will go back because it is good for groups and really affordable."
Da Q.,"Brooklyn, NY",42,32,51,4.0,12/26/2017,This place is super awesome... From the food menu to the waiters / waitresses to the drink menu's with a completely full bar. I'm very impressed with the taste and quality of the food and staff... This place has a great vibe. I highly recommend and I'm very hard to please.
Daniel H.,"Pinellas Park, FL",0,11,11,4.0,10/15/2017,Good food but a little upscale. Many varieties of draft beer. Our server was attentive but did not describe some food items adequately
Aracely M.,"Colorado Springs, CO",1,20,27,1.0,8/28/2017,"Disappointing! Was looking forward to enjoying a burger w/ fries and waitress, although very sweet, forgot the fries/utensils. Burger buns were cold, no barbecue sauce on burger & cole slaw? Are you serious? It was very brown & very dry. I truly have never felt so disgusted after leaving what's supposed to be a really, nice, classy restaurant with great food. I feel like just making myself throw up! Will definately be sending the pictures I took and send to corporate!"
Manny C.,"Casselberry, FL",230,43,62,5.0,11/22/2017,Amazing service and fantastic food! Came here for BJ brews on Wednesday for $4 amazing. I recommend the BJs Hefeweizen which is smooth and light. I had the spicy peanut chicken and soba Noodles. It was amazing. I forgot to take a picture because it was so delicious but I highly recommended. Ask for Brittany when you come here. Outstanding waitress. Definitely a must if you're in town.
Barbara M.,"Melbourne, FL",0,14,16,5.0,11/10/2017,"First time there for the veterans meal and one free beer. You have to go to their website and they send a code for the free beer. My husband really liked getting a free beer. They also don't limit what you can order like most places. You get $12.95 off you meal. Hubby had a hamburger and fries, so mush he couldn't finish. I had the Jambalaya was nice and spicy. Rather than wait for a table we sat down at the bar. The service was just as good and no waiting for a table. This is one place we will be glad to return to ."
Meg B.,"Melbourne, FL",0,7,,4.0,11/1/2017,"My boyfriend and I love coming here to enjoy a nice meal every once in a while. It's a bit pricey for some certain dishes, example: the spaghetti and meatballs is almost the same price as a sirloin steak, but that's a very minor complaint. The staff is very accommodating and we never run into any problems with this place. So many different menu options to choose from and everything is delicious!"
Jen W.,"Melbourne, FL",80,25,22,4.0,1/16/2017,"We have enjoyed this restaurant since it opened. Their food is always good and worth a bit of a slow wait staff. Their app and rewards program is handy. You can put your name on the wait list right from your phone.  I must give one down side. The entree quality does seem to be slipping. I had the ahi tuna salad tonight and the amount of tuna was about half of the first salad I had when they opened. The salad was great, but a little disappointing. We have noticed this with other entrees.  They do have good desserts meant for sharing. So whether a night with friends or dessert with the kids, this is a good experience."
Marcello S.,"Palm Bay, FL",12,5,4,5.0,6/16/2017,This is a great place to have pizza. We love the atmosphere. Service is always great. Ask for Che.
Michael M.,"Orlando, FL",260,1027,1636,3.0,4/17/2016,"I arrived with a group of eight and I was told it would only take 10 minutes to get a table for a late lunch. The place was busy but not packed. 30 minutes later we were seated. Our server was very friendly and helpful with the menu. I am notba fan of their beer so ordered a cocktail and it was delivered in a reasonable amount of time. I wanted to sample a few apps so I ordered the calamari, root beer ribs, and a wedge salad. The food took forever!!!  The calamari was very good but the mayo base dipping sauce was a total fail. The root beer ribs were off the hook delicious and I really should have made a double order. The wedge salad was good but could have used just a drizzle of balsamic. A good experience but there is room for improvement."
