Username,location,friend_count,review_count,photo_count,rating,date,review
Matthew O.,"Bryce, UT",30,265,11,3.0,12/3/2012,"This is the second BJ's Brewhouse I have been to.  I don't think it has been open very long and it kind of shows.  The wait staff and servers all seem a little green. The concept is good though, they take the best ideas from pizza hut and the Cheesecake Factory and add beer.  I think this location will get better after a little time passes and the staff finds their groove."
Rafael C.,"Celebration, FL",11,36,4,3.0,3/22/2013,"I guess I had higher expectations, but food was just OK.  service reeeaaally slow.  There are better places for bar food than this.  Noise level really high also."
Daniel C.,"Miami, FL",402,13,2,3.0,1/13/2013,"Really noisy, but pretty damn good food, (and beer).  Sitting outside is the way to go."
Dorian W.,"Providence, RI",8,22,4,4.0,3/11/2013,"Great ambiance and TVs everywhere. Didn't get to try much of the food or drinks because i was in recovery mode but from what my company said, food was really good"
Max T.,"Miami, FL",25,144,20,3.0,11/19/2012,"I went the first week they opened. The burgers came out cooked perfectly; service was Hit and miss in my two visits. The crafted beer tasted good, but needs to be served much colder. This is not England, serve the darn thing just shy of freezing. The food was good, they had about 100 waiters in training, so I will cut them some slack. Plenty of TVs; the prices were similar to TGIF, so it should bankrupt the TGIF located ten steps away."
Green L.,"Homestead, FL",1,117,,2.0,6/19/2013,"The service sucked, the only reason its not getting one star was because the food was pretty good and the pizzookie was awesome, I also felt it was the food was overpriced, considering the service sucked so much....."
Ivan G.,"Miami, FL",0,4,,4.0,4/7/2014,great place and chill atmosphere for a college student went on monday and sat at the bar and had 5 dollar mojitos and just chilled with friends great price and bartender was mad cool
Elba D.,"Miami, FL",3,13,,4.0,3/17/2013,"Great food, great ambiance, tasty cocktails. I went on a Thursday evening and it was packed, which explains the noise level. it was very loud. I could barely hear what my date was saying. The best thing on their menu is The Pazookie Trio. HEAVENLY is all I can say."
Paulinacasado O.,"Miami, FL",95,13,3,4.0,2/28/2013,Cant be beat happy hour! Sign up for the card and servers know your name and faves before you sit down. Insta grat! Buff chick pan pizza insane- add jalapenos. So good...
Ivette R.,"Miami, FL",268,1047,251,3.0,6/10/2013,"When I went to the BJ's Brewhouse at the falls we waited for 20 minutes. then we sat down and got our drinks and ordered our food.  We got a sampler appetizer which had artichoke dip with chips, mozzarella sticks, avocado eggrolls and the south western eggrolls.  The appetizer was good but my mom thought it was   dad thought it was good too.  I ordered an individual sausage pizza and my dad had the pot roast   mom had the mushroom appetizer with macaroni and cheese.  I loved my pizza, my dad loved the pot roast sandwich, but my mom was not happy with all the food she ate.  The food there was good but the service was terrible my mom and dad had to wait for a long time to get their drinks.  Our waitress should've done a better job of making sure we were happy.  Overall I'd give it three stars because the food was good but the service was bad."
