Username,location,friend_count,review_count,photo_count,rating,date,review
Erica C.,"Oakdale, CA",1,7,,2.0,2/16/2014,"We used to love this place but last night we had a very bad experience- quoted that the wait was 30 min and waited 50 min, appetizer took forever to come out & we cancelled it, food also took a while to come out, food was mediocre.. Only went because we had gift cards.. Probably won't be going back"
Eyn E.,"Modesto, CA",9,40,51,5.0,12/25/2011,"The atmosphere is casual yet classy at the same time. The foods is great. The fish tacos are my favorite. They also make a really good tomato bisque. The burgers are good too and cooked to medium with just a touch of pink...perfect. If you're a beer fan (me me me I am I am!!!!) Then this is a great place. Jeremiah red is my favorite. Great food, great service, great beer."
Judy S.,"Modesto, CA",12,1,7,1.0,11/2/2013,"Bad service and the food was just nasty!Thought I would give this place another chance, but this is the last time I'll be coming here."
Amber S.,"Turlock, CA",0,20,1,4.0,3/7/2016,"I order BJ's To-Go probably once a week. It's easy because it's restaurant food you can order through their app, get rewards over time, park at curbside, and you don't even have to leave your car (food typically ready within 15min of ordering). I'm obviously a frequent customer at curbside and there's only been 2 instances where my service was just terrible to say the least. When you order through the app, you get a link to do a survey after you've received your food. I normally give high ratings and praise for everything so when those 2 separate times came around and my rating was lower than normal, the managers listened! I did not expect any kind of monetary gain from the surveys (and honestly doubted anyone read them) but when I informed them each separate time about the bad service through those surveys, I got a curtesy gift card and apology from the manager. This is the kind of service that keeps me going to BJs. An off server or bad experience one day does not omit all the other good days I experience with them."
Manija H.,"Manteca, CA",3,39,18,1.0,9/19/2013,Normally I'm one to write reviews about places that I enjoy. Places I dnt like I just dnt ever go back. However I usually like the service here and the food is good. on a particular night I had a waitress who  rubbed me the wrong way. Take that racist attitude elsewhere. There was another waitress nearby that actually noticed the other girls attitude and started to serve us. Our original waitress even got offended that we tipped the waitress that served us the whole time we were there! U should be happy u even got a tip from me. I'm sure with that attitude she has had plenty of complaints! Fire her!
Kasey V.,"Ceres, CA",12,9,,1.0,5/27/2013,"I have eaten here about 10 times and each visit is worse and my experience yesterday ensures I will not be going back there again. It was a lunch with my mom cousin & aunt for my birthday. My mom and I arrived first so we waited to order. Our waitress took our drink order and we got those right away. So while we are waiting I notice our waitress leaning on the wall with her head resting on the wall as well. Completely unprofessional. After she took our order she went on break. Our new waitress brought our drinks and my cousins was diet when she ordered regular. They brought her another diet to replace it. Finally on the 3rd try they got it right. Then we get our food except for my aunt. All three of us were done eating and my aunt still hadn't got her food. We ask about it and turns out that they just forgot to cook it but were cooking it then. The manger brought it out and apologized but did not offer any discount. They our bills come and we see there was no discount so we mention it to our waitress and she has the manager comp my aunts meal (that was nice) My cousins pays with a hundred dollar bill. She gets 2 rubber band stacks of ones back for change. That is $50 in ones! could not believe it!  I ordered the grilled mahi mahi. It was way over cooked, rubbery and no taste. The rice under it was mushy but tasted good. My IPA I ordered was great though.  It is extremely loud and the service is always disappointing."
Caligirl C.,"Modesto, CA",13,50,122,5.0,8/9/2011,Food is good.. Great location..good selections on menu.. I've been here many times.. I will keep going here if things only stay on a postive note..
sarah s.,"Stockton, CA",29,24,2,4.0,4/26/2012,"One of my favorite places in Modesto. Love their balsamic chicken dish, its my fave!  I was dissapointed with their customer service on my last visit; thus, when I went home, I filed a complaint. The manager responded the next day & apologized for the bad service & asked for my address to send me a complimentary gift card! He was super nice & friendly. Will obviously be returning:-))"
Mary H.,"Tracy, CA",338,197,868,5.0,10/13/2013,"Yvonne was a great server. We came late night because it was open and we were waiting for out daughter to deliver our grandson at Kaiser, just down the road. We had happy hour specials...buffalo wings, sliders and chicken lettuce wraps. Service was great, we ended with a peanut butter pazooki that was yummy"
Lucas P.,"Modesto, CA",1,9,1,4.0,10/30/2013,Great food great service. If they do get something wrong or take too long they always hook you up with a free dessert or whole meal. But they do screw up a lot lol so I guess I get a lot of free food there lmao
