Username,location,friend_count,review_count,photo_count,rating,date,review
Joy H.,"Milpitas, CA",20,3,7,4.0,3/29/2014,"I'd only been to a BJ's one time before, and it was pretty good. So when the hunnie suggested we try the one in Newark, I was game.  We have driven past it many times, and every time it was packed. But we went at 3:30 on a Friday afternoon and got a table immediately. The decor of the restaurant was awesome.  The bar looked nice and we'll stocked.  The place was clean. Overall appearance was great. Service...meh. We were seated and it took about 10 minutes before our waitress came to take our drink order. It wouldn't have been too bad if the place was busy,  but it wasn't.  We ended up placing our orders...we got the fried calamari, he ordered the Bbq pulled pork sandwich with their crispy fries,  and I ordered the new roast beef dip with wedged fries. The calamari breaded and deep fried and served with a lemony tartar-like sauce and a spicy marinara sauce. It was good,  crispy, but a little oily. They could have drained it a bit more. His pulled pork was pretty good. The pork was tender and the flavor was intense. The coleslaw that came with it was warm,  and I didn't like that.  The fries, well, they were fries. My dip...it was awesome! The roll was toasted.  There was a good amount of beef on the sandwich. The Swiss cheese was perfectly melted. The au jus had a lot of flavor. The wedged fries seemed to have a coating on them and were fried crispy, which I liked. The meal itself I give 4 stars. Then came dessert. We ordered the white chocolate macadamia pizookie.  It came out within 5 minutes and looked amazing. It was served with 2 scoops of vanilla ice cream.  We dig in and it was delicious! It could have been cooked a tad bit longer, I think, but the flavor was just yum. We finished that fast. When we left, the place was crowded, and it wasn't even 5:00 yet! Definitely go early if you want a table. We will."
Mike L.,"Fremont, CA",0,33,7,2.0,6/4/2015,"Wow 15 minute wait and 20 tables open? Terrible service, long wait, tiny parking lot but not their fault, ridiculous that you can't be seated because of lack of staff. More people in the bar than the restaurant and less staff but people are seated and eating."
Elaine Y.,"Fremont, CA",33,507,5,2.0,12/5/2014,"typical chain sports bar restaurant with big tvs and lots of people.  was i expecting something different? not really i guess.  had a salad that actually needed more lettuce. it was full of other things like meat but it needed more veggies and it needed to be colder. warm salad not good.  the tacos were good except the plates came out sticky. it's not fun to eat something with your hands but when you touch the plate it's sticky. anyway, if you want a chain place then go."
Kenneth L.,"Fremont, CA",23,32,9,3.0,2/16/2015,"This would be a 3.5 stars review if possible. My friends and I went to watch the NBA All-Star game there. We sat at the bar tables and had the carnitas fries with chile verde as well as a large BJ's favorite pizza. The ambiance is nice. It's definitely a nice place to watch games with friend. The massive tv at the bar area makes watching sports pretty great. The waitstaff is nice but generally very busy. This means that they'll take awhile to come back to you and ask you if you need refills or are ready to order. That's really because BJ's always seems to have a fairly long wait (the bar area less so than the restaurant section). All in all, this place fits the criteria of a nice place to watch a game. The food and drinks are what you expect of BJ's. Decent food but fairly pricey. The carnitas fries were good, a little bit too much salt in there though. The carnitas were tender and the chile verde complimented the fries and carnitas well. This was probably my favorite thing I had there that night. The BJ's Favorite deep dish pizza was pretty good as well. Not the most amazing deep dish pizza I've ever had but definitely a good pizza. It had a little of everything (sausage, pepperoni, bell peppers, olives) and the flavors blended well (obviously, because its essentially a combo pizza). The crust was quite addicting (I'm not a crust guy either) as the dough was crispy on the outside while still maintaining that nice chew in the middle. Again, this was pretty salty, so if you don't like salty foods you should probably stay away from this place. For my drink I had the root beer (because I wanted refills.....we were there for about 3 hours). I was tempted by some of the alcoholic drinks but ended up getting the root beer instead. I'll probably come back to try some of their alcoholic drinks. As for the root beer it was definitely one of the best root beer I've ever had. They come in a frosted mug (essential because it keeps the root beer cold while not diluting it with ice) and unlimited refills (I had about 5 rounds of root beer).  All in all, I spent about $17 (including tax and tip) for this meal. Not horrible because of what I went there for (decent food, drinks, and watching the all-star game with friends) but definitely not cheap. I would definitely come back once in awhile to watch some sports with my friends but probably not regularly or even semi-regularly. My PSA for this place would be that I did slip into a salt-induced food coma after getting home. Be forewarned."
Prashanth S.,"Central District, Fremont, CA",105,10,8,4.0,3/15/2015,Good for a very late night dinner in Newark. As with all BJ'S you won't be disappointed. But parking is a spot of bother
John H.,"Fremont, CA",1,55,1,3.0,1/21/2015,"Was tempted to give this a 2-star. Bar's the place to be; comfortable and the tenders are usually gregarious and efficient. Beer's acceptable, but the food is Dennys++.  Pizza rates a ""nice try"". The fun pluses in this place are the black cherry and cream sodas, both ostensibly house-made."
Joe B.,"Hayward, CA",16,10,2,5.0,5/31/2015,I'm a regular here... And usually I get treated really well. U can call ahead and reserve a spot..food deserves 5 stars...sometimes it can take a while but hey that's fine because the more time you spend with the family the better... Thank you bjs for keeping it real.
Kris J.,"Concord, CA",41,248,153,4.0,9/17/2013,"Came here on Sunday during the 49ers game. It was packed! but we got seated within 5 mins because I was on the call ahead list. Food came quick because I ordered to-go. so almost as soon as we got seated, our appetizers and pizza came out. YAY! They have happy hour at the bar section as long as the game is on, double YAY! and the whole restaurant cheers when the 49ers make a good play. they cheer REALLY REALLY LOUD. lol. Good place to watch the game!"
Justin L.,"Concord, CA",0,36,11,3.0,3/10/2015,"Food was great, but server was very slow to come to table and great us, to take our order, and for food delivery. Also my wife's plate was missing some food. Went on a Tuesday wasn't that busy you would expect them to be fast but just wasn't the case today."
James H.,"Fremont, CA",32,36,7,5.0,5/26/2015,"I'm a regular here. I live in fremont.. There are lots of bad reviews about the service here. But that's not always the case... Yes I have had some experiences where the service was not soo perfect, but for the most part they do a pretty good job. I give them 5 stars for the good quality.... I've always had a great dinner here. Buffalo chicken, spaghetti or steak... They make it really good... I'm never disappointed... I've been coming here since 2 years and will continue to do so.... Great job bjs"
