Username,location,friend_count,review_count,photo_count,rating,date,review
Fran V.,"Oklahoma City, OK",325,156,320,4.0,12/27/2017,Came for a birthday dinner and all was great. We were served in a decent time and checked on every couple minutes for water and drinks. Great lighting and atmosphere for something intimate. I loved the setting. Great spot n their menu I didn't give it a 5 because their drinks could be a little stronger my mojito tasted like water basically.
Alex M.,"Dallas, TX",63,35,21,1.0,11/28/2017,"Received the absolute worst service from incompetent staff! My boyfriend and I went here on a Friday afternoon hoping to snag a good Happy Hour. Turns out, they just changed their Happy Hour menu to not include Friday's (though both of the staff that spoke to us had no idea). We started with the queso, which is just artificial cheese dip, and I had the Mediterranean chicken tacos. They were small and had a few morsels of chicken smothered in white sauce. Not great. My boyfriend had the buffalo chicken bites which tasted like they had been nuked in the microwave after being frozen.  BUT the worst part was after the meal.. my boyfriend left his phone behind and didn't realize until after we had left. When he tracked his phone on his Tile app, he saw it was located at BJ's. We called the manager that night and they said they would look for it during their ""nightly clean."" We called again in the morning, got transferred to three different people asking how they could help us (hand the phone to someone who can please) and they said they hadn't found the wallet but would ""keep looking."" I even told them which booth we sat at, and they swore they looked but couldn't locate it. Finally, we were able to drive back up to BJ's. We immediately go to the booth we sat at a few nights before and what do you know... the wallet is underneath the table sitting in water. Are you kidding me BJ's? So much for a nightly clean. Totally unprofessional and unhelpful - definitely will not be returning."
Carla M.,"Chandler, AZ",149,6,3,1.0,9/16/2017,In Norman waiting for the OU game to start.... waiting  . . . . BJ's poor timing on getting your direct tv to cooperate. Get game ready #damn
Lorri A.,"Oklahoma City, OK",54,38,343,4.0,12/22/2017,"Dining in is good. The wait time really isn't that bad. They have a huge menu. So, if you want it they probably have it. Drinks at the bar are good and service is pretty quick. However,  their curbside pick up and just regular pick up orders is lacking. Went to pick up on a Friday and all the spots for curbside were full.  Parked at bfe went in to get curbside order and waited around for a good 10 mins. I had servers walk past me and not even ask if I needed help. Same thing goes when I order pick up. I pick a specific time to pick up, I'm there to pick up at specific time. Apparently, your Togo order people didn't get the message because again I wait about 10 minutes to even get noticed.  Just aggravating."
Alan N.,"Oklahoma City, OK",173,513,300,4.0,12/6/2017,"Pretty decent, just your normal BJs with their massive menu. Came here during Veterans Day so this review is a bit delayed. The food here is good, tastes like any normal Chain restaurant you can find around, large drink menu though and plenty of tv. Did not get a pizookie this time but it seems they've gotten more flavors since I last visited. Just a decent place If you're in the mood and have a party between 6-10z"
Michelle M.,"Norman, OK",80,65,85,4.0,3/30/2017,"Got an email advertising free Pizookie day dessert with $9.95 food purchase on 3/29. My boyfriend and I went because we like their deep dish pizza.  Such a good choice, welcoming and great service. Food brought out quick and hot!! This place never disappoints us!! The biggest problem is deciding what to eat... So many yummy choices!  Thank you BJ's Brewhouse staff!!"
Nate S.,"Oklahoma City, OK",97,79,126,3.0,7/3/2017,"We came in a little after 3pm for the Monday special which is half off a large deep dish pizza. We were sat and tended to quickly and ordered waters, macaroni appetizer and a pizza. The app came out with the pizza and we wish we would have been told it would take so long. After we received our food the server checked up on us soon after then disappeared. We ran out of water shortly after the first checkup and had no help for miles. We were the only table in the center of the room. I had to stand up and fill our waters with the nearby pitcher and they didn't even notice. The divider walls are so tall I can see why it's easy to not see us but that should mean you need to put in more effort to attend to your tables. Also I worked in the service industry and know you are supposed to baby the crap out of customers when they're the only current source of business. The pizza was good though and we got free mini pizookie when we downloaded the free app."
Chase L.,"Norman, OK",54,4,,3.0,12/16/2017,"Great pizza and beer. Their Jeremiah Red is my favorite beer, sad it's not available anywhere. I know of at least one BJs in Texas where you can fill a growler of beer and take It home. Hopefully the laws change in Oklahoma soon. Went to this BJs last night with my fiancé. Had the thin pizza and some beers. Overall the food was great. We were sat right by the where the wait staff gathers to talk about what their tips were from each table, kind of uncomfortable. Also, our waitstaff seemed to rush us out.  Our chips and salsa appetizer was removed from the table before all our salsa was gone without asking us or offering More  chips. After we finished our pizza we were asked if we wanted dessert to which we said no. I was asked if i wanted another beer, my fiancé was not. When i got my 2nd beer, our ticket was closed without asking if we were finished. Only reason this gets 3 stars is for the Jeremiah Red and the good pizza."
Rick R.,"Norman, OK",0,32,,3.0,6/19/2017,"Went here for an employment celebration after   our group could not decide where to go.  Honestly, it was not my choice.  Went on a Friday night and only had to wait 15 minutes  before being seated.   The ambiance is very tasteful and my table enjoyed the array of cocktails on the menu.  We all shared a combination appetizer plate which was somewhat cold and loaded with buffalo wings but lacking on the other items.  We all ordered something different and most enjoyed their meal.  I ordered  the Fish n' chips which was only fair and overly priced.  The fish was not cooked through and the breading fell off.  Dessert was fun as well as after dinner drinks.  Our server was wonderful, helpful and very thoughtful.  As mentioned, this would not have been my choice, but most seemed like they enjoyed it.  For the price and quality  of the food I justify my score!"
Roy B.,"South Weber, UT",112,76,188,5.0,3/28/2017,"Not sure about all the negativity.  Been here several nights in a row now and none of what I've read has been true... I suspect some folks are on their damn phones too much or are just not happy folks. Zero complaints about the food, staff, environment etc.... all 5x5"
Ashley P.,"Norman, OK",142,91,182,2.0,1/14/2017,"My boyfriend and I have officially been turned off from any and all BJ's because of this location, Pizookie's or no. I received an email from them asking how my experience was when I ate there last, and let me tell you - I absolutely reamed them. Seriously, it was a rrreaaalllyyy long email.  Visit #1 - Went with friend and ordered the chicken lettuce wraps. Omg people. I never spit food out. Ever. It's impolite, and isn't very attractive.  That being said, I took one bite of the chicken lettuce wrap and immediately (and unflatteringly) instinctively spit the food back out and began choking.  You want to talk about unnecessarily spicy? Yeah. That was it. I literally. *Literally* couldn't even eat the chicken part of the wrap because it was so flaming hot spicy.  I ended up just putting the dish to the side for the waitress to take.  The manager came over and apologized for the experience and offered to get me another item from the menu (I just opted to share a pizza with my friend) and gave us a coupon for a free appetizer.  Visit #2 & 3 - Went with boyfriend for a healthy dinner and ordered the sirloin steak with asparagus and a cup of clam chowder.  The clam chowder was ""meh,"" and came out cold. Not room temperature. Cold. As if someone had taken the soup out of the fridge and just dumped it in the bowl. Ew. We also didn't get any oyster crackers with them. :(  Now, I'm of the personal opinion that a steak and asparagus isn't exactly something that would be easy to screw up. *Buzzer* Wrong. The steak and asparagus were completely inedible. The spicyness and heat from the seasoning on the sirloin blew up my mouth and definitely irrigated my sinuses....sniffling, tears and all. The asparagus wasn't any better. They appeared to have thrown the asparagus onto a grill and then taken an entire bottle of ground pepper and poured it on top of the vegetable.  Needless to say, not only was it spicy as all heck, but the asparagus wasn't even cooked! It was still almost completely raw. At this point, I was too frustrated to call a manager. I didn't want to appear like one of *those* people who comes in and complains just to get free food, and my very long email to them went unanswered, so what's the point?  Not going back to this BJ's again. Maybe someday I'll work up the cajones and visit another location, but my lips can still feel the burn from that steak. Lips = traumatized."
Lauren K.,"Oklahoma City, OK",97,104,204,3.0,2/5/2017,"I had the salmon quinoa and had severe food envy for the whole dinner, This is not the place to go if you're hoping for a really good healthy option. However, their burgers and loaded salads looked pretty big! The beer selection is extensive, and the overall atmosphere is very relaxed although loud at times. Not my first choice, but also not a bad choice."
Tes H.,"Norman, OK",87,86,129,5.0,7/31/2016,"One of my favorite spots in Norman!  From happy hour to dinner dates with friends, I keep finding myself back here over and over again. The atmosphere is fun and classy, the hostesses are always so nice, and the wait staff is attentive.  You may wait a while on game nights; it IS a type of sports bar/grille, after all. But they do call ahead waiting 30mins or less before your arrival.  The drink menu is huge. The food menu has an even larger selection. This is a go-to restaurant for a crowd or if you're eating with someone picky.  Try a sangria!"
Iris L.,"Dallas, TX",179,227,382,5.0,12/26/2015,"Came here for lunch on Christmas Eve and overall was very pleased with the experience. We were greeted very promptly and pleasantly upon walking it.  We were also seated very quickly in a nice booth. I have to also mention how beautiful the floors were! Loved them. Our waiter was very nice. I ordered the strawberry lemonade which I sadly had to send back- something was off, seemed like too much syrup?  He gladly took it back and gave me a regular lemonade instead. He also checked up on us several times and kept refilling my fiancé's water glass. I ordered the mini deep dish extreme pepperoni pizza- AMAZING. And my fiancé got the burger and thin fries- also very good from what he said. Overall, clean and a great easy lunch. I would recommend stopping if driving through Norman."
Nita H.,"Saint Louis, MO",0,21,,2.0,9/14/2017,"Oooo. No, go somewhere else. Chicken fettuccine tasted like Marie Callender's and Maria Callender's actually had more flavor. Best thing was the cookie desert with ice cream they serve. Go next door to Charleston......"
Brandee A.,"Rochester, MN",0,2,1,4.0,5/19/2017,This was a great place to grab lunch while in town to watch Softball.  They have lots of TV's and were willing to change the channels for us.  We had been to another BJ's location in California and had a great experience. thought we would give this one a try even though it wasn't rated very well.  Food was delicious and service good.  Would definitely come back again!
Michelle M.,"Norman, OK",46,8,,4.0,7/10/2017,Love this place. Quality food and service. Clean and relaxed atmosphere. Pizookies are fabulous!!
D R.,"Oklahoma City, OK",14,47,21,2.0,9/5/2016,"Food good but expensive, beer good but $19/pitcher. Service mostly terrible if sat by hostess, the bar area is actually better service. Overweight guy last night ignored us for 15 min until we got up and moved to the bar area. He never even looked up while hiding behind a corner where he pretended to type things into a computer for 10 min at a time. Saw him rudely rush all his tables out that night before close. Closing time is 11pm on Sat."
