Username,location,friend_count,review_count,photo_count,rating,date,review
Matt M.,"Oklahoma City, OK",430,1101,252,4.0,12/13/2017,"Here I am, a solid foe of chain restaurants in general, writing a good (albeit not five star) review for a (!!!) chain restaurant. Oy. I went here with one of my nieces after she kept begging me to stop in here with her. (I have a hard, guncly crust, but -- at the end of the day -- this guncle is essentially a big old softie.) I was impressed by the selection of craft beers and hard ciders, and ended up settling on a Jalapeño Burger with fries. (My niece had her usual nachos, and THAT made her as happy as a little pig in shit.) I've heard some less than pleasant anecdotes about this restaurant; it's true. (Chain restaurants can, after all, be spotty depending upon location, franchisee, management in general, et cetera.) And, to be candid, I can't imagine coming here often. (I'd rather support locally owned places. Period.) That said, I had a very, very nice little meal here, and so I can't complain. One thing -- and this IS important: Someone needs to send a memo out to all the employees here that being on your cell phone during work hours is simply NOT acceptable. Period. I saw about a third of the staff here fiddling with their phones in lieu of working. THAT, my friend, is simply not acceptable. (Were I the manager here, I'd ban all cell phones, iPads, and other personal electronic devices during work hours. No exceptions.) OK, grumpy old man rant over here now. I'm hungry for a Jalapeño Burger and hard cider."
Jess M.,"Oklahoma City, OK",25,77,96,2.0,11/15/2017,"Have you ever watched 'Kitchen Nightmares'? If you haven't, it's a show where Michelin Star Chef Gordon Ramsay goes to struggling restaurants to see what they're doing wrong and tries to fix them. A lot of times he'll see that the kitchen is disgusting or the food is rancid and expired. BJ's, I'm sure, doesn't have any of those problems, but Chef Ramsay would have an issue with the size of the menu. After looking at their menu online, I counted ~150 items. I understand wanting to have something for everyone, but 150 seems bonkers. It's a bit overwhelming to have to thumb through 25 pages of food that all seem like they would taste fine. Luckily, I didn't have to think very hard about what to eat. On Mondays, BJ's offers their large Deep Dish Pizzas at half price, so my brothers and I chose that.  We decided to do half Chicken Bacon Ranch and half Gourmet Five Meat. The Chicken Bacon Ranch was easily the better of the two that we chose, but still nothing amazing. The Gourmet Five Meat, while meaty, was pretty dry. We asked for extra sauce, but it was still pretty parched. Also, BJ's Deep Dish Pizza is nothing close to actual Deep Dish Pizza. Deep dish is supposed to be more like a pizza lasagna/casserole. BJ's pizza more closely resembles Pizza Hut's Pan Pizza. In fact, it pretty much has the same topping and crust ratio (2/3 of the pizza is just crust) and tastes almost identical. If we had shown up on any other day and bought the pizza for full price, I would be disgruntled. Since it was half off, I'm slightly gruntled.  Despite all of the bad things I have to say about their pizza, their Pizookies are delicious! Sure, they may be over 1000 calories each, but who cares? If you have the room for it, go for it!  In conclusion, avoid the pizza, eat the Pizookie."
Katy C.,"Oklahoma City, OK",101,93,55,3.0,9/6/2017,"Great for groups and kids. Huge variety on the menu-no stand outs. If you never know what drinks to order, it's a good place with an extensive cocktail menu (takes the pressure off).  They don't always honor the email promotions. Best to call ahead and check."
Bryce D.,"Edmond, OK",118,4,3,5.0,1/10/2018,This place has always been a good place to stop by after work or during lunch the food is just amazing and have always enjoyed the in house brews. Nutty brunette has always been a long time favorite of mine.
Tracy M.,"Oklahoma City, OK",25,50,42,3.0,9/10/2017,"I rarely write an ""unhappy customer"" review because I genuinely believe that everyone deserves a second chance, but this particular BJ's location needs help in the service side. The food is always good but they never staff enough servers. Again, I believe that from time to time, people and businesses will fail you but this is the fourth time I've been to this particular BJ's and the service has been poor. Not due to unfriendly servers by any means but by the nature of management not scheduling enough staff. I would hate to see this location suffer long term but hopefully the management can figure out a better solution. There's zero reasons why any guest should wait more than 3-5 minutes before being greeted. There's zero reasons why any guest should have empty water glasses for 10+ minutes. Like I said, this pretty much is the norm every time I frequent this place. Boo. :("
Karen H.,"Oklahoma City, OK",32,22,8,2.0,12/7/2017,"This was my first visit to BJs.  The food was horrible. I ordered a sirloin steak and asparagus.  I should have taken a picture.  The asparagus was over cooked as was the steak.  The steak was seared way too much. It was not tender or juicy.  My friend had the shrimp quinoa bowl and she said the shrimp was over cooked.  The 2 stars are for the service which was good.  I also had clam chowder which was not bad, but not very flavorable."
Candice H.,"Mustang, OK",97,53,105,3.0,8/13/2017,"Hadn't been in a while so we thought to give it a go. We were terribly disappointed in the service. Seemed to take forever to get drinks, to order, and to check out. Then the food...not sure if they changed their chefs and/or recipes but the food was subpar. The Buffalo pizza was very dough-y and the Buffalo sauce wasn't tangy or spicy. The flavored tea was not sweetened like we were told either. I don't think we will be back. Too many Restaurant options to get the low quality food for the high dollar prices."
Andrew B.,"Oklahoma City, OK",39,14,1,3.0,12/2/2017,"This is my favorite place to eat when I can't think of anywhere else to go and/or I'm eating with a group of picky eaters. I really do mean that in the best possible way. I am never enraptured by the gastronomic pleasures of the Pizzookie, but the food is always more than edible, the service is always quick, and anyone can find something to enjoy on the Tolstoy-inspired 10,000-page menu. They have their own beer which is always pretty good and I always get some because it's something you can't get anywhere else and I'm a sucker that way."
Tania S.,"New York, NY",282,70,52,5.0,3/21/2017,"Been on a strict diet lately and have been trying to find places with some diet friendly options.  Luckily, this location has a section in their menu dedicated to ""lighter options."" I'm usually skeptical on trying these options since foods on these menus aren't the speciality of the restaurant.  I was surprised on how flavorful my entree was! I ordered grilled chipotle chicken with brown rice and black beans. Wow. For being on a diet, this hit the spot. The flavors were more than what I expected from BJs. My food ended up being better than what we both ordered.  Good job BJs!"
Shay B.,"Edmond, OK",126,531,396,3.0,9/4/2016,"When it comes to appeasing my large extended family on where to eat, BJ's usually does the trick. After all, their menu is practically a novella with how extensive it is. There's truly something for everyone here.  Last time I came, we were a hefty crew of 13, which the BJ's staff handled well (especially when you throw on the antics of my dad and his siblings bringing out the sibling in each other...). Both drinks and food came quickly, which was much appreciated.   Do note that the portions for BJ's meals are H U G E. I ordered the Santa Fe salad, and it was practically 3 salads in one. If you have a small appetite, definitely go splitsies. Which I also recommend for their delicious, signature dessert: the Pizookie. It's a cookie cake topped with ice cream and quite tasty.  Overall, I'll take BJ's over some of the other places that get veto'd in the dining discussion!"
