Username,location,friend_count,review_count,photo_count,rating,date,review
Rick S.,"Windermere, FL",0,17,1,5.0,8/21/2015,"I love this place. We have been going here for over a year and the food is great, the beer is excellent and nice surroundings."
Andria W.,"New York, NY",81,108,45,4.0,1/27/2012,"The only reason BJ's doesn't get 5 stars from me yet is because I've only been once.  I happened upon BJ's for midweek, well Tuesday, girls night out and we made it in time to catch happy hour; what a lovely treat that was! Half off appetizers and mini pizza's, AND $5 wine... maybe she will!!  I tried the chicken lettuce wraps, which were simply divine, and a barbecue mini pizza. Ugh, I get depressed even now thinking about the calories that were seeping into my body just by saying my order to the waitress, but I smile and am overjoyed thinking of the heavenly party in my mouth once I took my first bite. I mean really, the food was amazing.  I can't wait to return. I am definitely a fan!"
Ginger G.,"Kennesaw, GA",42,23,3,5.0,9/6/2014,I eat here everytime I go to Orlando.  The food is great and they have a large selection to choose from.  I have never had anything here I did not like.  And you HAVE to have the PIZOOKIE.  Best dessert I have ever eaten.
Matt C.,"Salisbury, MD",1,14,5,5.0,7/10/2014,A lot of great choices. Many options for whether you want something light or filling. The food was great and great atmosphere! We were there during the World Cup so watching the fans in the bar area was entertaining. Reasonably priced for great food!
Rene C.,"Knoxville, TN",0,14,,4.0,8/11/2014,"I had a great meal here while on a business trip to Orlando;  I ordered one of their burgers and it was perfectly cooked and more like a high quality steak burger rather than a dried up frozen patty that you usually find at sports bar chains.  We were seated immediately, but service was extremely slow.  It appeared that our server was busting chops and overbooked on tables though;  she was pleasant and doing the best she could with her workload.  I would go back again when in Orlando."
John P.,"Altamonte Springs, FL",980,70,921,4.0,4/2/2012,..they have awesome beers and food here..the in-house brewery has some great beers on tap (craft beers especially) and also the food is amazing as well. the TV at the bar is super-huge is a good place to meet people/meet up with friends
Joanna M.,"Orlando, FL",8,3,17,5.0,12/31/2012,"BJ's has quickly become my favorite restaurant. Great service, great happy hour, great food!  Be sure to join the rewards program to earn points towards free food and gift cards!"
Evan S.,"Orlando, FL",8,8,,4.0,2/24/2013,I got a sample of their own brews.. they were pretty good actually not what I was expecting.  Our server was very attentive and still have refills after we had paid which spoke people don't sometimes.  Food was very good.. my burger was done just right. . Only downside is there is too much on the menu.
Dominic B.,"Orlando, FL",46,130,4,4.0,1/13/2012,"From the co-creator of The Cheesecake Factory comes BJ's brewhouse.  I've been here about 3 dozen times and it's a sweet spot to catch a game on their massive TV wall.  And massive is the trend here ala the CF.  Portions are very large, and I've yet to order anything that I didn't like.  Their ""mini"" pizzas are so fricken delish, as is their parmesan grilled cheese and tuscan tomato soup combo.  IN FACT fellow Yelpers, I'm heading out in T-30 to have just this and a Friday pitcher of their AWESOME craft beers with my dad, who's also a huge fan (and we are FOODIES of the highest sense).  Their Jeramiah Red Beer is tops if you like IPA style strong ales (and watch out - you'll get wasted on this if you are not careful).  All of their craft beers are great to be honest. Service is ALWAYS spot on - just enough and not too much.  The ambiance is very nice too, with them playing top 100 music in the background.  In fact I find myself saying often ""Wow - I love that song!.""   It's like an upscale TGIF but way better if I had to describe it.  And it's big so you typically don't have to wait for a table (though I always eat at the bar as they have that HUGE TV WALL and the bartenders are always so cool). It's fun, pretty affordable, well laid out, and TASTY.  You won't want to skip the treadmill after this however - good luck ordering anything ""lite"" as it is, like it's sister the Cheesecake Factory, a total calorie whore.  Seriously - 1lb loaded to the nines baked potatoes are on the menu and they're HUGE.  But I'll gladly live down my Jeramiah Red beer buzz running a 5k later tonight in trade for that delish grilled cheese and tomato soup.   YUM"
Renee C.,"Natick, MA",0,16,1,5.0,7/21/2014,"Love this place! My boyfriend and I come here at least once a week, GREAT happy hour specials on good and drinks. We got a beer for each of us, a flight of beer, a mini sized pizza and Mozzarella sticks for only $24! Definitely recommend the buffalo chicken mini pizza!"
Roberto N.,"Orlando, FL",117,483,1923,4.0,8/20/2009,"Not just a microbrewery.  Prices are in line with competition. Menu, though, seems to have more of a selection. desserts are magnificent. Some of the dishes really are memorable.  My friends and I have been back a couple of times.  Recommend."
