Username,location,friend_count,review_count,photo_count,rating,date,review
Monica W.,"Palmdale, CA",75,3,1,2.0,6/6/2017,"Went here today for lunch. It was very busy due to graduations and there was a long wait for a table so we sat at the bar. Now given that it was busy its understandable that the food took a little longer than normal to come but when the food came I specifically asked if I should order my pizookie now so that it would be ready by the time we finished eating and packed to go since we had to head back to work. The server said oh no it comes out right away, better wait till you are almost done eating. So I did. 20min. later I'm a little irritated that I  am still waiting for this pizookie to come out, finally it does and we leave. Get to work open it up and become immediately irritated again! What I got does not even look like a pizookie. Very disappointed and doubt I will be going back to BJ's for a while."
Linh U.,"Alhambra, CA",111,38,110,3.0,6/25/2017,"Consistency is key to good food/restaurants. Unfortunately this particular BJ's doesn't have it. Some days the food, the rib eye in particular, is amazing, and other times, it's absolute trash. Funny enough, I've had the better cooked version when I had ordered it to go. I dined in last night with the boyprend and family, and 5 people out of 7 ordered the steak. Only one person got theirs cooked just right. The rest of the medium rares were practically medium well to well done. I know you can always ask them to take it back, but there's always that risk that the chef will be unhappy and do something unpleasant to your meal lol.. I liked when one of the servers was asking us to cut into 2 of our steaks prior, but two other servers came out with the last steaks and just dropped them and ran. Even A1 couldn't save the dry chewy piece of moo that was given to us. At least the sides were somewhat redeeming of the meal itself.  On the bright side, the alcohol is pretty good here. The frozen strawberry splash was delicious, it just tastes like a strawberry smoothie. Their Long Island ice teas are bomb as well. They have a lot of options but they can get heavy with the ice.  Tl; dr I would stick to just the burgers and pizza here, and that's it."
Aleese J.,"Los Angeles, CA",1,37,,2.0,11/12/2017,"We stopped off here for an early dinner.  I ordered a calamari appetizer and a tortilla soup.  The tortilla soup was terrible.  First it looked unappetizing...very thick and salty, the consistency of watery baby food.  Then the calamari was lukewarm and soft and didn't appear freshly made.  My partners steak was dry and thin....not sure what was going on but I've never had such poor food here. Our waitress was very nice and efficient which made the experience a bit more positive."
Jim U.,"Southgate, MI",1,124,13,4.0,8/9/2016,"A little pricey for what you get, but descent food and descent portions.  Happy hour is only in the bar area.  Found that out the expensive way. Seating is very slow for a larger group unless you call ahead or use the App.  Smaller groups is usually never a long wait, unless they are packed. The beer is good and they have a large variety.  I'd go back, but I would definitely recommend getting the app, which is a little buggy, but saves time waiting on a table."
Jason S.,"Lancaster, CA",91,17,,2.0,3/19/2017,I guess the food is okay but every time we order from these fools and we order for 12 plus people. They screw it up. Who puts ketchup and mustard on a chicken club sandwich?. Apparently BJs does. Amerifab they made the sandwich the exact opposite way I ordered it.
Nora R.,"Littlerock, CA",0,1,,4.0,8/25/2017,"So pizza, loaded potatoes , asparagus , ribs and sirloin steak were bomb!!!!!Mac n cheese was trash , artichoke dip was trash(apple bees has a better one)  and my waiter had so many tables that he messed up my order.  Ambiance was super chill and casual."
Debra G.,"Palmdale, CA",0,29,,1.0,8/15/2017,"We used to love coming here.  My teenagers loved it too.  Service has consistently been terrible.  I've actually had to get up and wait at the front for my check.  I think the servers are overworked and need help. Another major annoyance is that they don't take ""same day"" reservations.  We called in the afternoon for a party of four for my daughter's birthday.  Was told it was their ""policy"" not to take same day reservations.  So I asked if I could make a next day reservation.  The hostess did not know how to answer.  She said it's not their policy.  I asked what the policy was.  She did not know.  I asked to be transferred to the manager and the manager could not explain the policy, only said that sometimes they have large parties and cannot take reservations.  Makes sense, but why not have your hostess tell people that or just say, we don't take reservations?  Won't be coming here again.  Many other choices in walking distance with much better service."
Rich M.,"Santa Clarita, CA",0,5,3,1.0,4/2/2017,"Horrible service.  I think the waiter forgot to put our order in..  He told us he would check on our food but never came back.  30 mins after ordering, the food came out looking rushed.. The chicken on my plate under cooked.. I sent it back At this point I was over it.. I asked for the bill, but the manager took care of it.."
Daniel J.,"Pasadena, CA",219,79,814,4.0,10/5/2015,"My family and I have gone to BJ's Restaurant and Brewhouse a few times over the years, and we always enjoy our visits.  More recently, we came twice within the last month, and this review is based on these two visits.  Here's a quick summary on the details of this rating, for both visits:      - Atmosphere.............................5 stars      - Efficiency.................................4 stars      - Host.........................................5 stars      - Waitress...................................5 stars       - Our meals................................3 stars      - Overall rating...........................3+ / 4- stars The atmosphere at BJ's is really nice. They've got a great bar area, plenty of seating options for larger parties, and nice cozy seating areas for those out on a date.  It has a nice layout, is well lit inside and has a good wholesome feel to it.  My family and I were quickly seated, for both of our recent visits, in a nice big booth in one corner of the restaurant and it was rather pleasant both times.   During our first visit, we were seated by a nice young lady in a corner booth during a busy time.  She was friendly, but I don't remember her name.  During our most recent visit, we were seated by Jonathan, and he was extremely professional and friendly.  We waited for just a few minutes while he did everything he could to quickly find us a nice big booth for my large family.  BJ's is lucky to have Jonathan; he's a real pro! During our first visit, our waitress was Jolin, and she was friendly, professional, and she had a great personality. We had a few tricky orders specifically related to food allergies and she was very patient in explaining details related to ingredients in their food. She also provided us with a menu detailing the items that they have related to folks with allergies. She was awesome!  Also, thanks to the management at BJ's for creating this menu, because it is really helpful for families like mine.   During our most recent visit, we had Kaytlen as our waitress.  Once again, we were lucky to get another totally awesome waitress that was friendly and patient with our complicated orders.  Kudos again to the management at BJ's for hiring awesome waitresses!    Our meals were pretty good during both of our visits, but each time there was something disappointing about the meal. During our first visit, my kids' meals looked delicious and they were all impressed.  My meal, on the other hand, was below average during our first visit, where the bacon cheeseburger I ordered appeared to have unusually fatty and low-quality bacon on it.  The bacon seemed to reduce the overall experience of eating the burger instead of the opposite.     Our meals during our second visit were opposite, where my meal was above average and my kids' meals were below average.  The disappointment during this latter visit included two pizza meals that were noticeably over-cooked, and a delayed meal delivery for one of my kids by several minutes, in addition to it having an incorrect side dish.      In summary, I think that BJ's is a great option for lots of folks in the AV with an excellent atmosphere and an awesome staff that interacts with their customers.  This BJ's could definitely do a better job in the kitchen, where arguably the most important function of any restaurant takes place."
Jorge R.,"Lancaster, CA",6,8,,2.0,9/2/2017,Waste of time...food is average at best...you must be drunk to really enjoy it...luckily it's a brew house
