Username,location,friend_count,review_count,photo_count,rating,date,review
Brandi P.,"Pasadena, CA",0,4,,1.0,11/29/2015,"My service tonight was horrible! I waited 20 minutes for cold food!! The horrible waitress, Rebecca, stated that the kitchen was backed up & our food would be out shortly. I was understanding until I waited close to  20 minutes & our food came out cold!!! Also, I witnessed others people food coming out ASAP that arrived after I did! Not to mention, that the food was delivered by Rebecca ~ herself! I also witnessed someone who looked like a manager visiting other tables, glance at me, & turn around & walk away!!  I can only accept the fact that our food sat somewhere as she helped others!!!! I will never visit BJ's again!!!!! I wish I could give this place 0 stars!"
Mohamad T.,"Upland, CA",2,16,1,4.0,9/14/2014,"Tonight was a rough night at the Pasadena BJ's. I will spare you the Details of the troubles and give big props for the manager Ashley who did not try to deny the issues and recognized the need to solve them.  Then Christianne came over and really made us feel like they knew the issues and were working hard to get everything right.  We left thinking that the place is in the right hands. Every place has a bad night, but it is the management that determines if it is consistently bad, or if the place is moving things forward in a positive direction. All in all I think Ashley and Christiianne are committed to making this Bj's live up to the reputation of the others. Good work ladies!!!!     We'll be back."
Imran S.,"Queens, NY",125,113,47,4.0,3/28/2014,"Chain restaurants usually have standards set that needs to be held and for as long as they uphold it then I have no problems with the place whatsoever. This was an even better looking restaurant than the ones in the OC. Nice warm ambience, surprisingly great decor, and service was superb. The food tasted great as always. The best part is dessert and of course; the infamous Pazookie! Order a small for taste appreciation and portion control ; it's rich and tasty so savor that last taste on your palate. Great spot to go with the family and / or friends."
Madalena T.,"Los Angeles, CA",14,144,307,4.0,6/24/2014,"My favorite thing to order here is their California burger. This burger is in my top 3 list of best burgers I've ever had. I like how they toast the sourdough bread and stuff this burger with avacados, green chilies, pepper jack cheese, and chipotle mayonnaise. Soo flavorful with each bite. And it comes with a side of their amazing potato wedges. Add a glass of their Jeremiah Red Ale on tap and you've got the perfect meal! I like going to BJ's and sitting in their bar area to eat, drink, and watch Monday Night Football or other sports."
David T.,"Burbank, CA",78,327,5,4.0,11/12/2012,"I went here a few weeks ago, probably after they just opened. Food was good and all, but what stood out in this location was how many servers they had! I'm guess that there were many still in training, largely due to the fact that the one that served us was being supervised. It's not every dinner night when there are people constantly walking by our table, at about the rate of one person every couple seconds. The location of this restaurant is great and the interior is large and bright. And everything went smoothly here. I'd gladly eat here again."
Aidyn K.,"Alhambra, CA",89,60,4,1.0,7/1/2014,Manager called and apologized. He said he would send me a gift certificate to compensate the meal. Three weeks has gone by and I've received nothing in the mail. Don't trust any of the staff at this place.
O. A.,"South Pasadena, CA",6,44,51,3.0,8/4/2014,"My son loves coming here, but he's 15 yrs old.  The ambiance is young, loud, and busy.  The food is OK, not great, not bad either.  The service is what needs work.  The servers have enormous serving sections and don't have a chance to check-in with us customers very often.  They should hire more servers.  I don't recommend you go here if you're in a hurry to catch a movie."
cat c.,"Pasadena, CA",9,106,,4.0,12/17/2012,"Yeah it's a chain, but the foremost reason for visiting BJ's in Pasadena is the gorgeous historic building, the 1924 Curlett and Beelman Security 1st National Bank designed in the Renaissance Revival style. (If you love historic buildings, check out Beelman's art deco style architecture in downtown L.A., such as the Eastern Columbia building on 9th and Broadway.) While you're eating, look up and look down. Many of the interior elements are preserved, including the marble floors, columns, friezes, etc. Spectacular. And the food is good for a chain. When I visited, I had the balsamic glazed chicken and a couple of nicely-concocted drinks from the bar. Our server was excellent and let us linger and chat. I appreciate that BJ's is OK with lingering. We're not allowed to linger enough at restaurants anymore. Bottom line: visit the restaurant because the food is good but, more importantly, visit the 1924 celebrity building in which BJ's is housed."
Dennis M.,"Los Angeles, CA",71,41,,4.0,12/10/2012,The atmosphere was amazing. Very comfortable booths and a bunch of TV's everywhere. Plus the biggest TV on the west Coast!  They have a huge menu so you are bound to find something you like...  Service was prompt and food was quick.
Peter F.,"Los Angeles, CA",1,5,2,2.0,10/5/2014,"Frustrating I asked for medium well and I got a microwaved patty it was rubbery and dry it tasted like a burger king burger. It was thrown together quickly cost me 9 odd. It made me wait for a stale microwave burger. What the fuck. How fucking dare you. Staff was courteous, excellent and kind :)"
