Username,location,friend_count,review_count,photo_count,rating,date,review
Jocelyn V.,"Seminole, FL",0,21,13,4.0,8/16/2016,"Really good food, usually good service, a tiny bit overpriced for what you get but that's based on location."
Jennifer B.,"West Chester, OH",1,6,,4.0,8/8/2016,Mary was excellent and pleasant!! The half price pizza Monday deal was a pleasant surprise.  My beer was flat unfortunately but the IPA my husband had was very good.
Karen F.,"Orlando, FL",8,19,,5.0,5/29/2016,Service is great here. They were closing and we still received exceptional service. Food is always good!
Vanessa G.,"Saint Petersburg, FL",1,13,7,4.0,6/20/2016,"Went with my family for my birthday dinner. It was a Thursday night and we had to wait 45 minutes for a table, then our waitress disappeared repeatedly, making it difficult to order food and get drink refills. However, the food was great. The waitress let me order from the lunch menu and adjusted orders for others at my table as well. We ended up at the restaurant for much longer than we wanted because the service took so long, but a great pizookie at the end of the night made it worth it!"
Michael P.,"Tampa, FL",108,152,118,5.0,4/18/2016,"Really good food. They have a humongous variety of foods on their menu, and for the most part, it tastes excellent. You'll love their garlic Parmesan boneless wings and grilled chicken Alfredo. Service is quick, of quality and super friendly. You'll love this place."
Jord B.,"St. Petersburg, FL",0,9,6,3.0,12/14/2016,"I previously gave a rave review to BJs. I haven't changed my mind about the food and the overall restaurant , but- I ordered in last week and it was a horrible experience. Maybe a one time thing, maybe there were some in-training setting up the dishes, but I will never ever order in from BJs. I don't say you shouldn't- but good luck to you.  They forgot 2 dishes (the kids' ones, which is the worst thing they could do...) and someone came over special to bring them- I appreciated that very much.  The rest of the food was less then eh. Salads were measly, potato was hardly cooked, they forgot dips, salsa, the sharing appetizers looked like they were forgotten in the tray for at least one day... ugh. Just real bad experience. Not to mention it was my kids' birthday and I had my in laws over for a ""nice"" dinner :-/ So in short- definitely would still go inside the restaurant, but would never ever again order take out. Oh and they sent me $25 e-card. Sorry, was not enough to compensate for this... :-( maybe if they covered the whole $76.51 bill... I just couldn't believe I paid that much for what I got!! I debated giving less stars, but considering most people eat in the place itself- it's still a great restaurant. Too bad they left such a bad taste after this experience... :("
Michaelle W.,"St. Petersburg, FL",116,107,323,4.0,2/10/2014,"Relaxing and delicious! Two words that sum up my experience here. After seeing a movie across the way at Regal, I stopped in here intent on a salad with some protein on top. My friend and I sat at a tall table in the bar area and were given menus. I am on a strict body building diet and needed a simple salad with protein. My friend and I ended up splitting two salads so we could try both. Our food arrived quickly and was savory and delicious. I had an ahi tuna dish which I enjoyed. The salad vegetables were fresh and crisp and the tuna simply seared.  I only give a four because I didn't find the food to be one of a kind. It's a great place I'd frequent again if I'm in need of a sit down meal after the movies."
Elena L.,"Clearwater, FL",1,20,2,2.0,4/8/2015,"What happened to this place? It used to be my go-to place with family and friends. And like all of a sudden, BJs stopped trying. Was there Friday 4/3/15.  Here's what I liked:  My party of 2 was seated almost immediately. That's it. Here's what I didn't like: Spinach/artichoke dip was cold and literally flavorless.  My hubby and I both had the Shrimp Scampi Pasta. Hello, we live in Fla, and we have access to some of the best seafood. So why does BJs use tiny little pathetic shrimp in their dish? Plus there were hardly any I there. Instead they weigh the dish down with oily, ""seasoned"" breadcrumbs. Very disappointing. Oh, that was bland too. Also, I don't think it's clean or professional when the server places her hands palm down on my table while she's talking to us. Also with her head down and talking so close we smelled her breath.  Plus, nobody cleared our plates and when we paid, our spinach/artichoke plate was still there. Not ever going back. Also, the menu is too busy and probably never gets wiped down. It's love to see what nasty microbes and gems live on the multiple pages of those bulky things.  They aren't clean and they feel greasy and disgusting."
Ashley P.,"Phoenix, AZ",314,164,68,5.0,2/4/2014,"I've been having the hardest time finding great servers in the St. Pete area but BJ's has restored my faith in amazing service! I've been here three times in the past week and a half because of how amazing the service is. They're also gluten and vegan friendly and all the servers have been helpful in making my meals meat-free! When I stopped in today for lunch I had Regina K. as my server and she was amazing! Great with refills, answering questions...a 10/10 server!!! If you go, ask for her! I'm definitely going to stop in for lunch more often, they have great prices for a lunch menu and the portions are great too! Honestly I have nothing bad to say about this place, their entire staff is really great and I'm so glad I found this place!"
Christiane H.,"Saint Petersburg, FL",16,28,2,1.0,8/28/2016,After visiting this location several times this is the first time i feel prompted to leave a bad review. When we arrived we sat in the bar area and our server was nice enough. I asked for sparkling water then realized once i opened the menu that they have options for sparking water drinks. So...no upsell on her part offering a new drink. We ordered the boneless rootbeer wings as an app. Turkey burger without red onions and the parmesan crusted chicken. Rootbeer glazed RIBS came out and we said..no we ordered the boneless wings. Server owned up to her mistake and i realize it happens. While waiting for the wings here comes my turkey burger but no parmesan chicken. Well...i don't want my entree before my app so send it back. Now here comes the manager on duty to apologize. Wings came out then the entrees. With red onion in my salad...serioisly?? Again manager came over to apologize and they sent out a side salad. The server asked if we wanted dessert n did send out a small single size pizookie on the house. But in my opinion...the manager should have comped our wings at the least. We never go out looking for free things but this dinner and overall experience was awful.
