Username,location,friend_count,review_count,photo_count,rating,date,review
Curt C.,"Kirkland, WA",9,8,,4.0,7/13/2013,"The call ahead system worked well.  It was a busy Friday night so we called in for a 7pm and were seated about 7:10; passing 15 or so ""walk-up"" customers.  We were seated promptly. The key IMO to dining in this type of establishment is to be ready to order.  We ordered drinks ASAP and they came promptly, and with glasses of ice water ...  only complaint would be warm glasses for the pitcher of beer; but we just poured our ice water into the beer glasses and used our water glasses for beer.  Their IPA is quite good for an in-house brewed beer Our sandwiches and burgers were tasty and generously portioned, got extra pickles, no problem.  All in all a good addition to the Redmond casual dining repertoire."
T B.,"Seattle, WA",0,45,3,2.0,7/12/2013,"Looked forward to BJ's opening to give another alternative for mid-range dining.  Waited until it had been open a few weeks.  Went in on a weekday night.  Wait was not bad, about 20 minutes.  The lobby is not well designed to hold large queues so most people were waiting on the sidewalk.   Good things: Free pizza sample while you wait.  Was good because it answered my question whether I should order pizza.  The answer is no, the crust is thick and tasteless and toppings sparse. However- the flatbread is quite good, thin crust and good flavor. Beer selection was excellent and their red ale was very good.  Bad things: Repeated shilling of their ""frequent flier"" club.  One ""no"" should be enough.  Tiny table crowded with table tents and other junk.  Not much room for food. My pot roast sandwich was skimpy on the pot roast, heavy on the way too salty gravy. Service was slow, they were understaffed and undertrained."
Cory C.,"Seattle, WA",0,2,,2.0,10/18/2015,"the menu is huge and the food is decent...  the service however, was pretty awful.  not even busy and it was well staffed but waited forever for service.  will not be returning."
Chris F.,"Redmond, WA",0,3,,2.0,5/29/2013,"I have been pleased with the food and service at the Tukwila location. The Redmond store has a long way to go. The food took forever. My steak was dry and cold. My lobster was the size of a prawn, and was overcooked. I understand that most of these bugs should be worked out in the next few months, and will reserve final judgement until i have tried them one more time in about 3-6 months. One bonus was that the waitstaff was attentive. The experience fell far short of the cost of the meal. My hopes are for their success. Redmond lacks in quality dining experiences."
Korey S.,"Snoqualmie, WA",0,27,,3.0,7/15/2014,"Been here a couple times and once to a different location. The food is good. There's a good variety so it's a good place for a group. I love their fish tacos and drove 30 minutes from home just for them. The place seemed busy for a Monday night, I assume others didn't want to cook in the rare hot summer day. It was just my daughter and I, so the wait was to be ten minutes. After sitting and chatting for a while we noticed a lot of new faces around us, and none of the people that came around the same time as us. We realized 30 minutes had passed. When I told the host we felt forgotten, he confirmed that we were not on the list. He was very apologetic and got us seated right away. I understand that mistakes happen, but I felt they should have offered us dessert on the house or something for the error. Our waiter was actually kind of rude when we wanted to order our food when he came to take our drink order. Waiting that long for a table, we were hungry. Ate quickly and left. The fish tacos were good as always, but service was really off. My first visit to BJ`S was highlighted with a marriage proposal from our waiter, so I have high expectations. Tonights visit was not up to par. It will be a while before we try again."
Julie H.,"Redmond, WA",0,6,,2.0,5/27/2013,"We went in to get some lunch about 1:45 on Memorial Day afternoon. They were busy, but it seemed to be running pretty smoothly. There was maybe a 10 minute wait to sit down. In a nutshell:  1. No, I do not want nachos. No, REALLY, I do not want nachos. How about some help with the ridiculous menu?   2. It doesn't matter how you order a burger, apparently they all come charred, well done.  3. When I order a ""bleu cheese"" burger, I expect more than one bleu cheese crumble. One tiny, lonely, abandoned little crumble, in a little smear of what appeared to be dressing (about an inch in diameter.)  Seriously? 4. When I've waited 30 minutes for my burger, and I am starving, I am not about to send it back to the kitchen. Who knows when or if I might see it again? The food wasn't bad; It was just OK. The service was slow. They charged my spouse for two drinks instead of one. Our visit lasted an hour and 20 minutes  - and we had a burger, fries and a drink.  They haven't worked out the kinks at this restaurant yet - far from it. I'll probably give them another shot at some point, but I'll wait a while."
Bill B.,"Bothell, WA",1,16,,1.0,8/5/2013,"We ordered nachos and they came out with barely any cheese on them so sent them back and ordered flat bread.  When we talked to the manager he said he would get our new order right out.  30 minutes later the flat bread came out with mostly bread and a small amount of meat and cheese.  The waitress said the manager decided not to charge us for the nachos and made no offer to correct the second offer.  We were not happy with the lack of concern, lack of fixing the problem, and no offer of desert or some off our drinks to make up for two cheese barren offers."
Jeff D.,"Las Vegas, NV",4,44,,1.0,7/15/2013,"horrific service. I was so excited when this place opened near my office, as I have visited their California locations and always enjoyed them.......... Man, how far off this place is. I've visited a total of 5 times since they opened, and each time the service has been awful. Just plain awful. Food has been decent each time, but the service is so bad here I can't bring myself to go back to this location."
Patrick K.,"Sammamish, WA",2,22,,1.0,3/13/2014,Dropped in for dessert one evening.  Upon using the restroom I found out there was no running water.  Confirmed it was throughout the restaurant but they were still operating.  How was the staff washing their hands???
Tracy D.,"Redmond, WA",7,3,,1.0,5/6/2013,"Do not bother. Food is super expensive, portions small, no happy hour offered throughout the restaurant(bar only). Ten dollars specialty drinks(weak). Our server decided that it was not a good day to wash her hair or make sure her nail polish was not chipped(and that a different color for each nail was a good idea) on opening day. That is a clear indication of how much the servers care about the appearance of the restaurant and themselves(and customers). You want to charge that much? Make sure your servers bathe!"
