Username,location,friend_count,review_count,photo_count,rating,date,review
Victoria T.,"Roseville, CA",0,3,,2.0,11/27/2016,"We stopped by this branch on a normal day during the evening and got seated quite shortly. The server was great and did everything she could to create a pleasant experience for us. However, the food was not good at all. The broccoli's were soaked in the pasta sauce indicating the dish were prepared way too long before it hit our table and pasta was cold too. Two of the family members ordered the Parmesan crusted chicken and surprisingly the two dishes were prepared quite differently. one had very few broccoli's and the other one had much smaller chicken slices that were burned on one side. The mashed potatoes were uneven portions on the two dishes as well. overall, the experience was not a good one at all."
Starla H.,"Chico, CA",23,5,,5.0,1/1/2016,"I came in with my family tonight for my brother's birthday. The wait was long so we opted for a table in the bar area. Although, my experience, the bar section gets sub par service. Our server, Allen O. Was awesome! He was on top of drinks, (mostly waters and lots of refills. We were dehydrated from shopping lol) He was prompt and pleasant! To say the least!"
May A.,"Roseville, CA",718,939,13962,4.0,1/11/2012,"Great food! Wow! so many choices on the menu... didn't know what to get! Ended up with the Grilled Pork Chops - two center cut pork chops, lightly seasoned and grilled, served with sweetened apples, white cheddar mashed potatoes, fresh steamed green beans and a tangy mustard sauce.  Yummy!  Fast, friendly service. Loved the atmosphere. Now I see why there's always a long line here... The parking is huge but with other restaurants, fast food joints, and other businesses around the lot can get full and you may have to park pretty far especially during meal hours. Review #0038"
Don F.,"Sacramento, CA",0,8,,1.0,10/23/2016,"To start, been a long time customer of bjs in Roseville. I am not the type to go out of my way to write a poor review but my last visit definitely warrants one... Waiter was fine, she took a break and the other waiter was good as well. Though we had a black piece of hair in our fries , which was pretty gross. Furthermore, we ordered a double shot of makers mark, and let me tell you, it was not a double shot. The manager came out to argue with us that it was a double shot and never apologized about the fries; ended up charging us for the hairy fries!! Very disappointed and horrible service. Management wise. On top of all of this, we STILL left a tip because my conscious wouldn't let me leave without one. Though we most definitely won't be back!"
Samantha F.,"Elk Grove, CA",0,6,,1.0,5/19/2017,"This is no way a bag on our actual waitress. I came in with my girl girlfriend and it was a Friday night so we both assumed it wouldn't a really quick thing and there's nothing wrong with waiting. There was only two of us and we spent sometime talking and what not, thank goodness cause it took a very long time to get our first order of drinks and one appetizer. We started to notice the waitress was waaaaayyyy over sat. She had a large party plus looked like to be 4 other tables seating about 4-5 people each. Poor thing I felt awful for her. I'm glad that we got her because of how understanding we are. She had noticed towards the end that we just weren't being waited on. She tried to offer free drinks or a dessert to apologize. We didn't accept and told her that it wasn't her fault her manager set her up to fail. I left a note wishing her a better night. Hopefully this review tells the managers that on the weekend nights need to have way more serves. Thank you Christina M for doing the best you were giving by your leaders."
pat G.,"Roseville, CA",0,42,,4.0,4/6/2016,"I really am surprised at the rather off setting reviews. I have had lunch there three times. We  come around 11:15 a.m. So food comes quickly and service spot on. The soup and salad combo ""endless servings' my choice each time.... Tasty  tender clams in the chowder and smooth and creamy. Not thickened with  gobs of flour....Salad, cold crisp and nice variety of crunchy veggies. Dressed lightly and quite pleasant. Lots to chose from for sure . As the menu is diverse and the prices are modest..... By time we did leave is was packed and the crowd  was eating away, lots of  talking and laughing, having a happy time seemed to me. The place holds a lot of folks as it is huge...... and the services people are running as fast as they can...The kitchen must jamming too.  I like it a lot and recommended you check it out !"
Howard R.,"Corona, CA",1,48,7,5.0,4/21/2016,"Went to happy hour from 10-12.  Great deals on appetizers and drinks it you want them. Nice staff. Lots of tvs.  Went on a Wednesday so it wasn't that busy.  Lots of parking. Bartender very friendly and personable.   Food took about 15 minutes.,"
Sree D.,"San Jose, CA",32,157,19,3.0,1/22/2015,"Not my type of food.  Great drinks, amazing service, but oh god , the portions and the food is overloaded with calories and fat."
Peter P.,"Scituate, RI",3,30,29,5.0,1/27/2014,"So, i went here for dinner with my girl for the first time.. right from the start they came threw with friendly service and seated us quickly. We started with drinks, a couple waters, a diet soda and one of there signature blonds, (which by the way, they have some really good beers) and a couple appetizers. For appetizers we tried out the spinach stuffed mushrooms, and the new corn fritters they have. Both, were excellent! The stuffed mushrooms have got to be one if the best appetizers ive ordered before. For dinner we ordered a delicious deep dish pizza, half Hawaiian half Vegetarian with jalapenos. The pizza was on point, definitely fulfilling and had some left overs for later. I'll definitely be coming back, and if your looking for a place with great atmosphere and food with super friendly service than you have to check out BJ's. Cheers!"
Porsche J.,"Orangevale, CA",42,2,,1.0,11/20/2015,"Had the most racist experience from here. Came and asked for a table. Hostess says 20 mins. Came to her 30 min later, shw says that she called us 20 mins ago and it will be 5 more mins. Then calls 7 other couples. Then overhead hostess giving different races different times. If you were black 30 mins, if you were white 10 mins. And other races had the 15 min rule. In this day and age you woukd think money was money. #NotSuportingRacism"
