Username,location,friend_count,review_count,photo_count,rating,date,review
Brian Z.,"San Antonio, TX",61,19,5,3.0,6/26/2009,"BJ's at noon Went to BJ's off of 281 and Stone OakPkwy/TPC Pkwy. While i have been there before many times in California, this was my first time there in Texas.  I must admit that it's not quite the same (even though they are a chain). I would say it's relatively close though.  They are known for their own beer and pizzas. While i didn't have any of these this time, it was nice to see that the options were still there. They have a pretty good lunch menu. Very similar to Applebee's, Chili's, TGIF, etc...  They have  a full bar and a bunch of TV's on sports channels. The building is very modern and everything is open which almost gives is a feel of eating at a cafeteria... but only not!  If you're new to BJ's... try their beer... try their Pizzas... you can't go wrong with either."
Keith A.,"San Antonio, TX",484,93,32,3.0,1/15/2012,"Great selection of beer. Tried the beer sampler.  Atmosphere was a bit standard with tv's, etc but service was excellent.  Slider burgers were good but pretty salty.  Breaded artechoke hearts were...artechoke-y.  Didn't like em. BJ's was good enough to return but I'll try others restaurants in the area first."
Michael J.,"Greenville, SC",148,25,,4.0,10/29/2009,"I have enjoyed eating at BJs several times and have especially enjoyed the beers and appetizer specials that are offered at happy hour.  Not sure why another reviewer claims that they only have their own brews on tap.  Trust me, they carry several other popular brews on tap! My only ""gripe"" about this place is that:1) waits can be long during peak times; and 2) the prices are a bit high.  Nonetheless, this is a great place!"
Shianne K.,"San Antonio, TX",14,141,38,4.0,8/15/2011,"This place does get packed!! I have been there a few times where the food was forgetfull However, most of the time I really enjoy it. I tend to stay away from the sandwiches, because those are so so. The pastas are very good, we had the shrimp scampi and the chicken tascano lime pasta. The chicken was succulent and tender and it was nice and light- not heavy. The great white pizza was absolutely fantastic for a deep dish. It was not drenched in sauce and the flavors worked so well together. We also tried there seared ahi tuna appetizer, it was very small but extremely tasty! it was also only $2.95 so I'm ok with it being small.. I'm always a fan of their beer as well as the Alamo on draft (one of my favorite beers!) Service is usually a little slow, so if you are in a hurry it is probably not a good idea to come here. make sure you order your drinks  a few minutes before you finish your most recent one. The TV's are great if you like watching sports, my husband loved it! Sometimes it is hit or miss here,but a good place to go for a few drinks and good food."
Richard S.,"San Antonio, TX",94,20,,3.0,6/3/2012,The food is usually good and the kids like it. I have to admit that I usually have trouble ordering because nothing really thrills me here.
Jeff Y.,"San Francisco, CA",32,177,2,4.0,6/19/2009,"There's a BJ's in San Antonio!  Albeit, it's pretty far north up 281, it is a Bj's nonetheless. They serve BJ's own brew of beer -- served ice cold -- try a pitcher of the BJ's Blondie if you're not sure, pretty decent deep dish pizzas, and lots of funky fusion foods.  The best fusion is the dessert pizookie.  It's a cookie cooked into a deep dish pizza shape covered with ice cream -- I recommend the macadamia nut. *EDIT: New Discovery!  Try the Thai Shrimp Lettuce Wraps!  Taste good with the Hefweizen!"
Scott R.,"San Antonio, TX",0,38,4,3.0,2/27/2013,"I had a great experience on my first visit (though sticker shock!). Yesterday I returned - my daughters love the avocado spring roll appetizers and wanted me to try them. The rolls were good but not awesome. I remembered the root beer was pretty good last time so I ordered some of that. It was FLAT so I asked the server ""isn't this stuff supposed to be a little carbonated?"" She looked at me like I was an idiot and said ""not really."" So I tried some more but it wasn't right. When the appetizers were brought by another server I asked her about carbonation she said ""yes"" and agreed that it would be gross without bubbles. She took it back. Then our server sheepishly tried to act like it was a misunderstanding. But in fact, she lied and made us feel stupid. We left a tiny tip and even though I understand this was an HR issue, I won't be back after spending $45 for an average lunch and no respect."
Tiffany M.,"Lometa, TX",0,11,,4.0,3/15/2014,"Our Saturday lunch started off really well. We were seated right away and put in our drink order within the first 2 minutes. It went downhill from there. I gave it 4 stars, however, because the food was actually really good. It was the service that ruined our meal. Our server introduce himself by saying he'd only slept 4 hours the previous night, not information we needed to know. He was distracted, never smiled, and was extremely slow. He dropped our pizza on the floor as he was bringing it to the table, which happens and we were understanding, however, when we inquired about the said pizza and what size had been ordered he told us that we were wrong, that we didn't know what we ordered and then proceeded to show us his order pad in further proof that we were wrong.  The manager did give us a small discount on the pizza and offered us free dessert. If we ever go back we will avoid this server at all cost!"
Matt C.,"San Antonio, TX",9,49,91,3.0,8/14/2008,Ok so as much as I'd like to give this place a higher rating I was extremely disappointed by a couple of things.  First off I'm accustom to the Austin location which has a wide variety of beers in addition to their own brews. However the San Antonio location only serves BJs Brews and nothing else.....extremely disappointing!  Also our waitress was very inexperienced with both the menu as well as the beer offerings.  I understand that this place may have only been open for a month however I don't think its unreasonable of me to expect at least the same level of service that BJ's should be known for!!!  My food came out piping hot and was pretty delicious.  My guests were not as thrilled about the place as I told them they would be which is a bit of a disappointment to me considering I know that BJ's can kick butt!!!  I hope that over time this BJ's will train their employees better as well as expand their beer selection.
Lisa R.,"Wyandotte, MI",2,41,1,5.0,11/12/2011,"I had the personal pizza with mushrooms, the meatball appetizer and a side salad with honey mustard and it all tasted great.  The price of the appetizers and food was around $ bucks for lunch, which I thought was a great deal.   My friend had the Avacado Egg Roll, which she also loved.  My other friend had the flatbread pizza with salad for lunch and loved that too."
