Username,location,friend_count,review_count,photo_count,rating,date,review
Jenny C.,"Redlands, CA",0,7,,2.0,10/28/2012,"The two stars are only for one thing: the red velvet Pizookie. Everything else, especially the service, need serious improvement. We come here about a couple times a month because the food is pretty awesome, the Pizookies are to die for, and my husband loves the Abby Normal seasonal beer that is sometimes available in a bottle by request in the off season (I believe it is a spring time seasonal beer) Anyway, there has only been one or two visits that we have had decent service. Every other time, it has SUCKED. We came one Sunday afternoon at 2 pm for my birthday. We called ahead the day before to let them know we wanted to have a party of about 10-12 people the next day. They assured us that it would be no problem, especially in the mid afternoon, not peak lunch/dinner times. Unfortunately, that was not the case. We spent a total of 4 hours there and maybe saw our waiters (I'm not even sure how many we had, we ended up just flagging down whoever was close by when we needed something, that's how bad it was) about 3 times. People in our party arrived all within a 15 minute window, but no one's drink was brought until our appetizers arrived, and we were all thirsty. I can't believe that with all the people ""serving"" us no one could get waters for anyone. It's not hard. I can understand beers or mixed drinks taking a bit at the bar, but water? Come on. Entrees were arriving sporadically, even though we all ordered at the same time. Some were finished eating completely before others even got their meals. Nothing was complicated, just basic pizzas off the menu and a few burgers. It was absurd how little attention was paid to us and how long we were there. My husband complained to the main waitress that was serving us after asking her for the third time for a water refill and she said ""OK, but we are all doing our best here to serve you, please be patient."" Ok lady, we have been pretty patient, considering I was ready to get up and leave after the 30 minute wait for appetizers and drinks. We don't have all day to spend waiting for lunch/dinner, be reasonable. I don't even think she believed herself when she said she was ""doing her best."" In the end I got a free personal red velvet pizookie so I was happier, but still disappointed overall. The added gratuity for our large party was just a pain in the ass since the servers really didn't do anything to earn it.  We continued to return after that experience and unfortunately it has not improved, maybe even gotten worse. Lots of people standing around when it's busy and customers need service. They just don't seem to have consideration for customer's time. We always spend way too long waiting and I don't want to spend my entire day in a restaurant for dinner. More than 2 hours from entrance to exit is too long when there isn't a sporting event to watch. Get some more attentive wait staff and this place would be 5 stars. The food is too good not to return and I consider myself a patient person which is why I seem to endure the torture of the horrid service. I plan on complaining to the manager if our next visit is anything like our recent ones."
L M.,"Peninsula, CA",1,27,,5.0,8/15/2014,"We had a good time at happy hour on a Thursday night. Got there just after work and there was plenty of room at the bar area. Our waitress came by quick, got us our drinks and took good care of us the rest of the night. They had some local brews (Ritual) and semi local ones (Lost Abbey). Overall I have no complaints and will come again for happy hour!"
Carlyn T.,"Moreno Valley, CA",28,84,9,4.0,7/12/2014,"One of my favorite pizza joints. I don't like olives and green bell peppers but on the veggie pizza they were tasty. Only complaint was that getting a glass of water, I had to ask twice and it didn't come until after other beverages were given to the table. Also recommend the beers, burgers, and avocado eggrolls."
Sarah S.,"San Bernardino, CA",11,25,1,3.0,3/29/2014,"I had to interrupt the hostess' conversation to get seated. When I sat with my party (I joined them a little late) I was not offered a drink. I sat without anything for a good 15 minutes. When I finally was able to order a drink and my food, I went another 5-10 without a drink. My friend actually had to remind our server that I didn't have one. Sure, we were a large group. Food was good. Food was served out very quickly. Customer service just ruined it."
Jeeper G.,"Arcata, CA",0,131,40,2.0,2/9/2014,"Usually I like this place, but my recent trip in for lunch left me wondering. The waitress took our order, and then we did not see her again for over 30 minutes.  Someone came buy and dropped off a soup and salad, but no drink refills, etc. in that 30 minutes. Finally, I see the waitress and flag her down and ask about lunch.  She scampers off and returns a few minutes later with our food.  It had obviously been sitting at the waitress station.  The food was luke warm at best. I would have sent it all back, but there's only so much time that can be spent on lunch. Hopefully, this was a fluke and just a bad waitress.  Normally, this place is 3 stars, and sometimes even 4.  But this visit, it did not merit even a 3."
Heath W.,"Hemet, CA",18,5,,5.0,7/1/2014,I come here mainly for the pizza's and their own craft beers of course!!  Plenty of tv's just wish they had sound for the games!!  :-)
Dwight C.,"Hemet, CA",140,233,76,3.0,6/24/2012,Food ok but not exceptional as would be anticipated Pizza all crust very little filling. Prices are upper end.  Not the best chain resturantn
Steven H.,"Murrieta, CA",0,1,,1.0,11/2/2014,Waiting for over an hour for the food.. orders wrong... But Excell at refills on drinks while waiting and waiting. Two hours now. Officially never eating here again.
Brodaeous M.,"Moreno Valley, CA",25,54,,2.0,12/27/2011,"This BJ's is not like the one in Moreno Valley or Chino. This one had very slow service and the pizza was sub-par. I typically only get their ""works"" pizza, so am fairly familiar with how it typically is at other BJ's. The other BJ's are better."
John G.,"Loma Linda, CA",76,2,,5.0,10/24/2015,"I have been coming to BJ's in San Bernardino for over a year and frequent I this establishment several times per week. The food is great but the employees are much better always there with a smile on their faces, always willing to help and I enjoy coming here for them. The management team lead by Brian, an with Vera, Mike and Mark have changed this place from being ok to fantastic. I love the bartenders, Aimee, Kristi, my two favorites, along with Sable, Tiffany, Erick, Crystal and Jaime are all fantastic, friendly and very knowledgable of their duties and people skills. Thank you all for always taking care of me"
