Username,location,friend_count,review_count,photo_count,rating,date,review
Lisa K.,"The Woodlands, TX",231,965,2392,5.0,10/28/2017,"Awesome waiter services. We came in with a party of 8 to watch several of the games! Penn state & Astros!  There is no bad viewing seat! There are flat screens in every corner. Great spot to watch the games.  We had such a great time and no one rushed us out, even though there were people waiting to be seated. A whooping 5 hours at BJ Brew. We spent so long here, we had 2 waiters and more drinks and food! Great night! Thanks for showing excellent customer service and welcomed large parties!! Go Astros!"
Natasha L.,"Spring, TX",248,83,54,2.0,9/4/2017,"I haven't had BJs in a good couple of years and was craving their pizza and pizookie badly. So decided to satisfy my craving. Eh.  There was group of 4 of us. We ordered the spinach and artichoke dip, buffalo chicken pizza and pizookie. Our dip came with stale chips. That's one. Our pizza, was low on the toppings- no celery for sure and one of the slices was literally just bread with some sauce and cheese. Now the pizookie... this is where I really got upset... Chips being stale, fine. Pizza short on ingredients, fine. But then we're informed that they were out of chocolate chip cookies! That's the real sad bad. After much crying and cursing, we went with the macadamia nut pizzokie. It was aite.  Our waiter- he was MIA for most of everything. He asked how we liked our food and I told him it wasn't what I was expecting and not that happy. Instead of sending over the manager, he handed me the bill. Oh get this, they didn't even comp for the stale chips!  Next time I am craving a pizzookie, I'll stick to making it at home."
Tatiana S.,"Spring, TX",71,44,97,5.0,11/7/2017,"We went recently and sat at the bar on a Wednesday night. Not sure if floor service has improved but the bar service was great. The bartender that night(musclular, mature looking fella) was very nice. Always had our glasses full and even got us a pazookie on the house! Will being going back and only sit at the bar top."
Penny W.,"Spring, TX",49,13,2,1.0,12/18/2017,"Bad Food Experience at BJs last night.  We wanted deep dish pizza and were at Porto Fino so we went there. It was the worst food I've had in  a long time.  Avacado Rolls: mushy outer roll, avocado mushy and brown, no flavor. Didn't eat it.  Wedge Salad (didn't think you could make a bad one but they succeeded): hunk of iceberg  -not even sliced into a wedge - with outer layers wilted - not crispy with a few TBSP. of toppings.  Pizza: ordered a Deep dish Veg pizza w half chicken. It arrived with full chicken. Sent it back. Next one came as ordered. One bite and I was done. Yuck. Mushy crust. I suspected there was no sauce so I scraped the the toppings off my piece. No sauce AND No cheese. I scraped the toppings off the whole pizza - same thing!  We called the server over (who was very good) and showed the Pizza to her and she was embarrassed. She said there was a new Pizza chef who thinks he makes the best ever. I requested she take the pizza and show it to him and suggested he re-think his idea of ""best Pizza ever."" The Mgr. came, I explained our whole food experience and told him we were long time customers but will not be returning. He offered weak apology and walked away. No effort to rectify things whatsoever.! We had to ask the server to take the pizza off the bill. No other comps. Unbelievable. So sad. We went to Russos as we were still hungry and to satisfy our Pizza craving .  This BJs location lost 10+ year customers.. Russo's and  Crust  will keep us returning."
Matthew C.,"Southwest Houston, Houston, TX",124,1,,5.0,1/10/2018,"This is my favorite bjs to go to, every Time I dine here I get good service and fast food. You could even eat here on your lunch break, never have to ask for a refill, staff is always on top of it"
Jen D.,"Houston, TX",229,9,1,1.0,1/9/2018,"I do a lot of catering for my job and I used this restaurants online website to place a catering order for pickup 24+ hours in advance. I received a confirmation email saying my order was placed. When I arrived at 11am the next day (when my order was supposed to be ready) they didn't even have the order and gave some excuse that the 11am pick up time is the reason it wasn't received? Ok so why would the system even allow 11am as an option? I spoke to the manager and he never apologized or even offered to comp. anything from my order. Needless to say, I was 30 minutes late to bring my customers lunch. I spend at least $200/day on catering and my money will definitely be spent somewhere more reliable with better service."
Indira M.,"Kingwood, TX",18,45,31,3.0,12/14/2017,I had the broccoli cheese soup and I have to say it was way over salted. I added the beet and goat cheese salad from the appitizer menu and that was lovely.  My friend had the chicken lettuce wrap and the nibble I tasted was really good.  I also thought that the wine was overpriced and thus the OK rating.  Our server was good but a bit slow.
Brendi F.,"College Station, TX",188,1,,5.0,1/5/2018,"Great food, great service!! Ask for Corey!! He is my favorite server! He is very attentive and has a great attitude! Everyone is so helpful and the food tastes great! Make sure you don't leave without getting a pizookie! They're delicious!"
Kevin V.,"Spring, TX",45,134,257,1.0,4/3/2017,This is a review based on take out...  Service 1 out of 10 Food 6 out of 10 when the order is correct which is very rare.  I would say if you do dine here please don't do take out unless it's pizza. any other order you get even if it's not modified it's highly probable that it will be wrong. Another thing is don't pay online because they won't be able to find your check. I ordered a Chipotle Glazed salmon and it came dry as a bone with 0 sauce and it was highly disappointing. I give this place chances time and time again but it's definitely time to sell the stock and if I eat here it'll be out of late night dine in desperation.
Suzanne M.,"Conroe, TX",0,17,,1.0,12/26/2017,"My family eats at this restaurant a lot. However, the last 4 times to be exact have been bad. I order potato skins and their tortilla soup. Tonight they brought the potato skins out burnt they had little to no cheese they forgot to add bacon and no chives, so disappointing. My soup was luke warm. My husbands chicken wings did nothing for him. Needless to say we won't be back again. I can check another restaurant off my list. They have consistently gone down hill and tonight the potato skins were the deal breaker. See ya never BJs brewery."
S B.,"Spring, TX",0,1,,1.0,1/7/2018,"Absolutely horrendous experience.  Terrible waiter, terrible manager,  terrible food. The worst customer service I have ever had at a restaurant."
