Username,location,friend_count,review_count,photo_count,rating,date,review
Airrion F.,"Galveston, TX",199,7,22,2.0,7/24/2015,"Food was delicious!!! We tried to choose a table, but was turned away to a different one. Service was good, but the $5.50 for chips & salsa was ridiculous. Always loved this place but this time was a wake up call. Table was sticky and dirty, oh and again the chips were not bottomless. Also there not on the menu. My suggestion just drink beer."
Jared P.,"Chicago, IL",146,314,23,2.0,1/14/2012,"We went to this place because it had a pretty decent review. When we got there, the place was packed and I was thinking ""oh boy, with this many people, it can't be bad!"" Then, they told us we had to wait 20 minutes, which was reasonable for a place this packed. Twenty minutes later, they sat us down and I ordered a beer. They have a bunch of signature beers and I tried an ale. It was good, but I'm not sure if the beer is actually brewed on sight. Many of the brewhouses that I visited back in PA actually have the equipment showing to make it evident that they were brewing on site. If they aren't brewing on site, what makes this beer so special? If they are, let's see the brewing atmosphere! Anyways, all the hype was on this deep dish pizza they serve. I had been craving pizza for weeks and almost resorted to Cici's pizza the weekend before. We got the 5 Meat Large Deep Dish. Now, I'm from the north, so pizza is heavily critiqued, especially in Pittsburgh. First of all, the pizza was kind of cold. No, it wasn't freezing cold, but I expect my pizza to be scald-the-roof-of-your-mouth when it first comes out. This was far from that. Secondly, they used so much oil that it was making my girlfriend sick. She was literally wringing the oil out of the crust after she picked the toppings off. I've eaten pizza with pools of grease on the top, but this was was a little absurd. Was it horrible? Nah. But, it's definitely not worth the price nor the wait when you can get the same thing at the Pizza Hut down the street for a lot cheaper and probably delivered to your door hot."
Tammy M.,"Spring, TX",4,2,2,1.0,5/4/2015,Food sucks. Dry pizza with little sauce for the husband. I ordered tacos. The tortilla had a nasty grill smell. Waiter was slow and MIA alot. Will not return!!
Jen S.,"Houston, TX",53,54,421,4.0,12/16/2013,"The new corn fritters are amazing - crispy on the outside, moist inside with a good jalapeño kick. Only $3! Great appetizer."
David S.,"Montgomery, TX",1,17,,1.0,8/28/2016,"Well to began before we could get in our seats the waiter is all over us to order some drinks. I politely said mind if we look at the drink menu a bit and decide? He promptly replied, what are you looking for as that menu is like a book? So once again I reiterated my desire that we want to look at the menu so give us a few minutes ok? I ordered the top shelf margarita and it came out so sour it was tasting like those sour candies my kids used to get. Once again enter the waiter who offered to fix the problem. I told him I make these at home and if it had any Grand Marnier as advertised it would have a darker color. He brought it back and just as bad so I said take that away. Now we asked for chips and salsa. The chips were soft and greasey and many broken pieces and the salsa was like eating tomatoe sauce with water added. I think you could get a better flavor if you went to Walmart or the dollar store and bought the cheapest carp you can find. Ok fast forward ordered a pizza and once again full of tomatoes. So between the salsa and the pizza I'm tomatoed out.  We won't return. I guess if you're a beer freak as in caraft beers and like spending 6-8 bucks a beer than this is your place."
S A A.,"Houston, TX",82,35,20,3.0,12/24/2014,"It's the usual franchise model, staffed with the minimal skill level to keep the place open and earning money.  The service is ""ok"": it's not wonderful, and it's not terrible. Leave a 15% tip to be tasteful (as I did).  If you get better service than I did (ex: it would be nice if the bartender/host/server smiled at me instead of waiting for me to beautify their environment first) then leave a better tip.  Woodlands franchises are staffed with millennials.  Expect exactly that and you won't be unhappy: mediocre teenagers of upper class families have to earn pocket money somewhere."
David D.,"Magnolia, TX",0,1,,1.0,3/25/2016,"Two stars because my food and my kids food was good. My wife's food, that's another story; and so is the service.  I got the Sriracha Mac 'N Cheese. I must have read the menu wrong because it came with penne? I love penne and it was good, but it's not mac 'n cheese without macaroni right? Kids got the spaghetti, loved it.  My wife got the appetizer sampler. Mozzarella sticks were good, spin dip was okay, avocado egg rolls were terrible, and that's the reason my wife wanted to go. We told the server they were not good and she said ""I don't eat them so I wouldn't know."" Did not even bother to get the manager.  We were going to walk out before ordering because we waited 15 minutes to order after getting our drinks.  I flagged down a server and asked for her to get our server for us, otherwise it could have been another 15 minutes. Our server had been to the table next to us multiple times but never came to ours and never made eye contact.  We should have left before ordering, but instead we won't be back."
Cory S.,"Indianapolis, IN",89,501,18,3.0,6/29/2011,"If i could give it 3.5 stars I would...  The bartenders were great.. the company (nice lady I met at the bar) was great.  I had the pulled pork sandwich, and it was just ok.  Nothing to write home about, thus the 3 stars.  The beer was pretty good, as I hear it was brewed for them by a good local brewery.  The service at the bar was stellar.  The lady I met was a regular and they took good care of her, knowing her wine before she even sat down.  In turn, they took care of me.  The food was average, I'm sure there were better options than the pulled pork, and I'll explore them next time I visit.."
Steph L.,"Spring, TX",2,19,7,2.0,12/19/2014,"Normally, my boyfriend and I really enjoy BJs. We dine there every couple of weeks and have amazing service. Tonight was another story. The hostess was absolutely miserable, barely even acknowledging us. She then said another girl would seat us, but the second girl was walking away already without knowing she was the one to do the job. Grumpy hostess sat us, not without a huff and puff about it though. Once sat, we met our server; She was so nice! I was thrilled the first impression was off. We ordered almost immediately. After a short time our food came out. My order was wrong; at this point I didn't really mind because I wasn't starving. My boyfriend was pretty upset because he hates eating without me, but I reassured him it was fine and not to worry because I wasn't angry. Then when it came out, boyfriend was finished with his food, and the meal was still wrong (thankfully just in the portioning; I asked for the single portion not double of the pork chops). The waitress blamed it on the kitchen ""hardly being able to understand english"". We then ordered a pizookie (whoever created this dessert is a god), and got the bill. Not only were we not offered the meal on them, or a discounted dessert; but they charged me for the larger sized pork dish!!! Once I brought it up to the waitress her entire attitude changed. She acted like we were an inconvenience to her. And when she finally dropped the corrected check she said in a very irritated tone (as she's walking away, not even looking at us) ""merry christmas"". This ones on you kiddo, if you had had and ounce of empathy you may have gotten a tip. For the first time in over 10 years I walked out of a place without leaving a server anything. What does that tell you about my experience?"
Kathy L.,"Spring, TX",54,8,,5.0,3/13/2015,"Have been three times.  Menu is several pages.  They serve a little of everything. Each dish Ive tried from appetizers to desserts, were all good.  Nice place to meet friends."
