Username,location,friend_count,review_count,photo_count,rating,date,review
andrew r.,"Lodi, CA",0,5,,1.0,5/31/2015,"I've visited this location a couple of times in the past and have had ok service but lately the service here has gone way down hill last time I was here there service was so bad the new manager Chris offered to pay for bill as long as we gave him another chance  Well today we went in and they could not even get my rewards to come up I thought oh well next we got seated and ordered drinks the girl came out with straws in my wife's and mine drinks but not one for my son she stated ""there's only like 20 straws in the restaurant and I thought he could go with out"" so I gave him mine  Next we ordered my son who is a very picky eater orders mini burgers with thin fries  The waitress the returns and says we have no fries  That's when I lost it and walked out after voicing my opinion to the manager  In closing we will never visit again"
Cindy S.,"Federal Way, WA",5,4,,4.0,5/28/2015,"I found the food very good. Had Chicken Alfrado Was great.  My son took us there. Service was very  Good. The Restaurant was very clean, friendly. Tiffany I hope you guys get one up in Sesttle, Wa. We were here to see our Grandaughter graduate High school. Recommend yes and highly."
Nick O.,"Modesto, CA",0,26,15,1.0,2/1/2016,"Worst experience I've ever had at a restaurant. I asked for an ala cart baked potato as I just had my wisdom teeth removed and there was not much I could eat. I was admittedly wrongly charged $10 for the potato, but okay, accidents happen. Then they refused to correct it. What? The service is undependable, rude, and the potato was nothing special. You're better off going to McDonald's or Taco Bell."
Rebecca H.,"Stockton, CA",6,6,3,1.0,2/24/2016,Extremely disappointed. Wait is ridiculous. Food is cold. Service sucks. We will never come here again. Should of went to Chilies!
Kimmie H.,"Stockton, CA",13,9,24,1.0,8/9/2015,"If I could give it 0 stars I would. I got dirty utensils twice, also btw we had to ask for utensils to eat our food in the first place. Our waitress although friendly we hardly saw after taking our order. Bathroom was dirty. Never coming back. This place just plain sucks."
Emillio C.,"Stockton, CA",46,2,13,1.0,11/21/2015,I would tell you how my food was but I never got it. After waiting for 45 min after the rest of my party got their food which I did order the same thing as someone else never got my order and my son only got half of what he was supposed to get . Waiter never checked on us and someone brought the check to us. Real rating 0 stars. Get it together BJ's
Maria V.,"Stockton, CA",179,11,19,5.0,1/24/2016,I loved it here if you are super hungry this is the place to go you totally get a full 4 course meal !!!!! An appitizer salad or soup your dinner with a drink and dessert for a very fair price i had to let go of my top button on my jeans lol the food is wonderful our server Was super friendly i got like a at home feeling being there totally recommend this place to all !
Rylee L.,"Stockton, CA",5,7,2,5.0,2/21/2015,Absolutely love coming to have a drink here. Elaine is so friendly and down to earth. And she makes ahhhhhmazing drinks
Susan G.,"Tracy, CA",456,18,12,5.0,1/30/2016,"our server was friendly, prompt but not overly hovering!   Best service and timing I've had here in a while.   I'll be back!"
Gustavo A.,"Fresno, CA",23,22,40,5.0,9/15/2014,I always enjoy BJs great food and service! Always busy gets a little loud but lots of tvs to watch the game
