Username,location,friend_count,review_count,photo_count,rating,date,review
Sophia V.,"Houston, TX",227,140,652,3.0,7/30/2010,"I go here quite often, and I've ordered a variety of things from the menu so far. As appetizers, the Chicken Lettuce Wraps and the Chicken Tenders are delicious! For the main entree, I would highly recommend their Parmesan-Crusted Chicken, Roasted Turkey Cobb sandwich, Chicken Fettuccine Alfredo and you can't go wrong with deep dish pizzas there! One thing I didn't enjoy there is the Chicken Teriyaki; the taste isn't all that pleasing. For dessert, MAKE SURE you order the PIZOOKIE TRIO! it's deliciousss! :) also, try their Rootbear; it's great!"
Alex F.,"Houston, TX",295,81,153,4.0,10/28/2013,"Location is located right across the street from Sugar Land Town Center on hwy 6 so it's easily visible. Just about any pizza you get there is great but I'm partial to the hawaiian. They have their own beers on tap. So far, I've had the blonde and I love it. Kind of reminds me of Birraporetti's (if anyone can remember those in Houston). Really nice woodwork, staff were pretty attentive, and a lot of woodwork make for a great place for lunch, Friday pow-wows, or dinner."
Bryan B.,"Sugar Land, TX",0,5,,1.0,6/29/2015,What a customer service poor place. I ordered a soup and salad. Waitress brought it to me after 15 minutes. Ok. I was hungry so no problem. I notice a small hair in my salad. Soup was good. I showed the waitress the hair. She took the plate and apologized. She then was stopped by the next table to order. Instead of getting rid of the hairy salad she holds the plate in one hand and continued to take their order for about 5-7 minutes because if all their questions. She then goes to the back with the plate in one hand and the other folks menus in the other. Still don't have a new salad. Manager comes over and apologizes after I told him what happened. He said he would take care of my lunch and apologized again. Next I get a check from the waitress with a uniformed military discount. What a joke. My whole lunch was $7.75! originally. Now I have a uniformed military discount which is not only disrespectful to active military persons but also retired ones. I am not a military person but have the utmost respect for the folks that defend our country. What a disrespectful and tasteless restaurant.
Jay D.,"Sugar Land, TX",274,11,10,4.0,5/9/2014,"I always have a great time when I come to this location, Whether I am sitting at the bar or at a table. The customer service is awesome! Robert waited on us, he was very patient with us! And can't forget to mention on how delicious the pizza is! NOM NOM NOMMMM"
Trish D.,"Sugar Land, TX",0,1,,1.0,2/19/2012,"I've been to this location twice. The first time I went, service was slow and somewhat rude, but nothing to join Yelp and type up a review about. Our second visit, however... wow. Terrible dining experience. We walked in and immediately noticed an open table right up front. We checked in with the 4 people working up front (we had to wait for them to stop chatting to help us) and then waited for 15 minutes only to be seated at the table that had been empty since we walked in. The gentleman that seated us didn't offer to get our drink order, but rather abruptly turned and jogged back to the front to continue his conversation. 15 minutes later no one had taken our drink order and we were getting ready to just leave when our waitress walked by and informed us that she would be with us in ""2 minutes.""  Evidently I glared hard enough at her to get her moving, because less than 2 minutes later a different gentleman rushed over and took our drink and food order. Our drinks showed up 5 minutes later (although I wasn't able to get any sweetener from anyone until after our food finally came). The rest of the visit was just mediocre. I had the Ahi Tuna and the Santa Fe Spring Rolls, both of which were decent. My husband had the Post Roast. The meat and potatoes were good, but none of the vegetables were cooked all the way. In fact, we were pretty sure they tossed a raw onion in the mix for some reason. We stared at it for a bit and laughed it off.  So... yeah. We won't be returning. There are plenty of other restaurants in the Sugar Land area that actually work hard at keeping their customers at least marginally satisfied."
Noanya S.,"Houston, TX",23,149,688,3.0,3/28/2014,Love the ahi poke and beer variety when dining in but take-out sucks...well not the take-out food but when I order take-out it shouldn't take an hour for pick up and the curb side service phone should not constantly be busy...what's the point
M P.,"Houston, TX",0,29,1,4.0,5/27/2014,"Been here for dinner and a beer a few times, never had a problem. Fun atmosphere, but not so loud that you can't hold a normal conversation. Good food, some items are reasonably priced (like $7.50 for a burger and fries) and others were a bit pricey ($15 for a small single person deep dish pizza) but it all depends on what you want to order."
Maria C.,"Houston, TX",8,14,16,4.0,4/26/2015,good food and great for groups that just want to have fun. :)
Mary M.,"Missouri City, TX",0,9,,3.0,8/18/2015,The food here is alright. I ordered a spinach and artichoke dip as an appetizer and it was pretty good. I ordered a medium steak and it was dry and not what I was expecting.
Nicole S.,"Houston, TX",145,893,254,3.0,12/31/2011,"Since the last time I went I noticed they had added some smaller portion appetizers.  I tried the tomato and mozzarella one, and it was really tasty.  A few of the other ones looked really yummy as well.  The also make really great avocado egg rolls.  While they are always a bit pricey and sometimes the service is a bit slow, food here is usually good."
